dc (V),cdd@Vgs 0.25 ,cdd@Vgs 0.251 ,cdd@Vgs 0.252 ,cdd@Vgs 0.253 ,cdd@Vgs 0.254 ,cdd@Vgs 0.255 ,cdd@Vgs 0.256 ,cdd@Vgs 0.257 ,cdd@Vgs 0.258 ,cdd@Vgs 0.259 ,cdd@Vgs 0.26 ,cdd@Vgs 0.261 ,cdd@Vgs 0.262 ,cdd@Vgs 0.263 ,cdd@Vgs 0.264 ,cdd@Vgs 0.265 ,cdd@Vgs 0.266 ,cdd@Vgs 0.267 ,cdd@Vgs 0.268 ,cdd@Vgs 0.269 ,cdd@Vgs 0.27 ,cdd@Vgs 0.271 ,cdd@Vgs 0.272 ,cdd@Vgs 0.273 ,cdd@Vgs 0.274 ,cdd@Vgs 0.275 ,cdd@Vgs 0.276 ,cdd@Vgs 0.277 ,cdd@Vgs 0.278 ,cdd@Vgs 0.279 ,cdd@Vgs 0.28 ,cdd@Vgs 0.281 ,cdd@Vgs 0.282 ,cdd@Vgs 0.283 ,cdd@Vgs 0.284 ,cdd@Vgs 0.285 ,cdd@Vgs 0.286 ,cdd@Vgs 0.287 ,cdd@Vgs 0.288 ,cdd@Vgs 0.289 ,cdd@Vgs 0.29 ,cdd@Vgs 0.291 ,cdd@Vgs 0.292 ,cdd@Vgs 0.293 ,cdd@Vgs 0.294 ,cdd@Vgs 0.295 ,cdd@Vgs 0.296 ,cdd@Vgs 0.297 ,cdd@Vgs 0.298 ,cdd@Vgs 0.299 ,cdd@Vgs 0.3 ,cdd@Vgs 0.301 ,cdd@Vgs 0.302 ,cdd@Vgs 0.303 ,cdd@Vgs 0.304 ,cdd@Vgs 0.305 ,cdd@Vgs 0.306 ,cdd@Vgs 0.307 ,cdd@Vgs 0.308 ,cdd@Vgs 0.309 ,cdd@Vgs 0.31 ,cdd@Vgs 0.311 ,cdd@Vgs 0.312 ,cdd@Vgs 0.313 ,cdd@Vgs 0.314 ,cdd@Vgs 0.315 ,cdd@Vgs 0.316 ,cdd@Vgs 0.317 ,cdd@Vgs 0.318 ,cdd@Vgs 0.319 ,cdd@Vgs 0.32 ,cdd@Vgs 0.321 ,cdd@Vgs 0.322 ,cdd@Vgs 0.323 ,cdd@Vgs 0.324 ,cdd@Vgs 0.325 ,cdd@Vgs 0.326 ,cdd@Vgs 0.327 ,cdd@Vgs 0.328 ,cdd@Vgs 0.329 ,cdd@Vgs 0.33 
300E-3,12.307764E-15,12.308620E-15,12.309474E-15,12.310326E-15,12.311177E-15,12.312026E-15,12.312873E-15,12.313718E-15,12.314562E-15,12.315403E-15,12.316243E-15,12.317081E-15,12.317917E-15,12.318751E-15,12.319583E-15,12.320414E-15,12.321242E-15,12.322069E-15,12.322893E-15,12.323716E-15,12.324537E-15,12.325355E-15,12.326172E-15,12.326987E-15,12.327800E-15,12.328610E-15,12.329419E-15,12.330226E-15,12.331031E-15,12.331834E-15,12.332634E-15,12.333433E-15,12.334230E-15,12.335025E-15,12.335817E-15,12.336608E-15,12.337397E-15,12.338184E-15,12.338968E-15,12.339751E-15,12.340532E-15,12.341311E-15,12.342087E-15,12.342862E-15,12.343635E-15,12.344406E-15,12.345175E-15,12.345942E-15,12.346707E-15,12.347470E-15,12.348231E-15,12.348991E-15,12.349748E-15,12.350504E-15,12.351258E-15,12.352010E-15,12.352760E-15,12.353508E-15,12.354255E-15,12.355000E-15,12.355743E-15,12.356485E-15,12.357225E-15,12.357963E-15,12.358700E-15,12.359435E-15,12.360169E-15,12.360901E-15,12.361632E-15,12.362361E-15,12.363089E-15,12.363816E-15,12.364541E-15,12.365265E-15,12.365988E-15,12.366709E-15,12.367430E-15,12.368149E-15,12.368867E-15,12.369584E-15,12.370301E-15
302E-3,12.300152E-15,12.301011E-15,12.301869E-15,12.302725E-15,12.303580E-15,12.304432E-15,12.305283E-15,12.306132E-15,12.306980E-15,12.307825E-15,12.308669E-15,12.309511E-15,12.310351E-15,12.311189E-15,12.312026E-15,12.312860E-15,12.313693E-15,12.314524E-15,12.315353E-15,12.316179E-15,12.317004E-15,12.317827E-15,12.318649E-15,12.319468E-15,12.320285E-15,12.321100E-15,12.321913E-15,12.322725E-15,12.323534E-15,12.324341E-15,12.325147E-15,12.325950E-15,12.326751E-15,12.327551E-15,12.328348E-15,12.329143E-15,12.329937E-15,12.330728E-15,12.331517E-15,12.332305E-15,12.333090E-15,12.333873E-15,12.334655E-15,12.335434E-15,12.336212E-15,12.336987E-15,12.337761E-15,12.338532E-15,12.339302E-15,12.340070E-15,12.340836E-15,12.341600E-15,12.342362E-15,12.343122E-15,12.343881E-15,12.344637E-15,12.345392E-15,12.346145E-15,12.346896E-15,12.347646E-15,12.348393E-15,12.349139E-15,12.349884E-15,12.350626E-15,12.351368E-15,12.352107E-15,12.352845E-15,12.353581E-15,12.354316E-15,12.355050E-15,12.355782E-15,12.356512E-15,12.357241E-15,12.357969E-15,12.358696E-15,12.359421E-15,12.360145E-15,12.360868E-15,12.361590E-15,12.362311E-15,12.363030E-15
304E-3,12.292549E-15,12.293412E-15,12.294273E-15,12.295133E-15,12.295991E-15,12.296848E-15,12.297702E-15,12.298555E-15,12.299406E-15,12.300256E-15,12.301103E-15,12.301949E-15,12.302793E-15,12.303636E-15,12.304476E-15,12.305315E-15,12.306151E-15,12.306986E-15,12.307819E-15,12.308650E-15,12.309480E-15,12.310307E-15,12.311132E-15,12.311956E-15,12.312777E-15,12.313597E-15,12.314415E-15,12.315230E-15,12.316044E-15,12.316856E-15,12.317666E-15,12.318473E-15,12.319279E-15,12.320083E-15,12.320885E-15,12.321685E-15,12.322483E-15,12.323279E-15,12.324073E-15,12.324865E-15,12.325655E-15,12.326443E-15,12.327229E-15,12.328013E-15,12.328795E-15,12.329575E-15,12.330353E-15,12.331129E-15,12.331904E-15,12.332676E-15,12.333447E-15,12.334215E-15,12.334982E-15,12.335747E-15,12.336510E-15,12.337271E-15,12.338030E-15,12.338788E-15,12.339544E-15,12.340298E-15,12.341050E-15,12.341800E-15,12.342549E-15,12.343296E-15,12.344041E-15,12.344785E-15,12.345527E-15,12.346268E-15,12.347007E-15,12.347745E-15,12.348481E-15,12.349215E-15,12.349949E-15,12.350680E-15,12.351411E-15,12.352140E-15,12.352868E-15,12.353595E-15,12.354320E-15,12.355045E-15,12.355768E-15
306E-3,12.284955E-15,12.285822E-15,12.286687E-15,12.287550E-15,12.288411E-15,12.289271E-15,12.290130E-15,12.290986E-15,12.291841E-15,12.292695E-15,12.293546E-15,12.294396E-15,12.295244E-15,12.296090E-15,12.296934E-15,12.297777E-15,12.298618E-15,12.299457E-15,12.300294E-15,12.301129E-15,12.301962E-15,12.302794E-15,12.303623E-15,12.304451E-15,12.305277E-15,12.306101E-15,12.306923E-15,12.307743E-15,12.308561E-15,12.309377E-15,12.310191E-15,12.311004E-15,12.311814E-15,12.312622E-15,12.313429E-15,12.314233E-15,12.315036E-15,12.315836E-15,12.316635E-15,12.317431E-15,12.318226E-15,12.319018E-15,12.319809E-15,12.320598E-15,12.321384E-15,12.322169E-15,12.322952E-15,12.323733E-15,12.324512E-15,12.325289E-15,12.326064E-15,12.326837E-15,12.327608E-15,12.328378E-15,12.329145E-15,12.329911E-15,12.330675E-15,12.331437E-15,12.332197E-15,12.332956E-15,12.333712E-15,12.334467E-15,12.335220E-15,12.335972E-15,12.336722E-15,12.337470E-15,12.338216E-15,12.338961E-15,12.339705E-15,12.340446E-15,12.341187E-15,12.341925E-15,12.342663E-15,12.343399E-15,12.344133E-15,12.344866E-15,12.345598E-15,12.346329E-15,12.347058E-15,12.347786E-15,12.348513E-15
308E-3,12.277371E-15,12.278240E-15,12.279109E-15,12.279975E-15,12.280840E-15,12.281704E-15,12.282566E-15,12.283426E-15,12.284285E-15,12.285142E-15,12.285997E-15,12.286850E-15,12.287702E-15,12.288552E-15,12.289400E-15,12.290247E-15,12.291092E-15,12.291935E-15,12.292776E-15,12.293615E-15,12.294453E-15,12.295288E-15,12.296122E-15,12.296954E-15,12.297784E-15,12.298612E-15,12.299438E-15,12.300263E-15,12.301085E-15,12.301906E-15,12.302724E-15,12.303541E-15,12.304355E-15,12.305168E-15,12.305979E-15,12.306788E-15,12.307595E-15,12.308400E-15,12.309203E-15,12.310004E-15,12.310803E-15,12.311600E-15,12.312395E-15,12.313189E-15,12.313980E-15,12.314769E-15,12.315557E-15,12.316342E-15,12.317126E-15,12.317907E-15,12.318687E-15,12.319465E-15,12.320241E-15,12.321015E-15,12.321787E-15,12.322557E-15,12.323326E-15,12.324092E-15,12.324857E-15,12.325620E-15,12.326381E-15,12.327141E-15,12.327898E-15,12.328654E-15,12.329408E-15,12.330161E-15,12.330912E-15,12.331661E-15,12.332409E-15,12.333155E-15,12.333899E-15,12.334642E-15,12.335384E-15,12.336124E-15,12.336862E-15,12.337599E-15,12.338335E-15,12.339069E-15,12.339803E-15,12.340535E-15,12.341265E-15
310E-3,12.269795E-15,12.270668E-15,12.271540E-15,12.272410E-15,12.273278E-15,12.274145E-15,12.275011E-15,12.275874E-15,12.276737E-15,12.277597E-15,12.278456E-15,12.279313E-15,12.280169E-15,12.281023E-15,12.281875E-15,12.282725E-15,12.283574E-15,12.284420E-15,12.285265E-15,12.286109E-15,12.286950E-15,12.287790E-15,12.288628E-15,12.289464E-15,12.290298E-15,12.291130E-15,12.291961E-15,12.292789E-15,12.293616E-15,12.294441E-15,12.295264E-15,12.296085E-15,12.296904E-15,12.297721E-15,12.298536E-15,12.299349E-15,12.300161E-15,12.300970E-15,12.301778E-15,12.302583E-15,12.303387E-15,12.304189E-15,12.304988E-15,12.305786E-15,12.306582E-15,12.307376E-15,12.308168E-15,12.308958E-15,12.309746E-15,12.310532E-15,12.311316E-15,12.312099E-15,12.312879E-15,12.313658E-15,12.314435E-15,12.315209E-15,12.315982E-15,12.316754E-15,12.317523E-15,12.318290E-15,12.319056E-15,12.319820E-15,12.320582E-15,12.321343E-15,12.322101E-15,12.322858E-15,12.323613E-15,12.324367E-15,12.325119E-15,12.325869E-15,12.326618E-15,12.327365E-15,12.328111E-15,12.328855E-15,12.329598E-15,12.330339E-15,12.331079E-15,12.331817E-15,12.332554E-15,12.333290E-15,12.334025E-15
312E-3,12.262229E-15,12.263105E-15,12.263980E-15,12.264854E-15,12.265725E-15,12.266596E-15,12.267464E-15,12.268332E-15,12.269197E-15,12.270061E-15,12.270924E-15,12.271784E-15,12.272644E-15,12.273501E-15,12.274357E-15,12.275211E-15,12.276063E-15,12.276914E-15,12.277763E-15,12.278610E-15,12.279456E-15,12.280299E-15,12.281141E-15,12.281981E-15,12.282820E-15,12.283656E-15,12.284491E-15,12.285323E-15,12.286154E-15,12.286983E-15,12.287810E-15,12.288636E-15,12.289459E-15,12.290280E-15,12.291100E-15,12.291918E-15,12.292733E-15,12.293547E-15,12.294359E-15,12.295169E-15,12.295977E-15,12.296783E-15,12.297588E-15,12.298390E-15,12.299190E-15,12.299989E-15,12.300785E-15,12.301580E-15,12.302372E-15,12.303163E-15,12.303952E-15,12.304739E-15,12.305524E-15,12.306307E-15,12.307088E-15,12.307868E-15,12.308645E-15,12.309421E-15,12.310195E-15,12.310967E-15,12.311737E-15,12.312506E-15,12.313272E-15,12.314037E-15,12.314800E-15,12.315562E-15,12.316321E-15,12.317079E-15,12.317836E-15,12.318590E-15,12.319343E-15,12.320095E-15,12.320845E-15,12.321593E-15,12.322340E-15,12.323085E-15,12.323829E-15,12.324572E-15,12.325313E-15,12.326052E-15,12.326791E-15
314E-3,12.254673E-15,12.255552E-15,12.256430E-15,12.257307E-15,12.258182E-15,12.259055E-15,12.259927E-15,12.260798E-15,12.261667E-15,12.262534E-15,12.263400E-15,12.264264E-15,12.265127E-15,12.265988E-15,12.266848E-15,12.267705E-15,12.268561E-15,12.269416E-15,12.270269E-15,12.271120E-15,12.271969E-15,12.272816E-15,12.273662E-15,12.274506E-15,12.275349E-15,12.276189E-15,12.277028E-15,12.277864E-15,12.278699E-15,12.279533E-15,12.280364E-15,12.281193E-15,12.282021E-15,12.282847E-15,12.283671E-15,12.284493E-15,12.285313E-15,12.286131E-15,12.286947E-15,12.287762E-15,12.288574E-15,12.289385E-15,12.290193E-15,12.291000E-15,12.291805E-15,12.292608E-15,12.293409E-15,12.294208E-15,12.295005E-15,12.295800E-15,12.296594E-15,12.297385E-15,12.298175E-15,12.298962E-15,12.299748E-15,12.300532E-15,12.301314E-15,12.302095E-15,12.302873E-15,12.303649E-15,12.304424E-15,12.305197E-15,12.305968E-15,12.306738E-15,12.307505E-15,12.308271E-15,12.309035E-15,12.309797E-15,12.310558E-15,12.311317E-15,12.312075E-15,12.312830E-15,12.313585E-15,12.314337E-15,12.315088E-15,12.315838E-15,12.316586E-15,12.317332E-15,12.318078E-15,12.318821E-15,12.319564E-15
316E-3,12.247126E-15,12.248008E-15,12.248889E-15,12.249769E-15,12.250647E-15,12.251524E-15,12.252399E-15,12.253273E-15,12.254145E-15,12.255016E-15,12.255885E-15,12.256753E-15,12.257619E-15,12.258483E-15,12.259346E-15,12.260208E-15,12.261068E-15,12.261926E-15,12.262782E-15,12.263637E-15,12.264490E-15,12.265341E-15,12.266191E-15,12.267039E-15,12.267885E-15,12.268729E-15,12.269572E-15,12.270413E-15,12.271252E-15,12.272089E-15,12.272925E-15,12.273758E-15,12.274590E-15,12.275420E-15,12.276248E-15,12.277074E-15,12.277899E-15,12.278721E-15,12.279542E-15,12.280361E-15,12.281177E-15,12.281992E-15,12.282805E-15,12.283617E-15,12.284426E-15,12.285233E-15,12.286039E-15,12.286842E-15,12.287644E-15,12.288444E-15,12.289242E-15,12.290038E-15,12.290832E-15,12.291624E-15,12.292414E-15,12.293203E-15,12.293989E-15,12.294774E-15,12.295557E-15,12.296338E-15,12.297117E-15,12.297895E-15,12.298670E-15,12.299444E-15,12.300216E-15,12.300986E-15,12.301755E-15,12.302522E-15,12.303287E-15,12.304050E-15,12.304812E-15,12.305572E-15,12.306331E-15,12.307088E-15,12.307843E-15,12.308597E-15,12.309349E-15,12.310100E-15,12.310849E-15,12.311597E-15,12.312343E-15
318E-3,12.239589E-15,12.240474E-15,12.241358E-15,12.242241E-15,12.243122E-15,12.244002E-15,12.244880E-15,12.245757E-15,12.246632E-15,12.247506E-15,12.248379E-15,12.249250E-15,12.250119E-15,12.250987E-15,12.251854E-15,12.252719E-15,12.253582E-15,12.254444E-15,12.255304E-15,12.256162E-15,12.257019E-15,12.257874E-15,12.258727E-15,12.259579E-15,12.260429E-15,12.261277E-15,12.262124E-15,12.262969E-15,12.263812E-15,12.264653E-15,12.265493E-15,12.266330E-15,12.267166E-15,12.268000E-15,12.268833E-15,12.269663E-15,12.270492E-15,12.271318E-15,12.272143E-15,12.272966E-15,12.273787E-15,12.274607E-15,12.275424E-15,12.276240E-15,12.277053E-15,12.277865E-15,12.278675E-15,12.279483E-15,12.280289E-15,12.281093E-15,12.281895E-15,12.282696E-15,12.283495E-15,12.284291E-15,12.285086E-15,12.285879E-15,12.286670E-15,12.287459E-15,12.288247E-15,12.289032E-15,12.289816E-15,12.290598E-15,12.291378E-15,12.292156E-15,12.292933E-15,12.293708E-15,12.294481E-15,12.295252E-15,12.296021E-15,12.296789E-15,12.297555E-15,12.298320E-15,12.299083E-15,12.299844E-15,12.300604E-15,12.301362E-15,12.302118E-15,12.302873E-15,12.303626E-15,12.304378E-15,12.305129E-15
