dc (V),cgd@Vgs 0.25 ,cgd@Vgs 0.251 ,cgd@Vgs 0.252 ,cgd@Vgs 0.253 ,cgd@Vgs 0.254 ,cgd@Vgs 0.255 ,cgd@Vgs 0.256 ,cgd@Vgs 0.257 ,cgd@Vgs 0.258 ,cgd@Vgs 0.259 ,cgd@Vgs 0.26 ,cgd@Vgs 0.261 ,cgd@Vgs 0.262 ,cgd@Vgs 0.263 ,cgd@Vgs 0.264 ,cgd@Vgs 0.265 ,cgd@Vgs 0.266 ,cgd@Vgs 0.267 ,cgd@Vgs 0.268 ,cgd@Vgs 0.269 ,cgd@Vgs 0.27 ,cgd@Vgs 0.271 ,cgd@Vgs 0.272 ,cgd@Vgs 0.273 ,cgd@Vgs 0.274 ,cgd@Vgs 0.275 ,cgd@Vgs 0.276 ,cgd@Vgs 0.277 ,cgd@Vgs 0.278 ,cgd@Vgs 0.279 ,cgd@Vgs 0.28 ,cgd@Vgs 0.281 ,cgd@Vgs 0.282 ,cgd@Vgs 0.283 ,cgd@Vgs 0.284 ,cgd@Vgs 0.285 ,cgd@Vgs 0.286 ,cgd@Vgs 0.287 ,cgd@Vgs 0.288 ,cgd@Vgs 0.289 ,cgd@Vgs 0.29 ,cgd@Vgs 0.291 ,cgd@Vgs 0.292 ,cgd@Vgs 0.293 ,cgd@Vgs 0.294 ,cgd@Vgs 0.295 ,cgd@Vgs 0.296 ,cgd@Vgs 0.297 ,cgd@Vgs 0.298 ,cgd@Vgs 0.299 ,cgd@Vgs 0.3 ,cgd@Vgs 0.301 ,cgd@Vgs 0.302 ,cgd@Vgs 0.303 ,cgd@Vgs 0.304 ,cgd@Vgs 0.305 ,cgd@Vgs 0.306 ,cgd@Vgs 0.307 ,cgd@Vgs 0.308 ,cgd@Vgs 0.309 ,cgd@Vgs 0.31 ,cgd@Vgs 0.311 ,cgd@Vgs 0.312 ,cgd@Vgs 0.313 ,cgd@Vgs 0.314 ,cgd@Vgs 0.315 ,cgd@Vgs 0.316 ,cgd@Vgs 0.317 ,cgd@Vgs 0.318 ,cgd@Vgs 0.319 ,cgd@Vgs 0.32 ,cgd@Vgs 0.321 ,cgd@Vgs 0.322 ,cgd@Vgs 0.323 ,cgd@Vgs 0.324 ,cgd@Vgs 0.325 ,cgd@Vgs 0.326 ,cgd@Vgs 0.327 ,cgd@Vgs 0.328 ,cgd@Vgs 0.329 ,cgd@Vgs 0.33 
300E-3,4.7854440E-15,4.7863018E-15,4.7871580E-15,4.7880124E-15,4.7888652E-15,4.7897163E-15,4.7905656E-15,4.7914133E-15,4.7922592E-15,4.7931033E-15,4.7939457E-15,4.7947864E-15,4.7956252E-15,4.7964622E-15,4.7972975E-15,4.7981309E-15,4.7989625E-15,4.7997923E-15,4.8006203E-15,4.8014464E-15,4.8022707E-15,4.8030932E-15,4.8039138E-15,4.8047325E-15,4.8055494E-15,4.8063644E-15,4.8071775E-15,4.8079888E-15,4.8087983E-15,4.8096059E-15,4.8104116E-15,4.8112155E-15,4.8120175E-15,4.8128176E-15,4.8136160E-15,4.8144125E-15,4.8152071E-15,4.8160000E-15,4.8167910E-15,4.8175803E-15,4.8183677E-15,4.8191534E-15,4.8199372E-15,4.8207194E-15,4.8214998E-15,4.8222785E-15,4.8230554E-15,4.8238307E-15,4.8246043E-15,4.8253763E-15,4.8261466E-15,4.8269153E-15,4.8276825E-15,4.8284481E-15,4.8292121E-15,4.8299746E-15,4.8307357E-15,4.8314953E-15,4.8322535E-15,4.8330103E-15,4.8337658E-15,4.8345199E-15,4.8352728E-15,4.8360244E-15,4.8367748E-15,4.8375241E-15,4.8382722E-15,4.8390192E-15,4.8397653E-15,4.8405103E-15,4.8412544E-15,4.8419976E-15,4.8427400E-15,4.8434816E-15,4.8442225E-15,4.8449627E-15,4.8457023E-15,4.8464413E-15,4.8471799E-15,4.8479180E-15,4.8486558E-15
302E-3,4.7837326E-15,4.7845939E-15,4.7854536E-15,4.7863117E-15,4.7871682E-15,4.7880230E-15,4.7888761E-15,4.7897275E-15,4.7905772E-15,4.7914252E-15,4.7922715E-15,4.7931161E-15,4.7939588E-15,4.7947999E-15,4.7956391E-15,4.7964766E-15,4.7973123E-15,4.7981462E-15,4.7989782E-15,4.7998085E-15,4.8006370E-15,4.8014636E-15,4.8022884E-15,4.8031114E-15,4.8039325E-15,4.8047518E-15,4.8055692E-15,4.8063848E-15,4.8071986E-15,4.8080105E-15,4.8088205E-15,4.8096288E-15,4.8104351E-15,4.8112397E-15,4.8120424E-15,4.8128433E-15,4.8136423E-15,4.8144395E-15,4.8152350E-15,4.8160286E-15,4.8168204E-15,4.8176105E-15,4.8183987E-15,4.8191852E-15,4.8199700E-15,4.8207530E-15,4.8215343E-15,4.8223139E-15,4.8230919E-15,4.8238681E-15,4.8246427E-15,4.8254157E-15,4.8261871E-15,4.8269569E-15,4.8277251E-15,4.8284918E-15,4.8292569E-15,4.8300206E-15,4.8307829E-15,4.8315437E-15,4.8323031E-15,4.8330612E-15,4.8338179E-15,4.8345734E-15,4.8353276E-15,4.8360806E-15,4.8368324E-15,4.8375831E-15,4.8383327E-15,4.8390812E-15,4.8398287E-15,4.8405753E-15,4.8413210E-15,4.8420658E-15,4.8428099E-15,4.8435531E-15,4.8442957E-15,4.8450377E-15,4.8457791E-15,4.8465199E-15,4.8472603E-15
304E-3,4.7820139E-15,4.7828787E-15,4.7837419E-15,4.7846036E-15,4.7854636E-15,4.7863220E-15,4.7871788E-15,4.7880339E-15,4.7888874E-15,4.7897392E-15,4.7905893E-15,4.7914376E-15,4.7922843E-15,4.7931292E-15,4.7939724E-15,4.7948138E-15,4.7956535E-15,4.7964914E-15,4.7973276E-15,4.7981619E-15,4.7989945E-15,4.7998252E-15,4.8006542E-15,4.8014813E-15,4.8023066E-15,4.8031301E-15,4.8039518E-15,4.8047717E-15,4.8055897E-15,4.8064059E-15,4.8072202E-15,4.8080328E-15,4.8088435E-15,4.8096523E-15,4.8104594E-15,4.8112646E-15,4.8120680E-15,4.8128696E-15,4.8136694E-15,4.8144674E-15,4.8152636E-15,4.8160580E-15,4.8168506E-15,4.8176415E-15,4.8184306E-15,4.8192180E-15,4.8200037E-15,4.8207876E-15,4.8215698E-15,4.8223504E-15,4.8231293E-15,4.8239065E-15,4.8246821E-15,4.8254561E-15,4.8262286E-15,4.8269994E-15,4.8277688E-15,4.8285366E-15,4.8293029E-15,4.8300678E-15,4.8308312E-15,4.8315933E-15,4.8323540E-15,4.8331133E-15,4.8338714E-15,4.8346282E-15,4.8353837E-15,4.8361381E-15,4.8368914E-15,4.8376435E-15,4.8383946E-15,4.8391446E-15,4.8398937E-15,4.8406418E-15,4.8413891E-15,4.8421356E-15,4.8428813E-15,4.8436263E-15,4.8443706E-15,4.8451143E-15,4.8458575E-15
306E-3,4.7802881E-15,4.7811563E-15,4.7820230E-15,4.7828881E-15,4.7837517E-15,4.7846136E-15,4.7854740E-15,4.7863327E-15,4.7871898E-15,4.7880453E-15,4.7888991E-15,4.7897512E-15,4.7906017E-15,4.7914505E-15,4.7922975E-15,4.7931428E-15,4.7939864E-15,4.7948283E-15,4.7956684E-15,4.7965068E-15,4.7973434E-15,4.7981782E-15,4.7990112E-15,4.7998425E-15,4.8006719E-15,4.8014996E-15,4.8023255E-15,4.8031495E-15,4.8039718E-15,4.8047922E-15,4.8056108E-15,4.8064276E-15,4.8072426E-15,4.8080558E-15,4.8088671E-15,4.8096767E-15,4.8104844E-15,4.8112903E-15,4.8120944E-15,4.8128968E-15,4.8136973E-15,4.8144961E-15,4.8152931E-15,4.8160883E-15,4.8168817E-15,4.8176735E-15,4.8184634E-15,4.8192517E-15,4.8200382E-15,4.8208231E-15,4.8216063E-15,4.8223878E-15,4.8231677E-15,4.8239459E-15,4.8247226E-15,4.8254977E-15,4.8262712E-15,4.8270431E-15,4.8278136E-15,4.8285826E-15,4.8293501E-15,4.8301161E-15,4.8308808E-15,4.8316441E-15,4.8324061E-15,4.8331667E-15,4.8339261E-15,4.8346843E-15,4.8354412E-15,4.8361970E-15,4.8369517E-15,4.8377053E-15,4.8384579E-15,4.8392094E-15,4.8399601E-15,4.8407099E-15,4.8414588E-15,4.8422069E-15,4.8429543E-15,4.8437010E-15,4.8444471E-15
308E-3,4.7785555E-15,4.7794270E-15,4.7802970E-15,4.7811655E-15,4.7820325E-15,4.7828979E-15,4.7837617E-15,4.7846240E-15,4.7854847E-15,4.7863438E-15,4.7872012E-15,4.7880570E-15,4.7889112E-15,4.7897637E-15,4.7906146E-15,4.7914637E-15,4.7923112E-15,4.7931569E-15,4.7940009E-15,4.7948433E-15,4.7956838E-15,4.7965226E-15,4.7973597E-15,4.7981950E-15,4.7990285E-15,4.7998603E-15,4.8006903E-15,4.8015185E-15,4.8023449E-15,4.8031695E-15,4.8039923E-15,4.8048133E-15,4.8056326E-15,4.8064500E-15,4.8072656E-15,4.8080794E-15,4.8088915E-15,4.8097017E-15,4.8105101E-15,4.8113168E-15,4.8121216E-15,4.8129247E-15,4.8137260E-15,4.8145256E-15,4.8153234E-15,4.8161194E-15,4.8169137E-15,4.8177063E-15,4.8184971E-15,4.8192863E-15,4.8200738E-15,4.8208596E-15,4.8216437E-15,4.8224262E-15,4.8232071E-15,4.8239864E-15,4.8247641E-15,4.8255402E-15,4.8263148E-15,4.8270879E-15,4.8278595E-15,4.8286297E-15,4.8293984E-15,4.8301657E-15,4.8309316E-15,4.8316962E-15,4.8324594E-15,4.8332214E-15,4.8339821E-15,4.8347417E-15,4.8355000E-15,4.8362573E-15,4.8370134E-15,4.8377685E-15,4.8385226E-15,4.8392758E-15,4.8400280E-15,4.8407794E-15,4.8415300E-15,4.8422798E-15,4.8430289E-15
310E-3,4.7768163E-15,4.7776910E-15,4.7785642E-15,4.7794360E-15,4.7803062E-15,4.7811750E-15,4.7820423E-15,4.7829080E-15,4.7837722E-15,4.7846348E-15,4.7854958E-15,4.7863552E-15,4.7872130E-15,4.7880692E-15,4.7889238E-15,4.7897766E-15,4.7906279E-15,4.7914774E-15,4.7923253E-15,4.7931715E-15,4.7940159E-15,4.7948587E-15,4.7956997E-15,4.7965390E-15,4.7973766E-15,4.7982124E-15,4.7990464E-15,4.7998787E-15,4.8007092E-15,4.8015380E-15,4.8023649E-15,4.8031901E-15,4.8040135E-15,4.8048352E-15,4.8056550E-15,4.8064731E-15,4.8072893E-15,4.8081038E-15,4.8089165E-15,4.8097275E-15,4.8105366E-15,4.8113440E-15,4.8121496E-15,4.8129535E-15,4.8137556E-15,4.8145559E-15,4.8153545E-15,4.8161514E-15,4.8169466E-15,4.8177400E-15,4.8185318E-15,4.8193219E-15,4.8201103E-15,4.8208970E-15,4.8216822E-15,4.8224657E-15,4.8232476E-15,4.8240279E-15,4.8248067E-15,4.8255839E-15,4.8263596E-15,4.8271339E-15,4.8279066E-15,4.8286780E-15,4.8294479E-15,4.8302164E-15,4.8309836E-15,4.8317495E-15,4.8325141E-15,4.8332774E-15,4.8340395E-15,4.8348004E-15,4.8355602E-15,4.8363189E-15,4.8370766E-15,4.8378332E-15,4.8385888E-15,4.8393436E-15,4.8400974E-15,4.8408504E-15,4.8416027E-15
312E-3,4.7750705E-15,4.7759483E-15,4.7768247E-15,4.7776997E-15,4.7785732E-15,4.7794452E-15,4.7803158E-15,4.7811849E-15,4.7820524E-15,4.7829185E-15,4.7837830E-15,4.7846459E-15,4.7855073E-15,4.7863671E-15,4.7872252E-15,4.7880818E-15,4.7889367E-15,4.7897900E-15,4.7906417E-15,4.7914916E-15,4.7923399E-15,4.7931865E-15,4.7940315E-15,4.7948747E-15,4.7957162E-15,4.7965559E-15,4.7973940E-15,4.7982303E-15,4.7990649E-15,4.7998977E-15,4.8007288E-15,4.8015581E-15,4.8023856E-15,4.8032114E-15,4.8040354E-15,4.8048577E-15,4.8056781E-15,4.8064968E-15,4.8073138E-15,4.8081290E-15,4.8089424E-15,4.8097540E-15,4.8105639E-15,4.8113720E-15,4.8121784E-15,4.8129830E-15,4.8137859E-15,4.8145871E-15,4.8153865E-15,4.8161843E-15,4.8169803E-15,4.8177747E-15,4.8185674E-15,4.8193584E-15,4.8201477E-15,4.8209355E-15,4.8217216E-15,4.8225061E-15,4.8232891E-15,4.8240705E-15,4.8248504E-15,4.8256287E-15,4.8264056E-15,4.8271810E-15,4.8279549E-15,4.8287274E-15,4.8294986E-15,4.8302684E-15,4.8310369E-15,4.8318041E-15,4.8325700E-15,4.8333347E-15,4.8340982E-15,4.8348606E-15,4.8356218E-15,4.8363820E-15,4.8371411E-15,4.8378993E-15,4.8386565E-15,4.8394129E-15,4.8401684E-15
314E-3,4.7733185E-15,4.7741993E-15,4.7750787E-15,4.7759568E-15,4.7768335E-15,4.7777087E-15,4.7785825E-15,4.7794548E-15,4.7803257E-15,4.7811951E-15,4.7820630E-15,4.7829294E-15,4.7837942E-15,4.7846575E-15,4.7855192E-15,4.7863793E-15,4.7872379E-15,4.7880948E-15,4.7889501E-15,4.7898038E-15,4.7906559E-15,4.7915063E-15,4.7923550E-15,4.7932021E-15,4.7940475E-15,4.7948912E-15,4.7957331E-15,4.7965734E-15,4.7974120E-15,4.7982488E-15,4.7990839E-15,4.7999173E-15,4.8007489E-15,4.8015788E-15,4.8024069E-15,4.8032333E-15,4.8040580E-15,4.8048808E-15,4.8057020E-15,4.8065213E-15,4.8073390E-15,4.8081548E-15,4.8089689E-15,4.8097813E-15,4.8105919E-15,4.8114008E-15,4.8122080E-15,4.8130134E-15,4.8138171E-15,4.8146191E-15,4.8154195E-15,4.8162181E-15,4.8170150E-15,4.8178103E-15,4.8186039E-15,4.8193959E-15,4.8201862E-15,4.8209749E-15,4.8217621E-15,4.8225477E-15,4.8233317E-15,4.8241142E-15,4.8248951E-15,4.8256746E-15,4.8264526E-15,4.8272292E-15,4.8280044E-15,4.8287781E-15,4.8295505E-15,4.8303216E-15,4.8310914E-15,4.8318599E-15,4.8326272E-15,4.8333933E-15,4.8341582E-15,4.8349221E-15,4.8356848E-15,4.8364465E-15,4.8372072E-15,4.8379669E-15,4.8387257E-15
316E-3,4.7715604E-15,4.7724441E-15,4.7733265E-15,4.7742076E-15,4.7750873E-15,4.7759656E-15,4.7768425E-15,4.7777181E-15,4.7785921E-15,4.7794648E-15,4.7803360E-15,4.7812057E-15,4.7820739E-15,4.7829406E-15,4.7838058E-15,4.7846694E-15,4.7855315E-15,4.7863920E-15,4.7872510E-15,4.7881083E-15,4.7889640E-15,4.7898181E-15,4.7906706E-15,4.7915215E-15,4.7923706E-15,4.7932182E-15,4.7940640E-15,4.7949082E-15,4.7957507E-15,4.7965914E-15,4.7974305E-15,4.7982679E-15,4.7991036E-15,4.7999375E-15,4.8007697E-15,4.8016002E-15,4.8024289E-15,4.8032559E-15,4.8040812E-15,4.8049047E-15,4.8057265E-15,4.8065466E-15,4.8073649E-15,4.8081815E-15,4.8089963E-15,4.8098094E-15,4.8106208E-15,4.8114305E-15,4.8122384E-15,4.8130447E-15,4.8138492E-15,4.8146521E-15,4.8154533E-15,4.8162528E-15,4.8170506E-15,4.8178468E-15,4.8186414E-15,4.8194343E-15,4.8202257E-15,4.8210154E-15,4.8218036E-15,4.8225903E-15,4.8233754E-15,4.8241589E-15,4.8249410E-15,4.8257217E-15,4.8265009E-15,4.8272786E-15,4.8280550E-15,4.8288301E-15,4.8296037E-15,4.8303761E-15,4.8311472E-15,4.8319171E-15,4.8326858E-15,4.8334533E-15,4.8342197E-15,4.8349850E-15,4.8357492E-15,4.8365124E-15,4.8372747E-15
318E-3,4.7697965E-15,4.7706830E-15,4.7715682E-15,4.7724522E-15,4.7733348E-15,4.7742162E-15,4.7750961E-15,4.7759747E-15,4.7768519E-15,4.7777278E-15,4.7786022E-15,4.7794751E-15,4.7803466E-15,4.7812167E-15,4.7820852E-15,4.7829523E-15,4.7838178E-15,4.7846818E-15,4.7855443E-15,4.7864052E-15,4.7872645E-15,4.7881222E-15,4.7889784E-15,4.7898329E-15,4.7906858E-15,4.7915371E-15,4.7923868E-15,4.7932348E-15,4.7940811E-15,4.7949258E-15,4.7957688E-15,4.7966101E-15,4.7974497E-15,4.7982876E-15,4.7991238E-15,4.7999583E-15,4.8007911E-15,4.8016222E-15,4.8024516E-15,4.8032792E-15,4.8041051E-15,4.8049293E-15,4.8057518E-15,4.8065725E-15,4.8073915E-15,4.8082089E-15,4.8090244E-15,4.8098383E-15,4.8106505E-15,4.8114610E-15,4.8122697E-15,4.8130768E-15,4.8138822E-15,4.8146859E-15,4.8154880E-15,4.8162884E-15,4.8170872E-15,4.8178843E-15,4.8186799E-15,4.8194738E-15,4.8202662E-15,4.8210570E-15,4.8218462E-15,4.8226339E-15,4.8234201E-15,4.8242048E-15,4.8249881E-15,4.8257699E-15,4.8265503E-15,4.8273293E-15,4.8281069E-15,4.8288832E-15,4.8296582E-15,4.8304319E-15,4.8312044E-15,4.8319756E-15,4.8327457E-15,4.8335147E-15,4.8342825E-15,4.8350493E-15,4.8358151E-15
