dc (V),cgg@Vgs 0.25 ,cgg@Vgs 0.251 ,cgg@Vgs 0.252 ,cgg@Vgs 0.253 ,cgg@Vgs 0.254 ,cgg@Vgs 0.255 ,cgg@Vgs 0.256 ,cgg@Vgs 0.257 ,cgg@Vgs 0.258 ,cgg@Vgs 0.259 ,cgg@Vgs 0.26 ,cgg@Vgs 0.261 ,cgg@Vgs 0.262 ,cgg@Vgs 0.263 ,cgg@Vgs 0.264 ,cgg@Vgs 0.265 ,cgg@Vgs 0.266 ,cgg@Vgs 0.267 ,cgg@Vgs 0.268 ,cgg@Vgs 0.269 ,cgg@Vgs 0.27 ,cgg@Vgs 0.271 ,cgg@Vgs 0.272 ,cgg@Vgs 0.273 ,cgg@Vgs 0.274 ,cgg@Vgs 0.275 ,cgg@Vgs 0.276 ,cgg@Vgs 0.277 ,cgg@Vgs 0.278 ,cgg@Vgs 0.279 ,cgg@Vgs 0.28 ,cgg@Vgs 0.281 ,cgg@Vgs 0.282 ,cgg@Vgs 0.283 ,cgg@Vgs 0.284 ,cgg@Vgs 0.285 ,cgg@Vgs 0.286 ,cgg@Vgs 0.287 ,cgg@Vgs 0.288 ,cgg@Vgs 0.289 ,cgg@Vgs 0.29 ,cgg@Vgs 0.291 ,cgg@Vgs 0.292 ,cgg@Vgs 0.293 ,cgg@Vgs 0.294 ,cgg@Vgs 0.295 ,cgg@Vgs 0.296 ,cgg@Vgs 0.297 ,cgg@Vgs 0.298 ,cgg@Vgs 0.299 ,cgg@Vgs 0.3 ,cgg@Vgs 0.301 ,cgg@Vgs 0.302 ,cgg@Vgs 0.303 ,cgg@Vgs 0.304 ,cgg@Vgs 0.305 ,cgg@Vgs 0.306 ,cgg@Vgs 0.307 ,cgg@Vgs 0.308 ,cgg@Vgs 0.309 ,cgg@Vgs 0.31 ,cgg@Vgs 0.311 ,cgg@Vgs 0.312 ,cgg@Vgs 0.313 ,cgg@Vgs 0.314 ,cgg@Vgs 0.315 ,cgg@Vgs 0.316 ,cgg@Vgs 0.317 ,cgg@Vgs 0.318 ,cgg@Vgs 0.319 ,cgg@Vgs 0.32 ,cgg@Vgs 0.321 ,cgg@Vgs 0.322 ,cgg@Vgs 0.323 ,cgg@Vgs 0.324 ,cgg@Vgs 0.325 ,cgg@Vgs 0.326 ,cgg@Vgs 0.327 ,cgg@Vgs 0.328 ,cgg@Vgs 0.329 ,cgg@Vgs 0.33 
300E-3,17.208545E-15,17.275387E-15,17.343601E-15,17.413192E-15,17.484162E-15,17.556513E-15,17.630243E-15,17.705353E-15,17.781841E-15,17.859703E-15,17.938935E-15,18.019531E-15,18.101485E-15,18.184789E-15,18.269433E-15,18.355409E-15,18.442704E-15,18.531306E-15,18.621202E-15,18.712377E-15,18.804815E-15,18.898500E-15,18.993413E-15,19.089537E-15,19.186852E-15,19.285336E-15,19.384969E-15,19.485728E-15,19.587590E-15,19.690532E-15,19.794527E-15,19.899552E-15,20.005580E-15,20.112585E-15,20.220539E-15,20.329415E-15,20.439185E-15,20.549820E-15,20.661291E-15,20.773570E-15,20.886627E-15,21.000432E-15,21.114954E-15,21.230165E-15,21.346034E-15,21.462530E-15,21.579624E-15,21.697285E-15,21.815482E-15,21.934186E-15,22.053366E-15,22.172993E-15,22.293036E-15,22.413466E-15,22.534254E-15,22.655371E-15,22.776787E-15,22.898474E-15,23.020404E-15,23.142550E-15,23.264883E-15,23.387376E-15,23.510004E-15,23.632740E-15,23.755557E-15,23.878431E-15,24.001338E-15,24.124252E-15,24.247151E-15,24.370010E-15,24.492808E-15,24.615522E-15,24.738131E-15,24.860613E-15,24.982949E-15,25.105119E-15,25.227103E-15,25.348882E-15,25.470439E-15,25.591756E-15,25.712816E-15
302E-3,17.206824E-15,17.273669E-15,17.341887E-15,17.411481E-15,17.482455E-15,17.554808E-15,17.628542E-15,17.703656E-15,17.780147E-15,17.858012E-15,17.937247E-15,18.017847E-15,18.099805E-15,18.183112E-15,18.267760E-15,18.353739E-15,18.441038E-15,18.529644E-15,18.619543E-15,18.710721E-15,18.803163E-15,18.896852E-15,18.991769E-15,19.087897E-15,19.185215E-15,19.283703E-15,19.383340E-15,19.484102E-15,19.585968E-15,19.688913E-15,19.792912E-15,19.897941E-15,20.003973E-15,20.110981E-15,20.218939E-15,20.327818E-15,20.437592E-15,20.548230E-15,20.659706E-15,20.771988E-15,20.885048E-15,20.998856E-15,21.113383E-15,21.228597E-15,21.344469E-15,21.460969E-15,21.578066E-15,21.695730E-15,21.813931E-15,21.932638E-15,22.051821E-15,22.171451E-15,22.291497E-15,22.411931E-15,22.532722E-15,22.653841E-15,22.775260E-15,22.896950E-15,23.018883E-15,23.141031E-15,23.263367E-15,23.385863E-15,23.508493E-15,23.631231E-15,23.754051E-15,23.876928E-15,23.999836E-15,24.122753E-15,24.245653E-15,24.368515E-15,24.491314E-15,24.614030E-15,24.736640E-15,24.859125E-15,24.981462E-15,25.103633E-15,25.225618E-15,25.347398E-15,25.468956E-15,25.590274E-15,25.711335E-15
304E-3,17.205096E-15,17.271944E-15,17.340165E-15,17.409763E-15,17.480740E-15,17.553096E-15,17.626834E-15,17.701951E-15,17.778445E-15,17.856314E-15,17.935552E-15,18.016156E-15,18.098116E-15,18.181427E-15,18.266079E-15,18.352062E-15,18.439364E-15,18.527973E-15,18.617876E-15,18.709058E-15,18.801503E-15,18.895196E-15,18.990117E-15,19.086248E-15,19.183570E-15,19.282061E-15,19.381702E-15,19.482468E-15,19.584338E-15,19.687286E-15,19.791289E-15,19.896321E-15,20.002356E-15,20.109368E-15,20.217330E-15,20.326213E-15,20.435990E-15,20.546632E-15,20.658111E-15,20.770397E-15,20.883461E-15,20.997272E-15,21.111802E-15,21.227020E-15,21.342896E-15,21.459399E-15,21.576499E-15,21.694166E-15,21.812370E-15,21.931081E-15,22.050268E-15,22.169901E-15,22.289950E-15,22.410387E-15,22.531181E-15,22.652303E-15,22.773725E-15,22.895418E-15,23.017354E-15,23.139505E-15,23.261843E-15,23.384342E-15,23.506975E-15,23.629715E-15,23.752537E-15,23.875416E-15,23.998327E-15,24.121246E-15,24.244149E-15,24.367012E-15,24.489814E-15,24.612531E-15,24.735144E-15,24.857629E-15,24.979968E-15,25.102141E-15,25.224127E-15,25.345909E-15,25.467468E-15,25.588787E-15,25.709848E-15
306E-3,17.203361E-15,17.270212E-15,17.338437E-15,17.408038E-15,17.479017E-15,17.551377E-15,17.625118E-15,17.700238E-15,17.776736E-15,17.854608E-15,17.933850E-15,18.014456E-15,18.096421E-15,18.179735E-15,18.264390E-15,18.350376E-15,18.437682E-15,18.526295E-15,18.616201E-15,18.707387E-15,18.799836E-15,18.893531E-15,18.988456E-15,19.084591E-15,19.181916E-15,19.280411E-15,19.380055E-15,19.480825E-15,19.582698E-15,19.685650E-15,19.789657E-15,19.894693E-15,20.000732E-15,20.107747E-15,20.215712E-15,20.324599E-15,20.434380E-15,20.545025E-15,20.656508E-15,20.768797E-15,20.881864E-15,20.995680E-15,21.110213E-15,21.225434E-15,21.341313E-15,21.457820E-15,21.574924E-15,21.692594E-15,21.810802E-15,21.929515E-15,22.048705E-15,22.168342E-15,22.288394E-15,22.408834E-15,22.529631E-15,22.650757E-15,22.772182E-15,22.893878E-15,23.015816E-15,23.137970E-15,23.260311E-15,23.382813E-15,23.505448E-15,23.628191E-15,23.751016E-15,23.873898E-15,23.996811E-15,24.119732E-15,24.242637E-15,24.365502E-15,24.488306E-15,24.611026E-15,24.733640E-15,24.856127E-15,24.978468E-15,25.100642E-15,25.222630E-15,25.344413E-15,25.465973E-15,25.587293E-15,25.708356E-15
308E-3,17.201620E-15,17.268474E-15,17.336701E-15,17.406305E-15,17.477288E-15,17.549651E-15,17.623395E-15,17.698519E-15,17.775019E-15,17.852895E-15,17.932140E-15,18.012750E-15,18.094717E-15,18.178035E-15,18.262694E-15,18.348683E-15,18.435992E-15,18.524608E-15,18.614518E-15,18.705707E-15,18.798160E-15,18.891859E-15,18.986787E-15,19.082925E-15,19.180254E-15,19.278753E-15,19.378401E-15,19.479174E-15,19.581051E-15,19.684006E-15,19.788017E-15,19.893056E-15,19.999098E-15,20.106117E-15,20.214086E-15,20.322976E-15,20.432760E-15,20.543410E-15,20.654896E-15,20.767189E-15,20.880260E-15,20.994078E-15,21.108615E-15,21.223840E-15,21.339722E-15,21.456232E-15,21.573340E-15,21.691014E-15,21.809224E-15,21.927941E-15,22.047135E-15,22.166774E-15,22.286830E-15,22.407273E-15,22.528073E-15,22.649202E-15,22.770630E-15,22.892329E-15,23.014271E-15,23.136427E-15,23.258771E-15,23.381276E-15,23.503914E-15,23.626660E-15,23.749487E-15,23.872371E-15,23.995287E-15,24.118210E-15,24.241118E-15,24.363985E-15,24.486791E-15,24.609513E-15,24.732129E-15,24.854619E-15,24.976961E-15,25.099137E-15,25.221126E-15,25.342911E-15,25.464473E-15,25.585794E-15,25.706858E-15
310E-3,17.199872E-15,17.266729E-15,17.334959E-15,17.404566E-15,17.475552E-15,17.547919E-15,17.621665E-15,17.696792E-15,17.773296E-15,17.851174E-15,17.930423E-15,18.011036E-15,18.093007E-15,18.176328E-15,18.260989E-15,18.346982E-15,18.434295E-15,18.522914E-15,18.612828E-15,18.704020E-15,18.796476E-15,18.890178E-15,18.985110E-15,19.081252E-15,19.178584E-15,19.277087E-15,19.376738E-15,19.477515E-15,19.579395E-15,19.682354E-15,19.786368E-15,19.891411E-15,19.997457E-15,20.104479E-15,20.212451E-15,20.321345E-15,20.431133E-15,20.541786E-15,20.653275E-15,20.765572E-15,20.878646E-15,20.992468E-15,21.107009E-15,21.222237E-15,21.338123E-15,21.454636E-15,21.571747E-15,21.689424E-15,21.807638E-15,21.926359E-15,22.045555E-15,22.165198E-15,22.285257E-15,22.405703E-15,22.526507E-15,22.647639E-15,22.769070E-15,22.890772E-15,23.012717E-15,23.134876E-15,23.257223E-15,23.379731E-15,23.502372E-15,23.625120E-15,23.747950E-15,23.870837E-15,23.993755E-15,24.116681E-15,24.239591E-15,24.362461E-15,24.485269E-15,24.607993E-15,24.730611E-15,24.853103E-15,24.975447E-15,25.097625E-15,25.219616E-15,25.341402E-15,25.462965E-15,25.584288E-15,25.705353E-15
312E-3,17.198118E-15,17.264978E-15,17.333211E-15,17.402821E-15,17.473810E-15,17.546179E-15,17.619929E-15,17.695058E-15,17.771565E-15,17.849447E-15,17.928699E-15,18.009315E-15,18.091289E-15,18.174613E-15,18.259278E-15,18.345274E-15,18.432590E-15,18.521213E-15,18.611129E-15,18.702325E-15,18.794784E-15,18.888490E-15,18.983425E-15,19.079570E-15,19.176906E-15,19.275412E-15,19.375066E-15,19.475847E-15,19.577731E-15,19.680693E-15,19.784711E-15,19.889757E-15,19.995806E-15,20.102833E-15,20.210808E-15,20.319706E-15,20.429497E-15,20.540153E-15,20.651646E-15,20.763946E-15,20.877024E-15,20.990850E-15,21.105394E-15,21.220625E-15,21.336515E-15,21.453032E-15,21.570146E-15,21.687827E-15,21.806044E-15,21.924768E-15,22.043968E-15,22.163614E-15,22.283676E-15,22.404125E-15,22.524932E-15,22.646067E-15,22.767501E-15,22.889207E-15,23.011154E-15,23.133317E-15,23.255667E-15,23.378177E-15,23.500821E-15,23.623572E-15,23.746405E-15,23.869295E-15,23.992216E-15,24.115144E-15,24.238056E-15,24.360929E-15,24.483739E-15,24.606465E-15,24.729086E-15,24.851580E-15,24.973926E-15,25.096105E-15,25.218099E-15,25.339887E-15,25.461452E-15,25.582776E-15,25.703843E-15
314E-3,17.196358E-15,17.263221E-15,17.331456E-15,17.401069E-15,17.472061E-15,17.544433E-15,17.618186E-15,17.693318E-15,17.769828E-15,17.847713E-15,17.926967E-15,18.007587E-15,18.089564E-15,18.172891E-15,18.257559E-15,18.343558E-15,18.430877E-15,18.519504E-15,18.609423E-15,18.700622E-15,18.793085E-15,18.886794E-15,18.981733E-15,19.077881E-15,19.175220E-15,19.273730E-15,19.373387E-15,19.474171E-15,19.576059E-15,19.679025E-15,19.783045E-15,19.888095E-15,19.994148E-15,20.101178E-15,20.209157E-15,20.318058E-15,20.427852E-15,20.538512E-15,20.650009E-15,20.762312E-15,20.875394E-15,20.989223E-15,21.103770E-15,21.219005E-15,21.334898E-15,21.451418E-15,21.568536E-15,21.686220E-15,21.804441E-15,21.923168E-15,22.042371E-15,22.162021E-15,22.282086E-15,22.402539E-15,22.523349E-15,22.644487E-15,22.765924E-15,22.887633E-15,23.009584E-15,23.131749E-15,23.254102E-15,23.376616E-15,23.499262E-15,23.622016E-15,23.744852E-15,23.867744E-15,23.990668E-15,24.113599E-15,24.236514E-15,24.359389E-15,24.482202E-15,24.604931E-15,24.727553E-15,24.850049E-15,24.972398E-15,25.094579E-15,25.216574E-15,25.338364E-15,25.459931E-15,25.581257E-15,25.702326E-15
316E-3,17.194592E-15,17.261457E-15,17.329696E-15,17.399311E-15,17.470306E-15,17.542680E-15,17.616436E-15,17.691571E-15,17.768084E-15,17.845972E-15,17.925229E-15,18.005852E-15,18.087832E-15,18.171162E-15,18.255834E-15,18.341836E-15,18.429158E-15,18.517787E-15,18.607710E-15,18.698913E-15,18.791378E-15,18.885091E-15,18.980032E-15,19.076184E-15,19.173527E-15,19.272039E-15,19.371701E-15,19.472488E-15,19.574378E-15,19.677348E-15,19.781372E-15,19.886425E-15,19.992482E-15,20.099515E-15,20.207497E-15,20.316402E-15,20.426200E-15,20.536863E-15,20.648363E-15,20.760670E-15,20.873755E-15,20.987587E-15,21.102138E-15,21.217377E-15,21.333273E-15,21.449797E-15,21.566918E-15,21.684605E-15,21.802829E-15,21.921560E-15,22.040766E-15,22.160419E-15,22.280488E-15,22.400944E-15,22.521757E-15,22.642898E-15,22.764339E-15,22.886051E-15,23.008005E-15,23.130173E-15,23.252529E-15,23.375046E-15,23.497695E-15,23.620452E-15,23.743291E-15,23.866186E-15,23.989112E-15,24.112046E-15,24.234964E-15,24.357841E-15,24.480657E-15,24.603388E-15,24.726013E-15,24.848511E-15,24.970862E-15,25.093046E-15,25.215043E-15,25.336835E-15,25.458404E-15,25.579732E-15,25.700802E-15
318E-3,17.192820E-15,17.259688E-15,17.327929E-15,17.397547E-15,17.468544E-15,17.540922E-15,17.614680E-15,17.689818E-15,17.766334E-15,17.844225E-15,17.923485E-15,18.004110E-15,18.086093E-15,18.169427E-15,18.254101E-15,18.340106E-15,18.427431E-15,18.516064E-15,18.605990E-15,18.697195E-15,18.789664E-15,18.883380E-15,18.978325E-15,19.074480E-15,19.171826E-15,19.270342E-15,19.370006E-15,19.470797E-15,19.572691E-15,19.675663E-15,19.779691E-15,19.884747E-15,19.990807E-15,20.097844E-15,20.205830E-15,20.314737E-15,20.424539E-15,20.535206E-15,20.646709E-15,20.759019E-15,20.872108E-15,20.985944E-15,21.100498E-15,21.215740E-15,21.331639E-15,21.448167E-15,21.565291E-15,21.682982E-15,21.801209E-15,21.919943E-15,22.039153E-15,22.158809E-15,22.278881E-15,22.399341E-15,22.520157E-15,22.641302E-15,22.762745E-15,22.884460E-15,23.006417E-15,23.128589E-15,23.250948E-15,23.373467E-15,23.496120E-15,23.618880E-15,23.741722E-15,23.864619E-15,23.987549E-15,24.110485E-15,24.233405E-15,24.356286E-15,24.479104E-15,24.601838E-15,24.724465E-15,24.846966E-15,24.969319E-15,25.091505E-15,25.213504E-15,25.335299E-15,25.456869E-15,25.578199E-15,25.699271E-15
