dc (V),gds@Vgs 0.25 ,gds@Vgs 0.251 ,gds@Vgs 0.252 ,gds@Vgs 0.253 ,gds@Vgs 0.254 ,gds@Vgs 0.255 ,gds@Vgs 0.256 ,gds@Vgs 0.257 ,gds@Vgs 0.258 ,gds@Vgs 0.259 ,gds@Vgs 0.26 ,gds@Vgs 0.261 ,gds@Vgs 0.262 ,gds@Vgs 0.263 ,gds@Vgs 0.264 ,gds@Vgs 0.265 ,gds@Vgs 0.266 ,gds@Vgs 0.267 ,gds@Vgs 0.268 ,gds@Vgs 0.269 ,gds@Vgs 0.27 ,gds@Vgs 0.271 ,gds@Vgs 0.272 ,gds@Vgs 0.273 ,gds@Vgs 0.274 ,gds@Vgs 0.275 ,gds@Vgs 0.276 ,gds@Vgs 0.277 ,gds@Vgs 0.278 ,gds@Vgs 0.279 ,gds@Vgs 0.28 ,gds@Vgs 0.281 ,gds@Vgs 0.282 ,gds@Vgs 0.283 ,gds@Vgs 0.284 ,gds@Vgs 0.285 ,gds@Vgs 0.286 ,gds@Vgs 0.287 ,gds@Vgs 0.288 ,gds@Vgs 0.289 ,gds@Vgs 0.29 ,gds@Vgs 0.291 ,gds@Vgs 0.292 ,gds@Vgs 0.293 ,gds@Vgs 0.294 ,gds@Vgs 0.295 ,gds@Vgs 0.296 ,gds@Vgs 0.297 ,gds@Vgs 0.298 ,gds@Vgs 0.299 ,gds@Vgs 0.3 ,gds@Vgs 0.301 ,gds@Vgs 0.302 ,gds@Vgs 0.303 ,gds@Vgs 0.304 ,gds@Vgs 0.305 ,gds@Vgs 0.306 ,gds@Vgs 0.307 ,gds@Vgs 0.308 ,gds@Vgs 0.309 ,gds@Vgs 0.31 ,gds@Vgs 0.311 ,gds@Vgs 0.312 ,gds@Vgs 0.313 ,gds@Vgs 0.314 ,gds@Vgs 0.315 ,gds@Vgs 0.316 ,gds@Vgs 0.317 ,gds@Vgs 0.318 ,gds@Vgs 0.319 ,gds@Vgs 0.32 ,gds@Vgs 0.321 ,gds@Vgs 0.322 ,gds@Vgs 0.323 ,gds@Vgs 0.324 ,gds@Vgs 0.325 ,gds@Vgs 0.326 ,gds@Vgs 0.327 ,gds@Vgs 0.328 ,gds@Vgs 0.329 ,gds@Vgs 0.33 
300E-3,9.2620367E-6,9.5460431E-6,9.8381374E-6,10.138516E-6,10.447377E-6,10.764923E-6,11.091360E-6,11.426894E-6,11.771736E-6,12.126100E-6,12.490202E-6,12.864261E-6,13.248497E-6,13.643134E-6,14.048399E-6,14.464520E-6,14.891728E-6,15.330255E-6,15.780336E-6,16.242208E-6,16.716110E-6,17.202281E-6,17.700965E-6,18.212403E-6,18.736841E-6,19.274525E-6,19.825701E-6,20.390618E-6,20.969525E-6,21.562672E-6,22.170307E-6,22.792682E-6,23.430048E-6,24.082655E-6,24.750755E-6,25.434599E-6,26.134436E-6,26.850518E-6,27.583092E-6,28.332410E-6,29.098718E-6,29.882263E-6,30.683291E-6,31.502048E-6,32.338775E-6,33.193716E-6,34.067110E-6,34.959196E-6,35.870210E-6,36.800388E-6,37.749961E-6,38.719160E-6,39.708214E-6,40.717348E-6,41.746786E-6,42.796750E-6,43.867457E-6,44.959125E-6,46.071965E-6,47.206189E-6,48.362006E-6,49.539619E-6,50.739232E-6,51.961045E-6,53.205253E-6,54.472052E-6,55.761632E-6,57.074181E-6,58.409886E-6,59.768929E-6,61.151489E-6,62.557745E-6,63.987870E-6,65.442037E-6,66.920415E-6,68.423170E-6,69.950465E-6,71.502463E-6,73.079323E-6,74.681201E-6,76.308251E-6
302E-3,9.2632512E-6,9.5472489E-6,9.8393317E-6,10.139695E-6,10.448539E-6,10.766064E-6,11.092475E-6,11.427980E-6,11.772789E-6,12.127115E-6,12.491174E-6,12.865184E-6,13.249366E-6,13.643944E-6,14.049143E-6,14.465191E-6,14.892319E-6,15.330758E-6,15.780744E-6,16.242513E-6,16.716302E-6,17.202351E-6,17.700903E-6,18.212199E-6,18.736484E-6,19.274002E-6,19.825002E-6,20.389729E-6,20.968433E-6,21.561361E-6,22.168764E-6,22.790891E-6,23.427992E-6,24.080317E-6,24.748118E-6,25.431642E-6,26.131141E-6,26.846863E-6,27.579058E-6,28.327972E-6,29.093853E-6,29.876947E-6,30.677498E-6,31.495751E-6,32.331947E-6,33.186328E-6,34.059131E-6,34.950595E-6,35.860954E-6,36.790443E-6,37.739292E-6,38.707731E-6,39.695986E-6,40.704282E-6,41.732841E-6,42.781883E-6,43.851624E-6,44.942280E-6,46.054062E-6,47.187179E-6,48.341837E-6,49.518240E-6,50.716588E-6,51.937079E-6,53.179909E-6,54.445269E-6,55.733348E-6,57.044333E-6,58.378407E-6,59.735752E-6,61.116544E-6,62.520959E-6,63.949169E-6,65.401343E-6,66.877649E-6,68.378250E-6,69.903308E-6,71.452982E-6,73.027428E-6,74.626801E-6,76.251251E-6
304E-3,9.2646100E-6,9.5486038E-6,9.8406801E-6,10.141034E-6,10.449865E-6,10.767374E-6,11.093766E-6,11.429248E-6,11.774029E-6,12.128324E-6,12.492346E-6,12.866315E-6,13.250450E-6,13.644975E-6,14.050115E-6,14.466099E-6,14.893154E-6,15.331515E-6,15.781414E-6,16.243088E-6,16.716774E-6,17.202711E-6,17.701140E-6,18.212304E-6,18.736445E-6,19.273810E-6,19.824644E-6,20.389192E-6,20.967704E-6,21.560427E-6,22.167610E-6,22.789502E-6,23.426352E-6,24.078410E-6,24.745925E-6,25.429146E-6,26.128322E-6,26.843702E-6,27.575532E-6,28.324060E-6,29.089533E-6,29.872194E-6,30.672288E-6,31.490057E-6,32.325742E-6,33.179583E-6,34.051818E-6,34.942682E-6,35.852411E-6,36.781235E-6,37.729385E-6,38.697089E-6,39.684573E-6,40.692058E-6,41.719767E-6,42.767917E-6,43.836724E-6,44.926401E-6,46.037157E-6,47.169200E-6,48.322736E-6,49.497964E-6,50.695085E-6,51.914295E-6,53.155786E-6,54.419749E-6,55.706371E-6,57.015837E-6,58.348327E-6,59.704021E-6,61.083094E-6,62.485719E-6,63.912066E-6,65.362303E-6,66.836593E-6,68.335100E-6,69.857981E-6,71.405393E-6,72.977490E-6,74.574424E-6,76.196343E-6
306E-3,9.2661096E-6,9.5501044E-6,9.8421790E-6,10.142529E-6,10.451353E-6,10.768851E-6,11.095229E-6,11.430693E-6,11.775453E-6,12.129722E-6,12.493714E-6,12.867648E-6,13.251743E-6,13.646223E-6,14.051312E-6,14.467237E-6,14.894229E-6,15.332519E-6,15.782339E-6,16.243927E-6,16.717518E-6,17.203352E-6,17.701668E-6,18.212710E-6,18.736719E-6,19.273940E-6,19.824618E-6,20.389000E-6,20.967332E-6,21.559862E-6,22.166837E-6,22.788507E-6,23.425120E-6,24.076923E-6,24.744167E-6,25.427100E-6,26.125968E-6,26.841020E-6,27.572503E-6,28.320662E-6,29.085743E-6,29.867990E-6,30.667644E-6,31.484949E-6,32.320143E-6,33.173466E-6,34.045154E-6,34.935441E-6,35.844561E-6,36.772745E-6,37.720221E-6,38.687215E-6,39.673953E-6,40.680656E-6,41.707543E-6,42.754830E-6,43.822732E-6,44.911460E-6,46.021223E-6,47.152226E-6,48.304673E-6,49.478763E-6,50.674694E-6,51.892659E-6,53.132851E-6,54.395458E-6,55.680665E-6,56.988654E-6,58.319605E-6,59.673695E-6,61.051097E-6,62.451982E-6,63.876518E-6,65.324870E-6,66.797200E-6,68.293668E-6,69.814430E-6,71.359641E-6,72.929452E-6,74.524012E-6,76.143467E-6
308E-3,9.2677470E-6,9.5517472E-6,9.8438250E-6,10.144175E-6,10.452997E-6,10.770490E-6,11.096860E-6,11.432312E-6,11.777056E-6,12.131305E-6,12.495273E-6,12.869179E-6,13.253240E-6,13.647681E-6,14.052726E-6,14.468602E-6,14.895537E-6,15.333763E-6,15.783514E-6,16.245023E-6,16.718528E-6,17.204268E-6,17.702481E-6,18.213410E-6,18.737296E-6,19.274384E-6,19.824918E-6,20.389143E-6,20.967306E-6,21.559655E-6,22.166435E-6,22.787895E-6,23.424283E-6,24.075846E-6,24.742833E-6,25.425491E-6,26.124067E-6,26.838807E-6,27.569958E-6,28.317765E-6,29.082471E-6,29.864320E-6,30.663554E-6,31.480413E-6,32.315136E-6,33.167960E-6,34.039121E-6,34.928853E-6,35.837387E-6,36.764953E-6,37.711779E-6,38.678089E-6,39.664107E-6,40.670052E-6,41.696144E-6,42.742597E-6,43.809623E-6,44.897433E-6,46.006233E-6,47.136228E-6,48.287620E-6,49.460606E-6,50.655382E-6,51.872141E-6,53.111072E-6,54.372362E-6,55.656194E-6,56.962749E-6,58.292205E-6,59.644735E-6,61.020513E-6,62.419706E-6,63.842480E-6,65.288999E-6,66.759422E-6,68.253906E-6,69.772607E-6,71.315675E-6,72.883260E-6,74.475509E-6,76.092565E-6
310E-3,9.2695189E-6,9.5535292E-6,9.8456147E-6,10.145971E-6,10.454795E-6,10.772288E-6,11.098654E-6,11.434100E-6,11.778834E-6,12.133069E-6,12.497020E-6,12.870903E-6,13.254938E-6,13.649347E-6,14.054354E-6,14.470186E-6,14.897073E-6,15.335243E-6,15.784931E-6,16.246371E-6,16.719799E-6,17.205453E-6,17.703572E-6,18.214397E-6,18.738170E-6,19.275134E-6,19.825534E-6,20.389614E-6,20.967620E-6,21.559797E-6,22.166394E-6,22.787657E-6,23.423833E-6,24.075169E-6,24.741912E-6,25.424309E-6,26.122607E-6,26.837050E-6,27.567885E-6,28.315355E-6,29.079704E-6,29.861173E-6,30.660003E-6,31.476435E-6,32.310705E-6,33.163050E-6,34.033705E-6,34.922902E-6,35.830872E-6,36.757842E-6,37.704041E-6,38.669690E-6,39.655013E-6,40.660227E-6,41.685550E-6,42.731195E-6,43.797374E-6,44.884295E-6,45.992163E-6,47.121182E-6,48.271550E-6,49.443466E-6,50.637122E-6,51.852709E-6,53.090416E-6,54.350428E-6,55.632925E-6,56.938087E-6,58.266089E-6,59.617104E-6,60.991302E-6,62.388850E-6,63.809911E-6,65.254646E-6,66.723213E-6,68.215768E-6,69.732461E-6,71.273444E-6,72.838862E-6,74.428860E-6,76.043579E-6
312E-3,9.2714225E-6,9.5554471E-6,9.8475449E-6,10.147911E-6,10.456743E-6,10.774241E-6,11.100609E-6,11.436054E-6,11.780784E-6,12.135011E-6,12.498949E-6,12.872816E-6,13.256830E-6,13.651213E-6,14.056190E-6,14.471987E-6,14.898831E-6,15.336953E-6,15.786587E-6,16.247965E-6,16.721323E-6,17.206900E-6,17.704933E-6,18.215664E-6,18.739334E-6,19.276184E-6,19.826460E-6,20.390404E-6,20.968263E-6,21.560282E-6,22.166707E-6,22.787784E-6,23.423760E-6,24.074881E-6,24.741394E-6,25.423544E-6,26.121578E-6,26.835739E-6,27.566272E-6,28.313421E-6,29.077428E-6,29.858534E-6,30.656978E-6,31.473000E-6,32.306836E-6,33.158722E-6,34.028890E-6,34.917572E-6,35.824998E-6,36.751395E-6,37.696989E-6,38.662001E-6,39.646652E-6,40.651160E-6,41.675740E-6,42.720605E-6,43.785963E-6,44.872024E-6,45.978989E-6,47.107062E-6,48.256439E-6,49.427316E-6,50.619885E-6,51.834336E-6,53.070855E-6,54.329625E-6,55.610825E-6,56.914633E-6,58.241223E-6,59.590766E-6,60.963428E-6,62.359376E-6,63.778770E-6,65.221770E-6,66.688532E-6,68.179207E-6,69.693948E-6,71.232899E-6,72.796208E-6,74.384014E-6,75.996457E-6
314E-3,9.2734548E-6,9.5574981E-6,9.8496126E-6,10.149993E-6,10.458837E-6,10.776345E-6,11.102721E-6,11.438169E-6,11.782900E-6,12.137125E-6,12.501057E-6,12.874913E-6,13.258913E-6,13.653277E-6,14.058230E-6,14.473997E-6,14.900807E-6,15.338888E-6,15.788474E-6,16.249798E-6,16.723096E-6,17.208604E-6,17.706560E-6,18.217205E-6,18.740780E-6,19.277527E-6,19.827688E-6,20.391507E-6,20.969230E-6,21.561101E-6,22.167365E-6,22.788268E-6,23.424056E-6,24.074975E-6,24.741270E-6,25.423186E-6,26.120969E-6,26.834862E-6,27.565109E-6,28.311952E-6,29.075632E-6,29.856391E-6,30.654466E-6,31.470096E-6,32.303515E-6,33.154959E-6,34.024660E-6,34.912848E-6,35.819751E-6,36.745596E-6,37.690606E-6,38.655003E-6,39.639006E-6,40.642832E-6,41.666694E-6,42.710804E-6,43.775369E-6,44.860597E-6,45.966688E-6,47.093843E-6,48.242259E-6,49.412130E-6,50.603646E-6,51.816994E-6,53.052359E-6,54.309923E-6,55.589864E-6,56.892357E-6,58.217575E-6,59.565685E-6,60.936855E-6,62.331246E-6,63.749019E-6,65.190331E-6,66.655335E-6,68.144182E-6,69.657021E-6,71.193996E-6,72.755249E-6,74.340920E-6,75.951147E-6
316E-3,9.2756132E-6,9.5596792E-6,9.8518148E-6,10.152214E-6,10.461075E-6,10.778598E-6,11.104985E-6,11.440443E-6,11.785180E-6,12.139408E-6,12.503339E-6,12.877191E-6,13.261182E-6,13.655534E-6,14.060469E-6,14.476214E-6,14.902995E-6,15.341043E-6,15.790589E-6,16.251867E-6,16.725111E-6,17.210558E-6,17.708446E-6,18.219014E-6,18.742503E-6,19.279155E-6,19.829211E-6,20.392916E-6,20.970512E-6,21.562245E-6,22.168359E-6,22.789100E-6,23.424712E-6,24.075440E-6,24.741530E-6,25.423226E-6,26.120771E-6,26.834410E-6,27.564384E-6,28.310936E-6,29.074305E-6,29.854732E-6,30.652455E-6,31.467709E-6,32.300729E-6,33.151750E-6,34.021002E-6,34.908714E-6,35.815114E-6,36.740427E-6,37.684875E-6,38.648679E-6,39.632057E-6,40.635224E-6,41.658393E-6,42.701773E-6,43.765571E-6,44.849992E-6,45.955237E-6,47.081505E-6,48.228989E-6,49.397884E-6,50.588377E-6,51.800655E-6,53.034901E-6,54.291295E-6,55.570013E-6,56.871228E-6,58.195111E-6,59.541830E-6,60.911547E-6,62.304425E-6,63.720621E-6,65.160290E-6,66.623584E-6,68.110652E-6,69.621638E-6,71.156688E-6,72.715940E-6,74.299532E-6,75.907599E-6
318E-3,9.2778948E-6,9.5619878E-6,9.8541487E-6,10.154572E-6,10.463454E-6,10.780996E-6,11.107400E-6,11.442872E-6,11.787621E-6,12.141856E-6,12.505793E-6,12.879646E-6,13.263635E-6,13.657979E-6,14.062903E-6,14.478632E-6,14.905392E-6,15.343413E-6,15.792926E-6,16.254165E-6,16.727363E-6,17.212757E-6,17.710585E-6,18.221085E-6,18.744497E-6,19.281063E-6,19.831024E-6,20.394622E-6,20.972103E-6,21.563708E-6,22.169683E-6,22.790272E-6,23.425719E-6,24.076269E-6,24.742166E-6,25.423653E-6,26.120974E-6,26.834372E-6,27.564088E-6,28.310363E-6,29.073436E-6,29.853547E-6,30.650932E-6,31.465827E-6,32.298466E-6,33.149080E-6,34.017901E-6,34.905157E-6,35.811073E-6,36.735874E-6,37.679781E-6,38.643014E-6,39.625789E-6,40.628320E-6,41.650818E-6,42.693493E-6,43.756549E-6,44.840190E-6,45.944616E-6,47.070023E-6,48.216605E-6,49.384553E-6,50.574055E-6,51.785295E-6,53.018455E-6,54.273712E-6,55.551241E-6,56.851215E-6,58.173802E-6,59.519167E-6,60.887473E-6,62.278879E-6,63.693541E-6,65.131611E-6,66.593240E-6,68.078575E-6,69.587759E-6,71.120933E-6,72.678236E-6,74.259803E-6,75.865765E-6
