dc (V),gm@Vgs 0.25 ,gm@Vgs 0.251 ,gm@Vgs 0.252 ,gm@Vgs 0.253 ,gm@Vgs 0.254 ,gm@Vgs 0.255 ,gm@Vgs 0.256 ,gm@Vgs 0.257 ,gm@Vgs 0.258 ,gm@Vgs 0.259 ,gm@Vgs 0.26 ,gm@Vgs 0.261 ,gm@Vgs 0.262 ,gm@Vgs 0.263 ,gm@Vgs 0.264 ,gm@Vgs 0.265 ,gm@Vgs 0.266 ,gm@Vgs 0.267 ,gm@Vgs 0.268 ,gm@Vgs 0.269 ,gm@Vgs 0.27 ,gm@Vgs 0.271 ,gm@Vgs 0.272 ,gm@Vgs 0.273 ,gm@Vgs 0.274 ,gm@Vgs 0.275 ,gm@Vgs 0.276 ,gm@Vgs 0.277 ,gm@Vgs 0.278 ,gm@Vgs 0.279 ,gm@Vgs 0.28 ,gm@Vgs 0.281 ,gm@Vgs 0.282 ,gm@Vgs 0.283 ,gm@Vgs 0.284 ,gm@Vgs 0.285 ,gm@Vgs 0.286 ,gm@Vgs 0.287 ,gm@Vgs 0.288 ,gm@Vgs 0.289 ,gm@Vgs 0.29 ,gm@Vgs 0.291 ,gm@Vgs 0.292 ,gm@Vgs 0.293 ,gm@Vgs 0.294 ,gm@Vgs 0.295 ,gm@Vgs 0.296 ,gm@Vgs 0.297 ,gm@Vgs 0.298 ,gm@Vgs 0.299 ,gm@Vgs 0.3 ,gm@Vgs 0.301 ,gm@Vgs 0.302 ,gm@Vgs 0.303 ,gm@Vgs 0.304 ,gm@Vgs 0.305 ,gm@Vgs 0.306 ,gm@Vgs 0.307 ,gm@Vgs 0.308 ,gm@Vgs 0.309 ,gm@Vgs 0.31 ,gm@Vgs 0.311 ,gm@Vgs 0.312 ,gm@Vgs 0.313 ,gm@Vgs 0.314 ,gm@Vgs 0.315 ,gm@Vgs 0.316 ,gm@Vgs 0.317 ,gm@Vgs 0.318 ,gm@Vgs 0.319 ,gm@Vgs 0.32 ,gm@Vgs 0.321 ,gm@Vgs 0.322 ,gm@Vgs 0.323 ,gm@Vgs 0.324 ,gm@Vgs 0.325 ,gm@Vgs 0.326 ,gm@Vgs 0.327 ,gm@Vgs 0.328 ,gm@Vgs 0.329 ,gm@Vgs 0.33 
300E-3,348.18142E-6,358.75409E-6,369.62046E-6,380.78720E-6,392.26107E-6,404.04887E-6,416.15751E-6,428.59394E-6,441.36520E-6,454.47837E-6,467.94059E-6,481.75906E-6,495.94102E-6,510.49376E-6,525.42462E-6,540.74095E-6,556.45017E-6,572.55968E-6,589.07694E-6,606.00940E-6,623.36454E-6,641.14981E-6,659.37271E-6,678.04070E-6,697.16122E-6,716.74172E-6,736.78961E-6,757.31225E-6,778.31701E-6,799.81117E-6,821.80199E-6,844.29665E-6,867.30230E-6,890.82600E-6,914.87472E-6,939.45540E-6,964.57483E-6,990.23976E-6,1.0164568E-3,1.0432325E-3,1.0705733E-3,1.0984854E-3,1.1269751E-3,1.1560483E-3,1.1857111E-3,1.2159691E-3,1.2468281E-3,1.2782935E-3,1.3103707E-3,1.3430648E-3,1.3763809E-3,1.4103239E-3,1.4448984E-3,1.4801090E-3,1.5159600E-3,1.5524557E-3,1.5896000E-3,1.6273968E-3,1.6658498E-3,1.7049624E-3,1.7447378E-3,1.7851792E-3,1.8262896E-3,1.8680716E-3,1.9105277E-3,1.9536604E-3,1.9974717E-3,2.0419638E-3,2.0871382E-3,2.1329968E-3,2.1795407E-3,2.2267714E-3,2.2746897E-3,2.3232966E-3,2.3725928E-3,2.4225786E-3,2.4732544E-3,2.5246202E-3,2.5766760E-3,2.6294216E-3,2.6828564E-3
302E-3,348.74146E-6,359.33011E-6,370.21286E-6,381.39636E-6,392.88739E-6,404.69276E-6,416.81938E-6,429.27422E-6,442.06430E-6,455.19672E-6,468.67863E-6,482.51722E-6,496.71976E-6,511.29352E-6,526.24586E-6,541.58413E-6,557.31574E-6,573.44812E-6,589.98871E-6,606.94499E-6,624.32441E-6,642.13446E-6,660.38262E-6,679.07634E-6,698.22310E-6,717.83033E-6,737.90543E-6,758.45580E-6,779.48877E-6,801.01164E-6,823.03167E-6,845.55605E-6,868.59192E-6,892.14633E-6,916.22627E-6,940.83866E-6,965.99032E-6,991.68796E-6,1.0179382E-3,1.0447476E-3,1.0721226E-3,1.1000694E-3,1.1285943E-3,1.1577032E-3,1.1874021E-3,1.2176968E-3,1.2485929E-3,1.2800959E-3,1.3122111E-3,1.3449438E-3,1.3782989E-3,1.4122813E-3,1.4468957E-3,1.4821466E-3,1.5180384E-3,1.5545753E-3,1.5917613E-3,1.6296002E-3,1.6680957E-3,1.7072512E-3,1.7470700E-3,1.7875552E-3,1.8287096E-3,1.8705362E-3,1.9130372E-3,1.9562152E-3,2.0000723E-3,2.0446104E-3,2.0898313E-3,2.1357366E-3,2.1823277E-3,2.2296058E-3,2.2775720E-3,2.3262271E-3,2.3755717E-3,2.4256064E-3,2.4763313E-3,2.5277466E-3,2.5798523E-3,2.6326479E-3,2.6861332E-3
304E-3,349.30150E-6,359.90612E-6,370.80523E-6,382.00549E-6,393.51367E-6,405.33661E-6,417.48121E-6,429.95444E-6,442.76333E-6,455.91500E-6,469.41658E-6,483.27530E-6,497.49839E-6,512.09317E-6,527.06696E-6,542.42716E-6,558.18115E-6,574.33638E-6,590.90030E-6,607.88036E-6,625.28406E-6,643.11886E-6,661.39225E-6,680.11170E-6,699.28467E-6,718.91860E-6,739.02090E-6,759.59896E-6,780.66011E-6,802.21167E-6,824.26089E-6,846.81495E-6,869.88100E-6,893.46609E-6,917.57722E-6,942.22129E-6,967.40512E-6,993.13544E-6,1.0194189E-3,1.0462620E-3,1.0736711E-3,1.1016525E-3,1.1302125E-3,1.1593571E-3,1.1890921E-3,1.2194234E-3,1.2503565E-3,1.2818970E-3,1.3140502E-3,1.3468213E-3,1.3802153E-3,1.4142371E-3,1.4488913E-3,1.4841825E-3,1.5201151E-3,1.5566931E-3,1.5939207E-3,1.6318016E-3,1.6703395E-3,1.7095378E-3,1.7493998E-3,1.7899286E-3,1.8311272E-3,1.8729981E-3,1.9155440E-3,1.9587672E-3,2.0026698E-3,2.0472538E-3,2.0925210E-3,2.1384729E-3,2.1851111E-3,2.2324366E-3,2.2804504E-3,2.3291535E-3,2.3785465E-3,2.4286298E-3,2.4794038E-3,2.5308684E-3,2.5830236E-3,2.6358692E-3,2.6894046E-3
306E-3,349.86153E-6,360.48213E-6,371.39759E-6,382.61460E-6,394.13993E-6,405.98043E-6,418.14299E-6,430.63461E-6,443.46231E-6,456.63321E-6,470.15447E-6,484.03329E-6,498.27693E-6,512.89271E-6,527.88795E-6,543.27006E-6,559.04642E-6,575.22449E-6,591.81171E-6,608.81555E-6,626.24350E-6,644.10304E-6,662.40165E-6,681.14680E-6,700.34596E-6,720.00657E-6,740.13604E-6,760.74176E-6,781.83108E-6,803.41130E-6,825.48966E-6,848.07338E-6,871.16957E-6,894.78531E-6,918.92759E-6,943.60330E-6,968.81927E-6,994.58223E-6,1.0208988E-3,1.0477755E-3,1.0752187E-3,1.1032348E-3,1.1318299E-3,1.1610100E-3,1.1907810E-3,1.2211488E-3,1.2521190E-3,1.2836969E-3,1.3158881E-3,1.3486976E-3,1.3821304E-3,1.4161915E-3,1.4508855E-3,1.4862169E-3,1.5221900E-3,1.5588091E-3,1.5960782E-3,1.6340010E-3,1.6725812E-3,1.7118222E-3,1.7517274E-3,1.7922997E-3,1.8335422E-3,1.8754575E-3,1.9180480E-3,1.9613163E-3,2.0052644E-3,2.0498942E-3,2.0952075E-3,2.1412060E-3,2.1878910E-3,2.2352637E-3,2.2833251E-3,2.3320761E-3,2.3815172E-3,2.4316491E-3,2.4824718E-3,2.5339856E-3,2.5861903E-3,2.6390856E-3,2.6926710E-3
308E-3,350.42158E-6,361.05814E-6,371.98995E-6,383.22371E-6,394.76618E-6,406.62423E-6,418.80475E-6,431.31475E-6,444.16125E-6,457.35138E-6,470.89229E-6,484.79121E-6,499.05540E-6,513.69216E-6,528.70884E-6,544.11284E-6,559.91157E-6,576.11245E-6,592.72296E-6,609.75057E-6,627.20275E-6,645.08701E-6,663.41081E-6,682.18165E-6,701.40698E-6,721.09424E-6,741.25086E-6,761.88423E-6,783.00168E-6,804.61053E-6,826.71802E-6,849.33136E-6,872.45767E-6,896.10403E-6,920.27741E-6,944.98473E-6,970.23280E-6,996.02836E-6,1.0223780E-3,1.0492883E-3,1.0767656E-3,1.1048162E-3,1.1334463E-3,1.1626619E-3,1.1924690E-3,1.2228732E-3,1.2538803E-3,1.2854957E-3,1.3177247E-3,1.3505725E-3,1.3840442E-3,1.4181444E-3,1.4528781E-3,1.4882496E-3,1.5242633E-3,1.5609234E-3,1.5982338E-3,1.6361985E-3,1.6748209E-3,1.7141046E-3,1.7540528E-3,1.7946686E-3,1.8359548E-3,1.8779143E-3,1.9205495E-3,1.9638627E-3,2.0078561E-3,2.0525316E-3,2.0978910E-3,2.1439358E-3,2.1906676E-3,2.2380873E-3,2.2861961E-3,2.3349948E-3,2.3844840E-3,2.4346642E-3,2.4855356E-3,2.5370984E-3,2.5893523E-3,2.6422972E-3,2.6959325E-3
310E-3,350.98164E-6,361.63416E-6,372.58232E-6,383.83281E-6,395.39243E-6,407.26802E-6,419.46650E-6,431.99486E-6,444.86016E-6,458.06951E-6,471.63007E-6,485.54908E-6,499.83379E-6,514.49153E-6,529.52965E-6,544.95553E-6,560.77660E-6,577.00029E-6,593.63408E-6,610.68543E-6,628.16184E-6,646.07079E-6,664.41977E-6,683.21627E-6,702.46775E-6,722.18165E-6,742.36540E-6,763.02638E-6,784.17194E-6,805.80939E-6,827.94599E-6,850.58892E-6,873.74532E-6,897.42226E-6,921.62672E-6,946.36561E-6,971.64575E-6,997.47386E-6,1.0238566E-3,1.0508004E-3,1.0783117E-3,1.1063968E-3,1.1350619E-3,1.1643130E-3,1.1941560E-3,1.2245967E-3,1.2556406E-3,1.2872933E-3,1.3195602E-3,1.3524462E-3,1.3859566E-3,1.4200960E-3,1.4548693E-3,1.4902808E-3,1.5263350E-3,1.5630360E-3,1.6003877E-3,1.6383941E-3,1.6770587E-3,1.7163849E-3,1.7563760E-3,1.7970352E-3,1.8383652E-3,1.8803687E-3,1.9230484E-3,1.9664064E-3,2.0104450E-3,2.0551661E-3,2.1005714E-3,2.1466625E-3,2.1934409E-3,2.2409075E-3,2.2890636E-3,2.3379099E-3,2.3874470E-3,2.4376754E-3,2.4885953E-3,2.5402068E-3,2.5925099E-3,2.6455041E-3,2.6991891E-3
312E-3,351.54173E-6,362.21020E-6,373.17470E-6,384.44194E-6,396.01869E-6,407.91181E-6,420.12824E-6,432.67497E-6,445.55905E-6,458.78761E-6,472.36782E-6,486.30690E-6,500.61214E-6,515.29084E-6,530.35038E-6,545.79813E-6,561.64153E-6,577.88802E-6,594.54507E-6,611.62015E-6,629.12076E-6,647.05440E-6,665.42855E-6,684.25069E-6,703.52830E-6,723.26882E-6,743.47967E-6,764.16824E-6,785.34189E-6,807.00792E-6,829.17358E-6,851.84608E-6,875.03254E-6,898.74003E-6,922.97554E-6,947.74597E-6,973.05813E-6,998.91876E-6,1.0253345E-3,1.0523118E-3,1.0798571E-3,1.1079767E-3,1.1366767E-3,1.1659632E-3,1.1958421E-3,1.2263191E-3,1.2573999E-3,1.2890899E-3,1.3213945E-3,1.3543187E-3,1.3878677E-3,1.4220463E-3,1.4568590E-3,1.4923105E-3,1.5284051E-3,1.5651469E-3,1.6025399E-3,1.6405879E-3,1.6792946E-3,1.7186632E-3,1.7586972E-3,1.7993996E-3,1.8407732E-3,1.8828208E-3,1.9255448E-3,1.9689476E-3,2.0130313E-3,2.0577978E-3,2.1032489E-3,2.1493862E-3,2.1962110E-3,2.2437245E-3,2.2919276E-3,2.3408214E-3,2.3904062E-3,2.4406827E-3,2.4916509E-3,2.5433111E-3,2.5956631E-3,2.6487065E-3,2.7024410E-3
314E-3,352.10185E-6,362.78628E-6,373.76712E-6,385.05108E-6,396.64496E-6,408.55562E-6,420.78999E-6,433.35508E-6,446.25794E-6,459.50570E-6,473.10554E-6,487.06470E-6,501.39044E-6,516.09011E-6,531.17105E-6,546.64066E-6,562.50638E-6,578.77565E-6,595.45595E-6,612.55475E-6,630.07955E-6,648.03786E-6,666.43715E-6,685.28492E-6,704.58863E-6,724.35575E-6,744.59368E-6,765.30983E-6,786.51154E-6,808.20613E-6,830.40083E-6,853.10287E-6,876.31936E-6,900.05737E-6,924.32389E-6,949.12582E-6,974.46998E-6,1.0003631E-3,1.0268118E-3,1.0538225E-3,1.0814018E-3,1.1095558E-3,1.1382907E-3,1.1676126E-3,1.1975273E-3,1.2280406E-3,1.2591582E-3,1.2908854E-3,1.3232277E-3,1.3561901E-3,1.3897776E-3,1.4239952E-3,1.4588475E-3,1.4943389E-3,1.5304738E-3,1.5672563E-3,1.6046905E-3,1.6427800E-3,1.6815286E-3,1.7209397E-3,1.7610164E-3,1.8017620E-3,1.8431791E-3,1.8852706E-3,1.9280389E-3,1.9714863E-3,2.0156150E-3,2.0604268E-3,2.1059236E-3,2.1521069E-3,2.1989780E-3,2.2465381E-3,2.2947883E-3,2.3437293E-3,2.3933618E-3,2.4436861E-3,2.4947026E-3,2.5464113E-3,2.5988120E-3,2.6519046E-3,2.7056884E-3
316E-3,352.66202E-6,363.36239E-6,374.35957E-6,385.66026E-6,397.27126E-6,409.19945E-6,421.45176E-6,434.03519E-6,446.95683E-6,460.22379E-6,473.84325E-6,487.82247E-6,502.16872E-6,516.88933E-6,531.99167E-6,547.48314E-6,563.37116E-6,579.66320E-6,596.36673E-6,613.48924E-6,631.03822E-6,649.02117E-6,667.44560E-6,686.31897E-6,705.64878E-6,725.44247E-6,745.70747E-6,766.45117E-6,787.68092E-6,809.40403E-6,831.62776E-6,854.35931E-6,877.60580E-6,901.37430E-6,925.67181E-6,950.50521E-6,975.88133E-6,1.0018069E-3,1.0282885E-3,1.0553327E-3,1.0829458E-3,1.1111342E-3,1.1399039E-3,1.1692611E-3,1.1992117E-3,1.2297612E-3,1.2609155E-3,1.2926799E-3,1.3250598E-3,1.3580603E-3,1.3916864E-3,1.4259429E-3,1.4608346E-3,1.4963658E-3,1.5325409E-3,1.5693642E-3,1.6068394E-3,1.6449705E-3,1.6837609E-3,1.7232143E-3,1.7633337E-3,1.8041223E-3,1.8455829E-3,1.8877181E-3,1.9305306E-3,1.9740225E-3,2.0181961E-3,2.0630532E-3,2.1085955E-3,2.1548247E-3,2.2017420E-3,2.2493487E-3,2.2976457E-3,2.3466339E-3,2.3963138E-3,2.4466860E-3,2.4977505E-3,2.5495075E-3,2.6019569E-3,2.6550983E-3,2.7089313E-3
318E-3,353.22223E-6,363.93855E-6,374.95206E-6,386.26947E-6,397.89760E-6,409.84331E-6,422.11355E-6,434.71533E-6,447.65573E-6,460.94188E-6,474.58097E-6,488.58024E-6,502.94699E-6,517.68853E-6,532.81226E-6,548.32557E-6,564.23589E-6,580.55069E-6,597.27744E-6,614.42364E-6,631.99678E-6,650.00437E-6,668.45391E-6,687.35288E-6,706.70876E-6,726.52901E-6,746.82105E-6,767.59228E-6,788.85005E-6,810.60166E-6,832.85439E-6,855.61542E-6,878.89188E-6,902.69085E-6,927.01931E-6,951.88415E-6,977.29220E-6,1.0032502E-3,1.0297647E-3,1.0568422E-3,1.0844892E-3,1.1127119E-3,1.1415165E-3,1.1709090E-3,1.2008952E-3,1.2314810E-3,1.2626720E-3,1.2944735E-3,1.3268910E-3,1.3599295E-3,1.3935940E-3,1.4278895E-3,1.4628204E-3,1.4983914E-3,1.5346067E-3,1.5714705E-3,1.6089868E-3,1.6471592E-3,1.6859915E-3,1.7254871E-3,1.7656491E-3,1.8064806E-3,1.8479845E-3,1.8901635E-3,1.9330200E-3,1.9765564E-3,2.0207747E-3,2.0656769E-3,2.1112647E-3,2.1575397E-3,2.2045031E-3,2.2521562E-3,2.3005000E-3,2.3495352E-3,2.3992625E-3,2.4496822E-3,2.5007946E-3,2.5525998E-3,2.6050977E-3,2.6582878E-3,2.7121698E-3
