dc (V),id@Vgs 0.25  (A),id@Vgs 0.251  (A),id@Vgs 0.252  (A),id@Vgs 0.253  (A),id@Vgs 0.254  (A),id@Vgs 0.255  (A),id@Vgs 0.256  (A),id@Vgs 0.257  (A),id@Vgs 0.258  (A),id@Vgs 0.259  (A),id@Vgs 0.26  (A),id@Vgs 0.261  (A),id@Vgs 0.262  (A),id@Vgs 0.263  (A),id@Vgs 0.264  (A),id@Vgs 0.265  (A),id@Vgs 0.266  (A),id@Vgs 0.267  (A),id@Vgs 0.268  (A),id@Vgs 0.269  (A),id@Vgs 0.27  (A),id@Vgs 0.271  (A),id@Vgs 0.272  (A),id@Vgs 0.273  (A),id@Vgs 0.274  (A),id@Vgs 0.275  (A),id@Vgs 0.276  (A),id@Vgs 0.277  (A),id@Vgs 0.278  (A),id@Vgs 0.279  (A),id@Vgs 0.28  (A),id@Vgs 0.281  (A),id@Vgs 0.282  (A),id@Vgs 0.283  (A),id@Vgs 0.284  (A),id@Vgs 0.285  (A),id@Vgs 0.286  (A),id@Vgs 0.287  (A),id@Vgs 0.288  (A),id@Vgs 0.289  (A),id@Vgs 0.29  (A),id@Vgs 0.291  (A),id@Vgs 0.292  (A),id@Vgs 0.293  (A),id@Vgs 0.294  (A),id@Vgs 0.295  (A),id@Vgs 0.296  (A),id@Vgs 0.297  (A),id@Vgs 0.298  (A),id@Vgs 0.299  (A),id@Vgs 0.3  (A),id@Vgs 0.301  (A),id@Vgs 0.302  (A),id@Vgs 0.303  (A),id@Vgs 0.304  (A),id@Vgs 0.305  (A),id@Vgs 0.306  (A),id@Vgs 0.307  (A),id@Vgs 0.308  (A),id@Vgs 0.309  (A),id@Vgs 0.31  (A),id@Vgs 0.311  (A),id@Vgs 0.312  (A),id@Vgs 0.313  (A),id@Vgs 0.314  (A),id@Vgs 0.315  (A),id@Vgs 0.316  (A),id@Vgs 0.317  (A),id@Vgs 0.318  (A),id@Vgs 0.319  (A),id@Vgs 0.32  (A),id@Vgs 0.321  (A),id@Vgs 0.322  (A),id@Vgs 0.323  (A),id@Vgs 0.324  (A),id@Vgs 0.325  (A),id@Vgs 0.326  (A),id@Vgs 0.327  (A),id@Vgs 0.328  (A),id@Vgs 0.329  (A),id@Vgs 0.33  (A)
300E-3,11.152431E-6,11.505874E-6,11.870037E-6,12.245215E-6,12.631713E-6,13.029842E-6,13.439918E-6,13.862266E-6,14.297217E-6,14.745110E-6,15.206290E-6,15.681110E-6,16.169929E-6,16.673115E-6,17.191042E-6,17.724093E-6,18.272655E-6,18.837126E-6,19.417910E-6,20.015418E-6,20.630070E-6,21.262291E-6,21.912515E-6,22.581184E-6,23.268747E-6,23.975660E-6,24.702386E-6,25.449397E-6,26.217171E-6,27.006194E-6,27.816959E-6,28.649966E-6,29.505722E-6,30.384743E-6,31.287549E-6,32.214669E-6,33.166639E-6,34.144001E-6,35.147303E-6,36.177100E-6,37.233956E-6,38.318437E-6,39.431119E-6,40.572581E-6,41.743412E-6,42.944202E-6,44.175550E-6,45.438060E-6,46.732340E-6,48.059006E-6,49.418677E-6,50.811976E-6,52.239534E-6,53.701985E-6,55.199965E-6,56.734119E-6,58.305092E-6,59.913536E-6,61.560104E-6,63.245454E-6,64.970249E-6,66.735151E-6,68.540829E-6,70.387953E-6,72.277196E-6,74.209233E-6,76.184741E-6,78.204402E-6,80.268895E-6,82.378905E-6,84.535115E-6,86.738213E-6,88.988885E-6,91.287820E-6,93.635706E-6,96.033234E-6,98.481091E-6,100.97997E-6,103.53056E-6,106.13355E-6,108.78963E-6
302E-3,11.170958E-6,11.524969E-6,11.889716E-6,12.265495E-6,12.652611E-6,13.051374E-6,13.462103E-6,13.885122E-6,14.320763E-6,14.769365E-6,15.231273E-6,15.706841E-6,16.196429E-6,16.700404E-6,17.219142E-6,17.753024E-6,18.302441E-6,18.867789E-6,19.449473E-6,20.047905E-6,20.663504E-6,21.296697E-6,21.947919E-6,22.617611E-6,23.306222E-6,24.014210E-6,24.742039E-6,25.490179E-6,26.259111E-6,27.049320E-6,27.861300E-6,28.695551E-6,29.552582E-6,30.432908E-6,31.337050E-6,32.265537E-6,33.218906E-6,34.197700E-6,35.202466E-6,36.233762E-6,37.292150E-6,38.378198E-6,39.492481E-6,40.635581E-6,41.808084E-6,43.010583E-6,44.243678E-6,45.507971E-6,46.804073E-6,48.132599E-6,49.494168E-6,50.889405E-6,52.318940E-6,53.783408E-6,55.283446E-6,56.819699E-6,58.392813E-6,60.003439E-6,61.652231E-6,63.339849E-6,65.066954E-6,66.834210E-6,68.642286E-6,70.491852E-6,72.383582E-6,74.318151E-6,76.296238E-6,78.318522E-6,80.385685E-6,82.498411E-6,84.657385E-6,86.863293E-6,89.116824E-6,91.418665E-6,93.769506E-6,96.170036E-6,98.620946E-6,101.12293E-6,103.67667E-6,106.28286E-6,108.94219E-6
304E-3,11.189488E-6,11.544067E-6,11.909398E-6,12.285778E-6,12.673511E-6,13.072910E-6,13.484291E-6,13.907981E-6,14.344312E-6,14.793622E-6,15.256258E-6,15.732574E-6,16.222930E-6,16.727695E-6,17.247243E-6,17.781957E-6,18.332228E-6,18.898453E-6,19.481037E-6,20.080392E-6,20.696939E-6,21.331104E-6,21.983322E-6,22.654037E-6,23.343697E-6,24.052760E-6,24.781690E-6,25.530960E-6,26.301049E-6,27.092443E-6,27.905638E-6,28.741133E-6,29.599438E-6,30.481068E-6,31.386545E-6,32.316400E-6,33.271168E-6,34.251392E-6,35.257623E-6,36.290416E-6,37.350335E-6,38.437949E-6,39.553832E-6,40.698568E-6,41.872743E-6,43.076951E-6,44.311790E-6,45.577866E-6,46.875788E-6,48.206172E-6,49.569638E-6,50.966811E-6,52.398322E-6,53.864806E-6,55.366901E-6,56.905250E-6,58.480503E-6,60.093309E-6,61.744324E-6,63.434207E-6,65.163620E-6,66.933228E-6,68.743699E-6,70.595705E-6,72.489920E-6,74.427018E-6,76.407679E-6,78.432583E-6,80.502413E-6,82.617852E-6,84.779586E-6,86.988301E-6,89.244687E-6,91.549430E-6,93.903222E-6,96.306751E-6,98.760709E-6,101.26579E-6,103.82267E-6,106.43206E-6,109.09464E-6
306E-3,11.208020E-6,11.563168E-6,11.929083E-6,12.306063E-6,12.694414E-6,13.094448E-6,13.506482E-6,13.930843E-6,14.367863E-6,14.817882E-6,15.281246E-6,15.758310E-6,16.249434E-6,16.754988E-6,17.275346E-6,17.810892E-6,18.362017E-6,18.929119E-6,19.512603E-6,20.112881E-6,20.730375E-6,21.365512E-6,22.018727E-6,22.690464E-6,23.381172E-6,24.091309E-6,24.821341E-6,25.571740E-6,26.342985E-6,27.135565E-6,27.949974E-6,28.786713E-6,29.646291E-6,30.529225E-6,31.436037E-6,32.367258E-6,33.323424E-6,34.305078E-6,35.312772E-6,36.347062E-6,37.408512E-6,38.497690E-6,39.615174E-6,40.761545E-6,41.937391E-6,43.143305E-6,44.379889E-6,45.647746E-6,46.947487E-6,48.279727E-6,49.645089E-6,51.044197E-6,52.477682E-6,53.946180E-6,55.450330E-6,56.990775E-6,58.568164E-6,60.183148E-6,61.836384E-6,63.528530E-6,65.260249E-6,67.032206E-6,68.845071E-6,70.699514E-6,72.596210E-6,74.535835E-6,76.519068E-6,78.546589E-6,80.619082E-6,82.737231E-6,84.901722E-6,87.113241E-6,89.372477E-6,91.680119E-6,94.036857E-6,96.443381E-6,98.900383E-6,101.40855E-6,103.96858E-6,106.58116E-6,109.24698E-6
308E-3,11.226556E-6,11.582271E-6,11.948771E-6,12.326352E-6,12.715321E-6,13.115989E-6,13.528676E-6,13.953708E-6,14.391418E-6,14.842145E-6,15.306237E-6,15.784049E-6,16.275941E-6,16.782284E-6,17.303452E-6,17.839830E-6,18.391809E-6,18.959787E-6,19.544170E-6,20.145372E-6,20.763813E-6,21.399921E-6,22.054133E-6,22.726892E-6,23.418648E-6,24.129859E-6,24.860992E-6,25.612520E-6,26.384922E-6,27.178687E-6,27.994309E-6,28.832291E-6,29.693142E-6,30.577380E-6,31.485526E-6,32.418112E-6,33.375675E-6,34.358760E-6,35.367917E-6,36.403703E-6,37.466682E-6,38.557424E-6,39.676507E-6,40.824512E-6,42.002028E-6,43.209649E-6,44.447975E-6,45.717612E-6,47.019170E-6,48.353267E-6,49.720523E-6,51.121564E-6,52.557022E-6,54.027532E-6,55.533735E-6,57.076274E-6,58.655798E-6,60.272959E-6,61.928413E-6,63.622820E-6,65.356843E-6,67.131147E-6,68.946403E-6,70.803280E-6,72.702455E-6,74.644604E-6,76.630406E-6,78.660542E-6,80.735696E-6,82.856551E-6,85.023795E-6,87.238114E-6,89.500197E-6,91.810734E-6,94.170415E-6,96.579931E-6,99.039972E-6,101.55123E-6,104.11440E-6,106.73016E-6,109.39922E-6
310E-3,11.245095E-6,11.601379E-6,11.968462E-6,12.346644E-6,12.736230E-6,13.137534E-6,13.550874E-6,13.976577E-6,14.414976E-6,14.866411E-6,15.331231E-6,15.809791E-6,16.302451E-6,16.809582E-6,17.331561E-6,17.868771E-6,18.421604E-6,18.990458E-6,19.575741E-6,20.177865E-6,20.797253E-6,21.434333E-6,22.089541E-6,22.763321E-6,23.456125E-6,24.168411E-6,24.900645E-6,25.653300E-6,26.426859E-6,27.221808E-6,28.038644E-6,28.877868E-6,29.739992E-6,30.625532E-6,31.535012E-6,32.468964E-6,33.427924E-6,34.412438E-6,35.423056E-6,36.460337E-6,37.524846E-6,38.617152E-6,39.737832E-6,40.887471E-6,42.066655E-6,43.275981E-6,44.516049E-6,45.787465E-6,47.090840E-6,48.426791E-6,49.795940E-6,51.198914E-6,52.636343E-6,54.108864E-6,55.617118E-6,57.161749E-6,58.743406E-6,60.362742E-6,62.020413E-6,63.717079E-6,65.453404E-6,67.230053E-6,69.047697E-6,70.907007E-6,72.808658E-6,74.753329E-6,76.741697E-6,78.774445E-6,80.852256E-6,82.975815E-6,85.145808E-6,87.362924E-6,89.627851E-6,91.941280E-6,94.303899E-6,96.716402E-6,99.179478E-6,101.69382E-6,104.26012E-6,106.87907E-6,109.55136E-6
312E-3,11.263638E-6,11.620490E-6,11.988157E-6,12.366940E-6,12.757144E-6,13.159082E-6,13.573075E-6,13.999449E-6,14.438537E-6,14.890681E-6,15.356229E-6,15.835537E-6,16.328965E-6,16.836885E-6,17.359673E-6,17.897715E-6,18.451401E-6,19.021132E-6,19.607314E-6,20.210361E-6,20.830696E-6,21.468747E-6,22.124951E-6,22.799753E-6,23.493604E-6,24.206964E-6,24.940299E-6,25.694082E-6,26.468796E-6,27.264930E-6,28.082979E-6,28.923446E-6,29.786842E-6,30.673684E-6,31.584498E-6,32.519813E-6,33.480170E-6,34.466112E-6,35.478192E-6,36.516968E-6,37.583005E-6,38.676873E-6,39.799151E-6,40.950422E-6,42.131275E-6,43.342305E-6,44.584114E-6,45.857307E-6,47.162498E-6,48.500302E-6,49.871343E-6,51.276247E-6,52.715646E-6,54.190177E-6,55.700481E-6,57.247203E-6,58.830991E-6,60.452500E-6,62.112386E-6,63.811309E-6,65.549933E-6,67.328926E-6,69.148955E-6,71.010696E-6,72.914821E-6,74.862010E-6,76.852942E-6,78.888299E-6,80.968765E-6,83.095024E-6,85.267765E-6,87.487674E-6,89.755442E-6,92.071758E-6,94.437313E-6,96.852798E-6,99.318906E-6,101.83633E-6,104.40576E-6,107.02788E-6,109.70340E-6
314E-3,11.282185E-6,11.639605E-6,12.007856E-6,12.387240E-6,12.778062E-6,13.180635E-6,13.595281E-6,14.022325E-6,14.462103E-6,14.914956E-6,15.381232E-6,15.861286E-6,16.355483E-6,16.864192E-6,17.387790E-6,17.926663E-6,18.481203E-6,19.051810E-6,19.638891E-6,20.242861E-6,20.864142E-6,21.503165E-6,22.160365E-6,22.836188E-6,23.531086E-6,24.245520E-6,24.979955E-6,25.734866E-6,26.510736E-6,27.308053E-6,28.127315E-6,28.969024E-6,29.833692E-6,30.721836E-6,31.633982E-6,32.570662E-6,33.532414E-6,34.519785E-6,35.533325E-6,36.573595E-6,37.641160E-6,38.736590E-6,39.860464E-6,41.013367E-6,42.195887E-6,43.408620E-6,44.652169E-6,45.927140E-6,47.234144E-6,48.573801E-6,49.946732E-6,51.353566E-6,52.794934E-6,54.271473E-6,55.783825E-6,57.332636E-6,58.918554E-6,60.542235E-6,62.204333E-6,63.905512E-6,65.646434E-6,67.427767E-6,69.250181E-6,71.114349E-6,73.020946E-6,74.970651E-6,76.964145E-6,79.002108E-6,81.085225E-6,83.214182E-6,85.389667E-6,87.612366E-6,89.882971E-6,92.202171E-6,94.570658E-6,96.989123E-6,99.458259E-6,101.97876E-6,104.55131E-6,107.17661E-6,109.85535E-6
316E-3,11.300737E-6,11.658724E-6,12.027560E-6,12.407544E-6,12.798984E-6,13.202192E-6,13.617490E-6,14.045206E-6,14.485673E-6,14.939234E-6,15.406238E-6,15.887040E-6,16.382005E-6,16.891502E-6,17.415911E-6,17.955615E-6,18.511009E-6,19.082492E-6,19.670472E-6,20.275365E-6,20.897593E-6,21.537586E-6,22.195782E-6,22.872626E-6,23.568572E-6,24.284078E-6,25.019614E-6,25.775653E-6,26.552678E-6,27.351179E-6,28.171652E-6,29.014603E-6,29.880542E-6,30.769988E-6,31.683467E-6,32.621510E-6,33.584658E-6,34.573456E-6,35.588457E-6,36.630220E-6,37.699311E-6,38.796303E-6,39.921773E-6,41.076306E-6,42.260493E-6,43.474929E-6,44.720217E-6,45.996963E-6,47.305781E-6,48.647289E-6,50.022110E-6,51.430871E-6,52.874207E-6,54.352753E-6,55.867152E-6,57.418050E-6,59.006097E-6,60.631947E-6,62.296257E-6,63.999689E-6,65.742907E-6,67.526578E-6,69.351374E-6,71.217968E-6,73.127035E-6,75.079254E-6,77.075306E-6,79.115873E-6,81.201640E-6,83.333292E-6,85.511517E-6,87.737004E-6,90.010442E-6,92.332524E-6,94.703939E-6,97.125380E-6,99.597539E-6,102.12111E-6,104.69678E-6,107.32525E-6,110.00721E-6
318E-3,11.319292E-6,11.677848E-6,12.047268E-6,12.427853E-6,12.819910E-6,13.223754E-6,13.639705E-6,14.068091E-6,14.509248E-6,14.963518E-6,15.431249E-6,15.912799E-6,16.408532E-6,16.918818E-6,17.444036E-6,17.984572E-6,18.540819E-6,19.113179E-6,19.702058E-6,20.307873E-6,20.931047E-6,21.572011E-6,22.231203E-6,22.909068E-6,23.606061E-6,24.322641E-6,25.059276E-6,25.816442E-6,26.594622E-6,27.394307E-6,28.215992E-6,29.060184E-6,29.927395E-6,30.818142E-6,31.732953E-6,32.672359E-6,33.636902E-6,34.627127E-6,35.643587E-6,36.686843E-6,37.757461E-6,38.856013E-6,39.983079E-6,41.139242E-6,42.325094E-6,43.541232E-6,44.788257E-6,46.066779E-6,47.377409E-6,48.720767E-6,50.097476E-6,51.508165E-6,52.953466E-6,54.434018E-6,55.950463E-6,57.503447E-6,59.093621E-6,60.721639E-6,62.388159E-6,64.093842E-6,65.839354E-6,67.625363E-6,69.452539E-6,71.321556E-6,73.233090E-6,75.187821E-6,77.186429E-6,79.229597E-6,81.318010E-6,83.452354E-6,85.633317E-6,87.861589E-6,90.137858E-6,92.462817E-6,94.837157E-6,97.261571E-6,99.736750E-6,102.26339E-6,104.84218E-6,107.47381E-6,110.15898E-6
