Vds ,gds@Vgs 0.35 ,gds@Vgs 0.351 ,gds@Vgs 0.352 ,gds@Vgs 0.353 ,gds@Vgs 0.354 ,gds@Vgs 0.355 ,gds@Vgs 0.356 ,gds@Vgs 0.357 ,gds@Vgs 0.358 ,gds@Vgs 0.359 ,gds@Vgs 0.36 ,gds@Vgs 0.361 ,gds@Vgs 0.362 ,gds@Vgs 0.363 ,gds@Vgs 0.364 ,gds@Vgs 0.365 ,gds@Vgs 0.366 ,gds@Vgs 0.367 ,gds@Vgs 0.368 ,gds@Vgs 0.369 ,gds@Vgs 0.37 ,gds@Vgs 0.371 ,gds@Vgs 0.372 ,gds@Vgs 0.373 ,gds@Vgs 0.374 ,gds@Vgs 0.375 ,gds@Vgs 0.376 ,gds@Vgs 0.377 ,gds@Vgs 0.378 ,gds@Vgs 0.379 ,gds@Vgs 0.38 ,gds@Vgs 0.381 ,gds@Vgs 0.382 ,gds@Vgs 0.383 ,gds@Vgs 0.384 ,gds@Vgs 0.385 ,gds@Vgs 0.386 ,gds@Vgs 0.387 ,gds@Vgs 0.388 ,gds@Vgs 0.389 ,gds@Vgs 0.39 ,gds@Vgs 0.391 ,gds@Vgs 0.392 ,gds@Vgs 0.393 ,gds@Vgs 0.394 ,gds@Vgs 0.395 ,gds@Vgs 0.396 ,gds@Vgs 0.397 ,gds@Vgs 0.398 ,gds@Vgs 0.399 ,gds@Vgs 0.4 
0.00,63.873056E-6,65.481424E-6,67.120360E-6,68.790113E-6,70.490926E-6,72.223038E-6,73.986681E-6,75.782082E-6,77.609463E-6,79.469038E-6,81.361018E-6,83.285605E-6,85.243000E-6,87.233393E-6,89.256973E-6,91.313920E-6,93.404410E-6,95.528614E-6,97.686694E-6,99.878812E-6,102.10512E-6,104.36576E-6,106.66089E-6,108.99063E-6,111.35511E-6,113.75447E-6,116.18883E-6,118.65829E-6,121.16297E-6,123.70297E-6,126.27839E-6,128.88932E-6,131.53586E-6,134.21809E-6,136.93608E-6,139.68991E-6,142.47964E-6,145.30535E-6,148.16709E-6,151.06491E-6,153.99886E-6,156.96900E-6,159.97536E-6,163.01798E-6,166.09689E-6,169.21213E-6,172.36371E-6,175.55167E-6,178.77601E-6,182.03677E-6,185.33393E-6
2.00E-3,60.348061E-6,61.888345E-6,63.458612E-6,65.059123E-6,66.690137E-6,68.351902E-6,70.044666E-6,71.768666E-6,73.524137E-6,75.311307E-6,77.130398E-6,78.981628E-6,80.865207E-6,82.781340E-6,84.730228E-6,86.712063E-6,88.727036E-6,90.775327E-6,92.857114E-6,94.972568E-6,97.121856E-6,99.305136E-6,101.52256E-6,103.77429E-6,106.06045E-6,108.38120E-6,110.73665E-6,113.12694E-6,115.55219E-6,118.01252E-6,120.50803E-6,123.03883E-6,125.60502E-6,128.20670E-6,130.84396E-6,133.51687E-6,136.22553E-6,138.97000E-6,141.75036E-6,144.56666E-6,147.41898E-6,150.30736E-6,153.23185E-6,156.19251E-6,159.18938E-6,162.22249E-6,165.29188E-6,168.39758E-6,171.53961E-6,174.71801E-6,177.93278E-6
4.00E-3,56.985977E-6,58.459722E-6,59.962838E-6,61.495600E-6,63.058276E-6,64.651129E-6,66.274417E-6,67.928392E-6,69.613300E-6,71.329383E-6,73.076874E-6,74.856005E-6,76.666997E-6,78.510071E-6,80.385437E-6,82.293303E-6,84.233869E-6,86.207331E-6,88.213878E-6,90.253695E-6,92.326959E-6,94.433842E-6,96.574513E-6,98.749133E-6,100.95786E-6,103.20083E-6,105.47821E-6,107.79013E-6,110.13672E-6,112.51810E-6,114.93442E-6,117.38577E-6,119.87227E-6,122.39404E-6,124.95116E-6,127.54374E-6,130.17187E-6,132.83563E-6,135.53511E-6,138.27037E-6,141.04150E-6,143.84855E-6,146.69159E-6,149.57068E-6,152.48586E-6,155.43719E-6,158.42470E-6,161.44845E-6,164.50845E-6,167.60475E-6,170.73738E-6
6.00E-3,53.782658E-6,55.191472E-6,56.629019E-6,58.095585E-6,59.591450E-6,61.116888E-6,62.672171E-6,64.257562E-6,65.873321E-6,67.519699E-6,69.196946E-6,70.905304E-6,72.645008E-6,74.416289E-6,76.219372E-6,78.054477E-6,79.921818E-6,81.821601E-6,83.754030E-6,85.719301E-6,87.717604E-6,89.749125E-6,91.814044E-6,93.912534E-6,96.044764E-6,98.210896E-6,100.41109E-6,102.64549E-6,104.91425E-6,107.21751E-6,109.55540E-6,111.92805E-6,114.33558E-6,116.77812E-6,119.25578E-6,121.76867E-6,124.31688E-6,126.90052E-6,129.51967E-6,132.17443E-6,134.86488E-6,137.59109E-6,140.35314E-6,143.15109E-6,145.98500E-6,148.85493E-6,151.76095E-6,154.70308E-6,157.68139E-6,160.69591E-6,163.74667E-6
8.00E-3,50.733748E-6,52.079297E-6,53.452914E-6,54.854896E-6,56.285536E-6,57.745121E-6,59.233931E-6,60.752244E-6,62.300330E-6,63.878454E-6,65.486878E-6,67.125854E-6,68.795632E-6,70.496455E-6,72.228562E-6,73.992182E-6,75.787544E-6,77.614867E-6,79.474367E-6,81.366252E-6,83.290725E-6,85.247986E-6,87.238225E-6,89.261629E-6,91.318380E-6,93.408651E-6,95.532614E-6,97.690431E-6,99.882261E-6,102.10826E-6,104.36857E-6,106.66333E-6,108.99268E-6,111.35676E-6,113.75569E-6,116.18958E-6,118.65855E-6,121.16271E-6,123.70217E-6,126.27702E-6,128.88736E-6,131.53327E-6,134.21483E-6,136.93214E-6,139.68525E-6,142.47424E-6,145.29917E-6,148.16010E-6,151.05709E-6,153.99017E-6,156.95941E-6
10.0E-3,47.834694E-6,49.118692E-6,50.430072E-6,51.769140E-6,53.136200E-6,54.531548E-6,55.955479E-6,57.408279E-6,58.890232E-6,60.401614E-6,61.942697E-6,63.513749E-6,65.115029E-6,66.746795E-6,68.409295E-6,70.102774E-6,71.827471E-6,73.583618E-6,75.371444E-6,77.191170E-6,79.043012E-6,80.927180E-6,82.843879E-6,84.793309E-6,86.775662E-6,88.791126E-6,90.839883E-6,92.922109E-6,95.037976E-6,97.187649E-6,99.371287E-6,101.58904E-6,103.84107E-6,106.12751E-6,108.44849E-6,110.80415E-6,113.19463E-6,115.62002E-6,118.08047E-6,120.57607E-6,123.10692E-6,125.67314E-6,128.27481E-6,130.91202E-6,133.58486E-6,136.29340E-6,139.03773E-6,141.81791E-6,144.63400E-6,147.48606E-6,150.37416E-6
12.0E-3,45.080761E-6,46.304972E-6,47.555856E-6,48.833729E-6,50.138904E-6,51.471688E-6,52.832387E-6,54.221297E-6,55.638714E-6,57.084924E-6,58.560213E-6,60.064857E-6,61.599131E-6,63.163301E-6,64.757630E-6,66.382374E-6,68.037784E-6,69.724106E-6,71.441580E-6,73.190440E-6,74.970914E-6,76.783225E-6,78.627591E-6,80.504222E-6,82.413326E-6,84.355102E-6,86.329745E-6,88.337443E-6,90.378380E-6,92.452734E-6,94.560676E-6,96.702373E-6,98.877986E-6,101.08767E-6,103.33158E-6,105.60985E-6,107.92262E-6,110.27004E-6,112.65221E-6,115.06928E-6,117.52135E-6,120.00853E-6,122.53094E-6,125.08867E-6,127.68183E-6,130.31049E-6,132.97474E-6,135.67468E-6,138.41036E-6,141.18187E-6,143.98926E-6
14.0E-3,42.467060E-6,43.633287E-6,44.825458E-6,46.043899E-6,47.288932E-6,48.560874E-6,49.860039E-6,51.186734E-6,52.541265E-6,53.923931E-6,55.335026E-6,56.774839E-6,58.243655E-6,59.741753E-6,61.269406E-6,62.826884E-6,64.414449E-6,66.032359E-6,67.680866E-6,69.360216E-6,71.070651E-6,72.812405E-6,74.585709E-6,76.390786E-6,78.227855E-6,80.097129E-6,81.998813E-6,83.933111E-6,85.900217E-6,87.900322E-6,89.933611E-6,92.000261E-6,94.100447E-6,96.234336E-6,98.402090E-6,100.60387E-6,102.83982E-6,105.11008E-6,107.41481E-6,109.75413E-6,112.12817E-6,114.53705E-6,116.98090E-6,119.45983E-6,121.97394E-6,124.52334E-6,127.10812E-6,129.72838E-6,132.38420E-6,135.07567E-6,137.80285E-6
16.0E-3,39.988572E-6,41.098651E-6,42.233929E-6,43.394740E-6,44.581414E-6,45.794276E-6,47.033650E-6,48.299852E-6,49.593197E-6,50.913995E-6,52.262549E-6,53.639160E-6,55.044122E-6,56.477727E-6,57.940259E-6,59.431998E-6,60.953218E-6,62.504190E-6,64.085177E-6,65.696437E-6,67.338224E-6,69.010785E-6,70.714363E-6,72.449192E-6,74.215505E-6,76.013526E-6,77.843475E-6,79.705565E-6,81.600006E-6,83.526998E-6,85.486740E-6,87.479422E-6,89.505231E-6,91.564346E-6,93.656941E-6,95.783187E-6,97.943245E-6,100.13728E-6,102.36543E-6,104.62785E-6,106.92468E-6,109.25607E-6,111.62212E-6,114.02299E-6,116.45877E-6,118.92959E-6,121.43555E-6,123.97676E-6,126.55332E-6,129.16532E-6,131.81285E-6
18.0E-3,37.640179E-6,38.695971E-6,39.776204E-6,40.881217E-6,42.011348E-6,43.166930E-6,44.348294E-6,45.555765E-6,46.789667E-6,48.050317E-6,49.338031E-6,50.653117E-6,51.995881E-6,53.366623E-6,54.765640E-6,56.193222E-6,57.649655E-6,59.135219E-6,60.650191E-6,62.194839E-6,63.769430E-6,65.374222E-6,67.009470E-6,68.675421E-6,70.372319E-6,72.100402E-6,73.859900E-6,75.651040E-6,77.474043E-6,79.329123E-6,81.216491E-6,83.136348E-6,85.088895E-6,87.074322E-6,89.092817E-6,91.144562E-6,93.229731E-6,95.348496E-6,97.501020E-6,99.687462E-6,101.90798E-6,104.16271E-6,106.45181E-6,108.77541E-6,111.13364E-6,113.52662E-6,115.95449E-6,118.41735E-6,120.91531E-6,123.44848E-6,126.01696E-6
