Vds ,gm@Vgs 0.35 ,gm@Vgs 0.351 ,gm@Vgs 0.352 ,gm@Vgs 0.353 ,gm@Vgs 0.354 ,gm@Vgs 0.355 ,gm@Vgs 0.356 ,gm@Vgs 0.357 ,gm@Vgs 0.358 ,gm@Vgs 0.359 ,gm@Vgs 0.36 ,gm@Vgs 0.361 ,gm@Vgs 0.362 ,gm@Vgs 0.363 ,gm@Vgs 0.364 ,gm@Vgs 0.365 ,gm@Vgs 0.366 ,gm@Vgs 0.367 ,gm@Vgs 0.368 ,gm@Vgs 0.369 ,gm@Vgs 0.37 ,gm@Vgs 0.371 ,gm@Vgs 0.372 ,gm@Vgs 0.373 ,gm@Vgs 0.374 ,gm@Vgs 0.375 ,gm@Vgs 0.376 ,gm@Vgs 0.377 ,gm@Vgs 0.378 ,gm@Vgs 0.379 ,gm@Vgs 0.38 ,gm@Vgs 0.381 ,gm@Vgs 0.382 ,gm@Vgs 0.383 ,gm@Vgs 0.384 ,gm@Vgs 0.385 ,gm@Vgs 0.386 ,gm@Vgs 0.387 ,gm@Vgs 0.388 ,gm@Vgs 0.389 ,gm@Vgs 0.39 ,gm@Vgs 0.391 ,gm@Vgs 0.392 ,gm@Vgs 0.393 ,gm@Vgs 0.394 ,gm@Vgs 0.395 ,gm@Vgs 0.396 ,gm@Vgs 0.397 ,gm@Vgs 0.398 ,gm@Vgs 0.399 ,gm@Vgs 0.4 
0.00,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2.00E-3,3.1182949E-6,3.1785907E-6,3.2394036E-6,3.3007223E-6,3.3625356E-6,3.4248323E-6,3.4876010E-6,3.5508304E-6,3.6145090E-6,3.6786255E-6,3.7431684E-6,3.8081263E-6,3.8734879E-6,3.9392417E-6,4.0053764E-6,4.0718807E-6,4.1387433E-6,4.2059528E-6,4.2734981E-6,4.3413680E-6,4.4095512E-6,4.4780366E-6,4.5468132E-6,4.6158699E-6,4.6851956E-6,4.7547795E-6,4.8246107E-6,4.8946782E-6,4.9649714E-6,5.0354794E-6,5.1061919E-6,5.1770981E-6,5.2481878E-6,5.3194506E-6,5.3908765E-6,5.4624554E-6,5.5341775E-6,5.6060333E-6,5.6780132E-6,5.7501080E-6,5.8223087E-6,5.8946065E-6,5.9669927E-6,6.0394590E-6,6.1119973E-6,6.1845996E-6,6.2572584E-6,6.3299661E-6,6.4027155E-6,6.4754998E-6,6.5483119E-6
4.00E-3,6.1025625E-6,6.2219458E-6,6.3423875E-6,6.4638657E-6,6.5863581E-6,6.7098423E-6,6.8342958E-6,6.9596959E-6,7.0860199E-6,7.2132451E-6,7.3413486E-6,7.4703077E-6,7.6000994E-6,7.7307011E-6,7.8620900E-6,7.9942433E-6,8.1271384E-6,8.2607527E-6,8.3950636E-6,8.5300486E-6,8.6656854E-6,8.8019515E-6,8.9388246E-6,9.0762827E-6,9.2143036E-6,9.3528653E-6,9.4919458E-6,9.6315234E-6,9.7715763E-6,9.9120830E-6,10.053022E-6,10.194373E-6,10.336113E-6,10.478223E-6,10.620682E-6,10.763470E-6,10.906566E-6,11.049950E-6,11.193605E-6,11.337510E-6,11.481648E-6,11.625999E-6,11.770547E-6,11.915274E-6,12.060164E-6,12.205199E-6,12.350365E-6,12.495646E-6,12.641026E-6,12.786492E-6,12.932029E-6
6.00E-3,8.9559847E-6,9.1331928E-6,9.3120245E-6,9.4924473E-6,9.6744282E-6,9.8579339E-6,10.042931E-6,10.229386E-6,10.417264E-6,10.606532E-6,10.797155E-6,10.989100E-6,11.182332E-6,11.376817E-6,11.572521E-6,11.769409E-6,11.967448E-6,12.166604E-6,12.366843E-6,12.568130E-6,12.770433E-6,12.973717E-6,13.177949E-6,13.383095E-6,13.589123E-6,13.795999E-6,14.003690E-6,14.212164E-6,14.421387E-6,14.631327E-6,14.841951E-6,15.053229E-6,15.265127E-6,15.477614E-6,15.690659E-6,15.904232E-6,16.118301E-6,16.332838E-6,16.547811E-6,16.763193E-6,16.978955E-6,17.195069E-6,17.411508E-6,17.628245E-6,17.845255E-6,18.062512E-6,18.279991E-6,18.497669E-6,18.715523E-6,18.933529E-6,19.151667E-6
8.00E-3,11.681860E-6,11.915578E-6,12.151509E-6,12.389608E-6,12.629832E-6,12.872138E-6,13.116482E-6,13.362818E-6,13.611103E-6,13.861290E-6,14.113335E-6,14.367193E-6,14.622817E-6,14.880162E-6,15.139184E-6,15.399835E-6,15.662071E-6,15.925847E-6,16.191117E-6,16.457835E-6,16.725957E-6,16.995439E-6,17.266234E-6,17.538298E-6,17.811587E-6,18.086057E-6,18.361663E-6,18.638361E-6,18.916107E-6,19.194858E-6,19.474570E-6,19.755200E-6,20.036707E-6,20.319046E-6,20.602177E-6,20.886057E-6,21.170645E-6,21.455902E-6,21.741787E-6,22.028260E-6,22.315283E-6,22.602818E-6,22.890829E-6,23.179278E-6,23.468130E-6,23.757350E-6,24.046905E-6,24.336762E-6,24.626890E-6,24.917256E-6,25.207831E-6
10.0E-3,14.283593E-6,14.572460E-6,14.864148E-6,15.158604E-6,15.455776E-6,15.755608E-6,16.058048E-6,16.363039E-6,16.670526E-6,16.980454E-6,17.292766E-6,17.607406E-6,17.924317E-6,18.243443E-6,18.564726E-6,18.888111E-6,19.213539E-6,19.540955E-6,19.870301E-6,20.201522E-6,20.534560E-6,20.869359E-6,21.205864E-6,21.544017E-6,21.883764E-6,22.225048E-6,22.567815E-6,22.912008E-6,23.257573E-6,23.604456E-6,23.952601E-6,24.301955E-6,24.652463E-6,25.004073E-6,25.356732E-6,25.710386E-6,26.064985E-6,26.420476E-6,26.776810E-6,27.133935E-6,27.491804E-6,27.850368E-6,28.209579E-6,28.569391E-6,28.929759E-6,29.290638E-6,29.651984E-6,30.013756E-6,30.375912E-6,30.738412E-6,31.101218E-6
12.0E-3,16.764687E-6,17.107296E-6,17.453355E-6,17.802802E-6,18.155575E-6,18.511610E-6,18.870844E-6,19.233211E-6,19.598645E-6,19.967081E-6,20.338451E-6,20.712688E-6,21.089725E-6,21.469494E-6,21.851928E-6,22.236958E-6,22.624516E-6,23.014535E-6,23.406945E-6,23.801681E-6,24.198672E-6,24.597853E-6,24.999155E-6,25.402511E-6,25.807854E-6,26.215116E-6,26.624232E-6,27.035134E-6,27.447757E-6,27.862034E-6,28.277900E-6,28.695289E-6,29.114137E-6,29.534380E-6,29.955952E-6,30.378792E-6,30.802835E-6,31.228020E-6,31.654285E-6,32.081570E-6,32.509815E-6,32.938961E-6,33.368950E-6,33.799724E-6,34.231230E-6,34.663411E-6,35.096214E-6,35.529588E-6,35.963481E-6,36.397845E-6,36.832630E-6
14.0E-3,19.128728E-6,19.523632E-6,19.922634E-6,20.325662E-6,20.732646E-6,21.143514E-6,21.558193E-6,21.976607E-6,22.398682E-6,22.824341E-6,23.253508E-6,23.686104E-6,24.122053E-6,24.561274E-6,25.003691E-6,25.449224E-6,25.897794E-6,26.349322E-6,26.803728E-6,27.260934E-6,27.720860E-6,28.183428E-6,28.648558E-6,29.116172E-6,29.586191E-6,30.058538E-6,30.533134E-6,31.009901E-6,31.488761E-6,31.969639E-6,32.452456E-6,32.937136E-6,33.423604E-6,33.911783E-6,34.401599E-6,34.892977E-6,35.385843E-6,35.880125E-6,36.375749E-6,36.872644E-6,37.370739E-6,37.869966E-6,38.370254E-6,38.871537E-6,39.373749E-6,39.876824E-6,40.380699E-6,40.885311E-6,41.390600E-6,41.896507E-6,42.402973E-6
16.0E-3,21.379374E-6,21.825092E-6,22.275571E-6,22.730732E-6,23.190497E-6,23.654785E-6,24.123515E-6,24.596604E-6,25.073966E-6,25.555517E-6,26.041169E-6,26.530836E-6,27.024429E-6,27.521861E-6,28.023040E-6,28.527879E-6,29.036288E-6,29.548176E-6,30.063453E-6,30.582029E-6,31.103814E-6,31.628718E-6,32.156650E-6,32.687522E-6,33.221241E-6,33.757721E-6,34.296870E-6,34.838600E-6,35.382822E-6,35.929448E-6,36.478389E-6,37.029558E-6,37.582868E-6,38.138231E-6,38.695563E-6,39.254776E-6,39.815787E-6,40.378510E-6,40.942863E-6,41.508763E-6,42.076128E-6,42.644878E-6,43.214934E-6,43.786216E-6,44.358649E-6,44.932156E-6,45.506663E-6,46.082098E-6,46.658390E-6,47.235468E-6,47.813266E-6
18.0E-3,23.520339E-6,24.015360E-6,24.515818E-6,25.021629E-6,25.532708E-6,26.048967E-6,26.570316E-6,27.096664E-6,27.627918E-6,28.163983E-6,28.704765E-6,29.250167E-6,29.800091E-6,30.354439E-6,30.913111E-6,31.476008E-6,32.043030E-6,32.614076E-6,33.189046E-6,33.767838E-6,34.350352E-6,34.936485E-6,35.526138E-6,36.119209E-6,36.715596E-6,37.315200E-6,37.917919E-6,38.523654E-6,39.132303E-6,39.743769E-6,40.357950E-6,40.974749E-6,41.594066E-6,42.215805E-6,42.839866E-6,43.466155E-6,44.094574E-6,44.725029E-6,45.357424E-6,45.991666E-6,46.627664E-6,47.265324E-6,47.904557E-6,48.545274E-6,49.187386E-6,49.830808E-6,50.475455E-6,51.121243E-6,51.768090E-6,52.415917E-6,53.064645E-6
