Vds ,id@Vgs 0.35 ,id@Vgs 0.351 ,id@Vgs 0.352 ,id@Vgs 0.353 ,id@Vgs 0.354 ,id@Vgs 0.355 ,id@Vgs 0.356 ,id@Vgs 0.357 ,id@Vgs 0.358 ,id@Vgs 0.359 ,id@Vgs 0.36 ,id@Vgs 0.361 ,id@Vgs 0.362 ,id@Vgs 0.363 ,id@Vgs 0.364 ,id@Vgs 0.365 ,id@Vgs 0.366 ,id@Vgs 0.367 ,id@Vgs 0.368 ,id@Vgs 0.369 ,id@Vgs 0.37 ,id@Vgs 0.371 ,id@Vgs 0.372 ,id@Vgs 0.373 ,id@Vgs 0.374 ,id@Vgs 0.375 ,id@Vgs 0.376 ,id@Vgs 0.377 ,id@Vgs 0.378 ,id@Vgs 0.379 ,id@Vgs 0.38 ,id@Vgs 0.381 ,id@Vgs 0.382 ,id@Vgs 0.383 ,id@Vgs 0.384 ,id@Vgs 0.385 ,id@Vgs 0.386 ,id@Vgs 0.387 ,id@Vgs 0.388 ,id@Vgs 0.389 ,id@Vgs 0.39 ,id@Vgs 0.391 ,id@Vgs 0.392 ,id@Vgs 0.393 ,id@Vgs 0.394 ,id@Vgs 0.395 ,id@Vgs 0.396 ,id@Vgs 0.397 ,id@Vgs 0.398 ,id@Vgs 0.399 ,id@Vgs 0.4 
0.00,-114.30054E-12,-115.14357E-12,-115.99314E-12,-116.84932E-12,-117.71217E-12,-118.58176E-12,-119.45816E-12,-120.34143E-12,-121.23164E-12,-122.12886E-12,-123.03314E-12,-123.94456E-12,-124.86318E-12,-125.78907E-12,-126.72230E-12,-127.66292E-12,-128.61100E-12,-129.56662E-12,-130.52983E-12,-131.50070E-12,-132.47930E-12,-133.46570E-12,-134.45995E-12,-135.46212E-12,-136.47228E-12,-137.49050E-12,-138.51683E-12,-139.55135E-12,-140.59412E-12,-141.64521E-12,-142.70468E-12,-143.77260E-12,-144.84903E-12,-145.93404E-12,-147.02769E-12,-148.13005E-12,-149.24120E-12,-150.36118E-12,-151.49008E-12,-152.62795E-12,-153.77487E-12,-154.93090E-12,-156.09611E-12,-157.27056E-12,-158.45432E-12,-159.64747E-12,-160.85007E-12,-162.06218E-12,-163.28388E-12,-164.51524E-12,-165.75632E-12
2.00E-3,124.08085E-9,127.22841E-9,130.43653E-9,133.70570E-9,137.03644E-9,140.42922E-9,143.88453E-9,147.40284E-9,150.98459E-9,154.63023E-9,158.34020E-9,162.11491E-9,165.95478E-9,169.86019E-9,173.83155E-9,177.86922E-9,181.97356E-9,186.14494E-9,190.38368E-9,194.69013E-9,199.06459E-9,203.50739E-9,208.01880E-9,212.59913E-9,217.24864E-9,221.96760E-9,226.75626E-9,231.61486E-9,236.54364E-9,241.54281E-9,246.61258E-9,251.75315E-9,256.96471E-9,262.24744E-9,267.60151E-9,273.02708E-9,278.52428E-9,284.09327E-9,289.73416E-9,295.44709E-9,301.23215E-9,307.08946E-9,313.01910E-9,319.02116E-9,325.09571E-9,331.24282E-9,337.46256E-9,343.75496E-9,350.12009E-9,356.55798E-9,363.06866E-9
4.00E-3,241.38957E-9,247.55091E-9,253.83216E-9,260.23436E-9,266.75855E-9,273.40572E-9,280.17685E-9,287.07290E-9,294.09481E-9,301.24349E-9,308.51983E-9,315.92470E-9,323.45894E-9,331.12336E-9,338.91878E-9,346.84597E-9,354.90567E-9,363.09862E-9,371.42553E-9,379.88708E-9,388.48393E-9,397.21674E-9,406.08610E-9,415.09263E-9,424.23689E-9,433.51943E-9,442.94079E-9,452.50147E-9,462.20196E-9,472.04272E-9,482.02421E-9,492.14682E-9,502.41098E-9,512.81706E-9,523.36541E-9,534.05638E-9,544.89029E-9,555.86743E-9,566.98808E-9,578.25250E-9,589.66094E-9,601.21361E-9,612.91073E-9,624.75248E-9,636.73902E-9,648.87052E-9,661.14712E-9,673.56893E-9,686.13606E-9,698.84861E-9,711.70665E-9
6.00E-3,352.13358E-9,361.17722E-9,370.39887E-9,379.80015E-9,389.38262E-9,399.14784E-9,409.09730E-9,419.23248E-9,429.55483E-9,440.06574E-9,450.76660E-9,461.65874E-9,472.74346E-9,484.02203E-9,495.49570E-9,507.16566E-9,519.03307E-9,531.09908E-9,543.36478E-9,555.83125E-9,568.49950E-9,581.37054E-9,594.44533E-9,607.72480E-9,621.20986E-9,634.90137E-9,648.80015E-9,662.90702E-9,677.22272E-9,691.74800E-9,706.48356E-9,721.43006E-9,736.58815E-9,751.95842E-9,767.54145E-9,783.33779E-9,799.34794E-9,815.57238E-9,832.01158E-9,848.66595E-9,865.53588E-9,882.62174E-9,899.92388E-9,917.44259E-9,935.17817E-9,953.13088E-9,971.30095E-9,989.68859E-9,1.0082940E-6,1.0271173E-6,1.0461587E-6
8.00E-3,456.62609E-9,468.42382E-9,480.45637E-9,492.72593E-9,505.23464E-9,517.98463E-9,530.97793E-9,544.21657E-9,557.70252E-9,571.43770E-9,585.42399E-9,599.66324E-9,614.15722E-9,628.90768E-9,643.91632E-9,659.18479E-9,674.71471E-9,690.50763E-9,706.56506E-9,722.88849E-9,739.47934E-9,756.33898E-9,773.46875E-9,790.86996E-9,808.54383E-9,826.49158E-9,844.71437E-9,863.21330E-9,881.98945E-9,901.04384E-9,920.37746E-9,939.99125E-9,959.88610E-9,980.06287E-9,1.0005224E-6,1.0212654E-6,1.0422926E-6,1.0636047E-6,1.0852025E-6,1.1070863E-6,1.1292570E-6,1.1517149E-6,1.1744605E-6,1.1974944E-6,1.2208170E-6,1.2444285E-6,1.2683295E-6,1.2925201E-6,1.3170008E-6,1.3417716E-6,1.3668330E-6
10.0E-3,555.17140E-9,569.59839E-9,584.31565E-9,599.32599E-9,614.63214E-9,630.23679E-9,646.14257E-9,662.35207E-9,678.86780E-9,695.69224E-9,712.82780E-9,730.27683E-9,748.04164E-9,766.12446E-9,784.52748E-9,803.25284E-9,822.30260E-9,841.67877E-9,861.38333E-9,881.41817E-9,901.78513E-9,922.48601E-9,943.52254E-9,964.89640E-9,986.60920E-9,1.0086625E-6,1.0310579E-6,1.0537967E-6,1.0768804E-6,1.1003103E-6,1.1240877E-6,1.1482139E-6,1.1726900E-6,1.1975171E-6,1.2226964E-6,1.2482288E-6,1.2741154E-6,1.3003570E-6,1.3269545E-6,1.3539087E-6,1.3812204E-6,1.4088904E-6,1.4369192E-6,1.4653075E-6,1.4940559E-6,1.5231649E-6,1.5526351E-6,1.5824667E-6,1.6126604E-6,1.6432164E-6,1.6741350E-6
12.0E-3,648.06450E-9,664.99941E-9,682.27865E-9,699.90565E-9,717.88375E-9,736.21626E-9,754.90640E-9,773.95735E-9,793.37219E-9,813.15396E-9,833.30564E-9,853.83012E-9,874.73023E-9,896.00875E-9,917.66837E-9,939.71172E-9,962.14136E-9,984.95979E-9,1.0081694E-6,1.0317726E-6,1.0557717E-6,1.0801689E-6,1.1049663E-6,1.1301660E-6,1.1557701E-6,1.1817804E-6,1.2081990E-6,1.2350276E-6,1.2622679E-6,1.2899217E-6,1.3179905E-6,1.3464760E-6,1.3753796E-6,1.4047027E-6,1.4344467E-6,1.4646130E-6,1.4952026E-6,1.5262169E-6,1.5576569E-6,1.5895237E-6,1.6218182E-6,1.6545415E-6,1.6876943E-6,1.7212774E-6,1.7552917E-6,1.7897379E-6,1.8246165E-6,1.8599282E-6,1.8956736E-6,1.9318531E-6,1.9684671E-6
14.0E-3,735.59077E-9,754.91583E-9,774.63784E-9,794.76086E-9,815.28888E-9,836.22584E-9,857.57557E-9,879.34184E-9,901.52836E-9,924.13874E-9,947.17654E-9,970.64522E-9,994.54817E-9,1.0188887E-6,1.0436701E-6,1.0688954E-6,1.0945678E-6,1.1206902E-6,1.1472656E-6,1.1742968E-6,1.2017866E-6,1.2297376E-6,1.2581524E-6,1.2870337E-6,1.3163837E-6,1.3462049E-6,1.3764996E-6,1.4072700E-6,1.4385182E-6,1.4702463E-6,1.5024562E-6,1.5351498E-6,1.5683291E-6,1.6019956E-6,1.6361512E-6,1.6707973E-6,1.7059355E-6,1.7415674E-6,1.7776942E-6,1.8143172E-6,1.8514377E-6,1.8890569E-6,1.9271759E-6,1.9657956E-6,2.0049170E-6,2.0445412E-6,2.0846687E-6,2.1253006E-6,2.1664373E-6,2.2080797E-6,2.2502282E-6
16.0E-3,818.02569E-9,839.62675E-9,861.67591E-9,884.17789E-9,907.13733E-9,930.55880E-9,954.44678E-9,978.80567E-9,1.0036398E-6,1.0289534E-6,1.0547505E-6,1.0810354E-6,1.1078118E-6,1.1350838E-6,1.1628551E-6,1.1911294E-6,1.2199103E-6,1.2492014E-6,1.2790060E-6,1.3093276E-6,1.3401694E-6,1.3715345E-6,1.4034260E-6,1.4358469E-6,1.4688002E-6,1.5022885E-6,1.5363146E-6,1.5708812E-6,1.6059907E-6,1.6416457E-6,1.6778485E-6,1.7146013E-6,1.7519063E-6,1.7897657E-6,1.8281814E-6,1.8671555E-6,1.9066896E-6,1.9467855E-6,1.9874451E-6,2.0286697E-6,2.0704610E-6,2.1128203E-6,2.1557490E-6,2.1992484E-6,2.2433197E-6,2.2879639E-6,2.3331821E-6,2.3789753E-6,2.4253444E-6,2.4722901E-6,2.5198133E-6
18.0E-3,895.63457E-9,919.40120E-9,943.66557E-9,968.43307E-9,993.70902E-9,1.0194986E-6,1.0458071E-6,1.0726393E-6,1.1000004E-6,1.1278952E-6,1.1563283E-6,1.1853046E-6,1.2148285E-6,1.2449046E-6,1.2755371E-6,1.3067305E-6,1.3384888E-6,1.3708162E-6,1.4037165E-6,1.4371938E-6,1.4712517E-6,1.5058939E-6,1.5411240E-6,1.5769455E-6,1.6133617E-6,1.6503759E-6,1.6879913E-6,1.7262109E-6,1.7650377E-6,1.8044746E-6,1.8445242E-6,1.8851894E-6,1.9264726E-6,1.9683764E-6,2.0109030E-6,2.0540549E-6,2.0978340E-6,2.1422427E-6,2.1872827E-6,2.2329561E-6,2.2792645E-6,2.3262098E-6,2.3737936E-6,2.4220173E-6,2.4708825E-6,2.5203904E-6,2.5705423E-6,2.6213395E-6,2.6727829E-6,2.7248737E-6,2.7776128E-6
