Vds ,gds@Vgs 0.2 ,gds@Vgs 0.201 ,gds@Vgs 0.202 ,gds@Vgs 0.203 ,gds@Vgs 0.204 ,gds@Vgs 0.205 ,gds@Vgs 0.206 ,gds@Vgs 0.207 ,gds@Vgs 0.208 ,gds@Vgs 0.209 ,gds@Vgs 0.21 ,gds@Vgs 0.211 ,gds@Vgs 0.212 ,gds@Vgs 0.213 ,gds@Vgs 0.214 ,gds@Vgs 0.215 ,gds@Vgs 0.216 ,gds@Vgs 0.217 ,gds@Vgs 0.218 ,gds@Vgs 0.219 ,gds@Vgs 0.22 ,gds@Vgs 0.221 ,gds@Vgs 0.222 ,gds@Vgs 0.223 ,gds@Vgs 0.224 ,gds@Vgs 0.225 ,gds@Vgs 0.226 ,gds@Vgs 0.227 ,gds@Vgs 0.228 ,gds@Vgs 0.229 ,gds@Vgs 0.23 ,gds@Vgs 0.231 ,gds@Vgs 0.232 ,gds@Vgs 0.233 ,gds@Vgs 0.234 ,gds@Vgs 0.235 ,gds@Vgs 0.236 ,gds@Vgs 0.237 ,gds@Vgs 0.238 ,gds@Vgs 0.239 ,gds@Vgs 0.24 ,gds@Vgs 0.241 ,gds@Vgs 0.242 ,gds@Vgs 0.243 ,gds@Vgs 0.244 ,gds@Vgs 0.245 ,gds@Vgs 0.246 ,gds@Vgs 0.247 ,gds@Vgs 0.248 ,gds@Vgs 0.249 ,gds@Vgs 0.25 
50.0E-3,4.4562450E-6,4.6030841E-6,4.7547481E-6,4.9113941E-6,5.0731845E-6,5.2402868E-6,5.4128739E-6,5.5911242E-6,5.7752216E-6,5.9653562E-6,6.1617238E-6,6.3645267E-6,6.5739733E-6,6.7902789E-6,7.0136652E-6,7.2443614E-6,7.4826034E-6,7.7286349E-6,7.9827069E-6,8.2450785E-6,8.5160168E-6,8.7957972E-6,9.0847036E-6,9.3830288E-6,9.6910746E-6,10.009152E-6,10.337582E-6,10.676695E-6,11.026831E-6,11.388343E-6,11.761590E-6,12.146947E-6,12.544797E-6,12.955535E-6,13.379569E-6,13.817320E-6,14.269218E-6,14.735709E-6,15.217252E-6,15.714317E-6,16.227392E-6,16.756975E-6,17.303581E-6,17.867740E-6,18.449995E-6,19.050909E-6,19.671057E-6,20.311031E-6,20.971443E-6,21.652918E-6,22.356101E-6
52.0E-3,4.2132805E-6,4.3521522E-6,4.4955896E-6,4.6437416E-6,4.7967620E-6,4.9548096E-6,5.1180482E-6,5.2866468E-6,5.4607798E-6,5.6406274E-6,5.8263751E-6,6.0182148E-6,6.2163441E-6,6.4209670E-6,6.6322940E-6,6.8505422E-6,7.0759357E-6,7.3087053E-6,7.5490895E-6,7.7973340E-6,8.0536922E-6,8.3184255E-6,8.5918036E-6,8.8741043E-6,9.1656143E-6,9.4666289E-6,9.7774529E-6,10.098400E-6,10.429794E-6,10.771969E-6,11.125268E-6,11.490046E-6,11.866667E-6,12.255508E-6,12.656957E-6,13.071413E-6,13.499286E-6,13.941001E-6,14.396994E-6,14.867713E-6,15.353622E-6,15.855197E-6,16.372928E-6,16.907319E-6,17.458890E-6,18.028175E-6,18.615724E-6,19.222103E-6,19.847893E-6,20.493694E-6,21.160120E-6
54.0E-3,3.9801393E-6,4.1113611E-6,4.2468994E-6,4.3868952E-6,4.5314941E-6,4.6808463E-6,4.8351070E-6,4.9944362E-6,5.1589990E-6,5.3289660E-6,5.5045131E-6,5.6858217E-6,5.8730792E-6,6.0664788E-6,6.2662199E-6,6.4725083E-6,6.6855561E-6,6.9055824E-6,7.1328130E-6,7.3674808E-6,7.6098261E-6,7.8600969E-6,8.1185486E-6,8.3854450E-6,8.6610578E-6,8.9456674E-6,9.2395627E-6,9.5430417E-6,9.8564115E-6,10.179989E-6,10.514100E-6,10.859082E-6,11.215281E-6,11.583055E-6,11.962771E-6,12.354809E-6,12.759560E-6,13.177427E-6,13.608824E-6,14.054178E-6,14.513931E-6,14.988534E-6,15.478454E-6,15.984172E-6,16.506182E-6,17.044992E-6,17.601128E-6,18.175128E-6,18.767546E-6,19.378953E-6,20.009937E-6
56.0E-3,3.7569492E-6,3.8808430E-6,4.0088143E-6,4.1409965E-6,4.2775274E-6,4.4185489E-6,4.5642078E-6,4.7146554E-6,4.8700481E-6,5.0305471E-6,5.1963188E-6,5.3675351E-6,5.5443731E-6,5.7270157E-6,5.9156517E-6,6.1104758E-6,6.3116890E-6,6.5194984E-6,6.7341181E-6,6.9557686E-6,7.1846774E-6,7.4210795E-6,7.6652168E-6,7.9173393E-6,8.1777043E-6,8.4465777E-6,8.7242332E-6,9.0109535E-6,9.3070296E-6,9.6127620E-6,9.9284602E-6,10.254443E-6,10.591040E-6,10.938590E-6,11.297442E-6,11.667957E-6,12.050505E-6,12.445470E-6,12.853244E-6,13.274234E-6,13.708858E-6,14.157546E-6,14.620743E-6,15.098904E-6,15.592500E-6,16.102015E-6,16.627948E-6,17.170812E-6,17.731134E-6,18.309458E-6,18.906344E-6
58.0E-3,3.5438385E-6,3.6607309E-6,3.7814723E-6,3.9061886E-6,4.0350099E-6,4.1680706E-6,4.3055093E-6,4.4474691E-6,4.5940976E-6,4.7455473E-6,4.9019756E-6,5.0635448E-6,5.2304225E-6,5.4027817E-6,5.5808009E-6,5.7646642E-6,5.9545616E-6,6.1506893E-6,6.3532496E-6,6.5624512E-6,6.7785094E-6,7.0016465E-6,7.2320916E-6,7.4700811E-6,7.7158590E-6,7.9696766E-6,8.2317933E-6,8.5024768E-6,8.7820028E-6,9.0706559E-6,9.3687293E-6,9.6765254E-6,9.9943560E-6,10.322543E-6,10.661416E-6,11.011319E-6,11.372602E-6,11.745629E-6,12.130773E-6,12.528419E-6,12.938964E-6,13.362817E-6,13.800399E-6,14.252145E-6,14.718499E-6,15.199924E-6,15.696891E-6,16.209890E-6,16.739423E-6,17.286005E-6,17.850170E-6
60.0E-3,3.3409154E-6,3.4511370E-6,3.5649893E-6,3.6825916E-6,3.8040665E-6,3.9295410E-6,4.0591459E-6,4.1930163E-6,4.3312918E-6,4.4741164E-6,4.6216387E-6,4.7740121E-6,4.9313950E-6,5.0939507E-6,5.2618479E-6,5.4352606E-6,5.6143685E-6,5.7993569E-6,5.9904171E-6,6.1877463E-6,6.3915483E-6,6.6020330E-6,6.8194172E-6,7.0439245E-6,7.2757855E-6,7.5152382E-6,7.7625280E-6,8.0179081E-6,8.2816394E-6,8.5539912E-6,8.8352411E-6,9.1256756E-6,9.4255898E-6,9.7352880E-6,10.055084E-6,10.385302E-6,10.726274E-6,11.078345E-6,11.441869E-6,11.817211E-6,12.204747E-6,12.604865E-6,13.017964E-6,13.444457E-6,13.884766E-6,14.339329E-6,14.808595E-6,15.293028E-6,15.793105E-6,16.309316E-6,16.842167E-6
62.0E-3,3.1482507E-6,3.2521346E-6,3.3594420E-6,3.4702850E-6,3.5847797E-6,3.7030457E-6,3.8252067E-6,3.9513900E-6,4.0817275E-6,4.2163550E-6,4.3554128E-6,4.4990459E-6,4.6474036E-6,4.8006404E-6,4.9589153E-6,5.1223929E-6,5.2912427E-6,5.4656399E-6,5.6457650E-6,5.8318045E-6,6.0239508E-6,6.2224024E-6,6.4273640E-6,6.6390470E-6,6.8576694E-6,7.0834561E-6,7.3166391E-6,7.5574578E-6,7.8061589E-6,8.0629972E-6,8.3282353E-6,8.6021440E-6,8.8850025E-6,9.1770990E-6,9.4787304E-6,9.7902029E-6,10.111832E-6,10.443944E-6,10.786873E-6,11.140966E-6,11.506579E-6,11.884079E-6,12.273845E-6,12.676267E-6,13.091747E-6,13.520699E-6,13.963549E-6,14.420737E-6,14.892716E-6,15.379952E-6,15.882924E-6
64.0E-3,2.9658656E-6,3.0637464E-6,3.1648539E-6,3.2692940E-6,3.3771760E-6,3.4886129E-6,3.6037212E-6,3.7226212E-6,3.8454373E-6,3.9722975E-6,4.1033344E-6,4.2386847E-6,4.3784893E-6,4.5228939E-6,4.6720488E-6,4.8261092E-6,4.9852351E-6,5.1495920E-6,5.3193502E-6,5.4946859E-6,5.6757807E-6,5.8628220E-6,6.0560032E-6,6.2555240E-6,6.4615903E-6,6.6744145E-6,6.8942158E-6,7.1212204E-6,7.3556616E-6,7.5977801E-6,7.8478239E-6,8.1060492E-6,8.3727201E-6,8.6481089E-6,8.9324964E-6,9.2261722E-6,9.5294350E-6,9.8425927E-6,10.165963E-6,10.499872E-6,10.844659E-6,11.200670E-6,11.568265E-6,11.947812E-6,12.339692E-6,12.744298E-6,13.162034E-6,13.593316E-6,14.038573E-6,14.498247E-6,14.972794E-6
66.0E-3,2.7937246E-6,2.8859359E-6,2.9811879E-6,3.0795805E-6,3.1812167E-6,3.2862030E-6,3.3946494E-6,3.5066693E-6,3.6223800E-6,3.7419023E-6,3.8653612E-6,3.9928856E-6,4.1246085E-6,4.2606674E-6,4.4012041E-6,4.5463649E-6,4.6963009E-6,4.8511682E-6,5.0111276E-6,5.1763453E-6,5.3469927E-6,5.5232468E-6,5.7052902E-6,5.8933112E-6,6.0875043E-6,6.2880702E-6,6.4952158E-6,6.7091547E-6,6.9301072E-6,7.1583007E-6,7.3939696E-6,7.6373559E-6,7.8887091E-6,8.1482864E-6,8.4163535E-6,8.6931839E-6,8.9790601E-6,9.2742732E-6,9.5791232E-6,9.8939199E-6,10.218982E-6,10.554639E-6,10.901230E-6,11.259104E-6,11.628622E-6,12.010155E-6,12.404085E-6,12.810808E-6,13.230729E-6,13.664267E-6,14.111854E-6
68.0E-3,2.6317304E-6,2.7186033E-6,2.8083415E-6,2.9010392E-6,2.9967935E-6,3.0957050E-6,3.1978771E-6,3.3034170E-6,3.4124352E-6,3.5250456E-6,3.6413661E-6,3.7615184E-6,3.8856278E-6,4.0138240E-6,4.1462407E-6,4.2830161E-6,4.4242926E-6,4.5702174E-6,4.7209424E-6,4.8766243E-6,5.0374249E-6,5.2035112E-6,5.3750554E-6,5.5522354E-6,5.7352347E-6,5.9242427E-6,6.1194547E-6,6.3210725E-6,6.5293040E-6,6.7443640E-6,6.9664737E-6,7.1958617E-6,7.4327637E-6,7.6774227E-6,7.9300896E-6,8.1910229E-6,8.4604894E-6,8.7387642E-6,9.0261311E-6,9.3228825E-6,9.6293203E-6,9.9457554E-6,10.272509E-6,10.609910E-6,10.958302E-6,11.318034E-6,11.689469E-6,12.072980E-6,12.468951E-6,12.877780E-6,13.299875E-6
