Vds ,gm@Vgs 0.2 ,gm@Vgs 0.201 ,gm@Vgs 0.202 ,gm@Vgs 0.203 ,gm@Vgs 0.204 ,gm@Vgs 0.205 ,gm@Vgs 0.206 ,gm@Vgs 0.207 ,gm@Vgs 0.208 ,gm@Vgs 0.209 ,gm@Vgs 0.21 ,gm@Vgs 0.211 ,gm@Vgs 0.212 ,gm@Vgs 0.213 ,gm@Vgs 0.214 ,gm@Vgs 0.215 ,gm@Vgs 0.216 ,gm@Vgs 0.217 ,gm@Vgs 0.218 ,gm@Vgs 0.219 ,gm@Vgs 0.22 ,gm@Vgs 0.221 ,gm@Vgs 0.222 ,gm@Vgs 0.223 ,gm@Vgs 0.224 ,gm@Vgs 0.225 ,gm@Vgs 0.226 ,gm@Vgs 0.227 ,gm@Vgs 0.228 ,gm@Vgs 0.229 ,gm@Vgs 0.23 ,gm@Vgs 0.231 ,gm@Vgs 0.232 ,gm@Vgs 0.233 ,gm@Vgs 0.234 ,gm@Vgs 0.235 ,gm@Vgs 0.236 ,gm@Vgs 0.237 ,gm@Vgs 0.238 ,gm@Vgs 0.239 ,gm@Vgs 0.24 ,gm@Vgs 0.241 ,gm@Vgs 0.242 ,gm@Vgs 0.243 ,gm@Vgs 0.244 ,gm@Vgs 0.245 ,gm@Vgs 0.246 ,gm@Vgs 0.247 ,gm@Vgs 0.248 ,gm@Vgs 0.249 ,gm@Vgs 0.25 
50.0E-3,14.965656E-6,15.452162E-6,15.954190E-6,16.472214E-6,17.006725E-6,17.558223E-6,18.127225E-6,18.714260E-6,19.319875E-6,19.944627E-6,20.589091E-6,21.253858E-6,21.939531E-6,22.646733E-6,23.376100E-6,24.128286E-6,24.903962E-6,25.703815E-6,26.528549E-6,27.378887E-6,28.255569E-6,29.159351E-6,30.091011E-6,31.051343E-6,32.041160E-6,33.061293E-6,34.112595E-6,35.195934E-6,36.312202E-6,37.462306E-6,38.647175E-6,39.867758E-6,41.125023E-6,42.419959E-6,43.753572E-6,45.126891E-6,46.540963E-6,47.996857E-6,49.495659E-6,51.038476E-6,52.626435E-6,54.260683E-6,55.942383E-6,57.672720E-6,59.452898E-6,61.284135E-6,63.167673E-6,65.104767E-6,67.096690E-6,69.144734E-6,71.250205E-6
52.0E-3,15.246719E-6,15.742464E-6,16.254032E-6,16.781909E-6,17.326591E-6,17.888593E-6,18.468441E-6,19.066675E-6,19.683852E-6,20.320543E-6,20.977333E-6,21.654826E-6,22.353638E-6,23.074403E-6,23.817774E-6,24.584416E-6,25.375016E-6,26.190274E-6,27.030910E-6,27.897663E-6,28.791288E-6,29.712558E-6,30.662269E-6,31.641230E-6,32.650274E-6,33.690250E-6,34.762029E-6,35.866500E-6,37.004574E-6,38.177179E-6,39.385265E-6,40.629803E-6,41.911783E-6,43.232217E-6,44.592135E-6,45.992590E-6,47.434654E-6,48.919421E-6,50.448003E-6,52.021536E-6,53.641172E-6,55.308087E-6,57.023473E-6,58.788546E-6,60.604537E-6,62.472700E-6,64.394304E-6,66.370639E-6,68.403013E-6,70.492750E-6,72.641190E-6
54.0E-3,15.512414E-6,16.016897E-6,16.537489E-6,17.074684E-6,17.628989E-6,18.200927E-6,18.791035E-6,19.399864E-6,20.027981E-6,20.675967E-6,21.344420E-6,22.033954E-6,22.745199E-6,23.478801E-6,24.235424E-6,25.015748E-6,25.820472E-6,26.650312E-6,27.506002E-6,28.388293E-6,29.297959E-6,30.235787E-6,31.202588E-6,32.199190E-6,33.226441E-6,34.285209E-6,35.376383E-6,36.500870E-6,37.659599E-6,38.853520E-6,40.083603E-6,41.350839E-6,42.656239E-6,44.000837E-6,45.385687E-6,46.811863E-6,48.280463E-6,49.792604E-6,51.349424E-6,52.952084E-6,54.601763E-6,56.299662E-6,58.047005E-6,59.845033E-6,61.695007E-6,63.598211E-6,65.555947E-6,67.569533E-6,69.640311E-6,71.769636E-6,73.958886E-6
56.0E-3,15.763368E-6,16.276110E-6,16.805230E-6,17.351231E-6,17.914631E-6,18.495961E-6,19.095767E-6,19.714610E-6,20.353067E-6,21.011731E-6,21.691210E-6,22.392128E-6,23.115127E-6,23.860866E-6,24.630019E-6,25.423281E-6,26.241361E-6,27.084991E-6,27.954917E-6,28.851905E-6,29.776742E-6,30.730232E-6,31.713201E-6,32.726491E-6,33.770968E-6,34.847517E-6,35.957042E-6,37.100470E-6,38.278748E-6,39.492844E-6,40.743747E-6,42.032469E-6,43.360041E-6,44.727517E-6,46.135974E-6,47.586508E-6,49.080239E-6,50.618307E-6,52.201875E-6,53.832128E-6,55.510271E-6,57.237532E-6,59.015159E-6,60.844421E-6,62.726609E-6,64.663035E-6,66.655028E-6,68.703939E-6,70.811140E-6,72.978020E-6,75.205985E-6
58.0E-3,16.000222E-6,16.520761E-6,17.057934E-6,17.612252E-6,18.184240E-6,18.774439E-6,19.383404E-6,20.011706E-6,20.659930E-6,21.328679E-6,22.018572E-6,22.730244E-6,23.464347E-6,24.221551E-6,25.002543E-6,25.808028E-6,26.638729E-6,27.495388E-6,28.378766E-6,29.289643E-6,30.228818E-6,31.197110E-6,32.195359E-6,33.224424E-6,34.285185E-6,35.378542E-6,36.505417E-6,37.666754E-6,38.863516E-6,40.096690E-6,41.367283E-6,42.676325E-6,44.024869E-6,45.413987E-6,46.844776E-6,48.318355E-6,49.835864E-6,51.398467E-6,53.007349E-6,54.663719E-6,56.368806E-6,58.123862E-6,59.930161E-6,61.789000E-6,63.701695E-6,65.669585E-6,67.694029E-6,69.776407E-6,71.918119E-6,74.120585E-6,76.385244E-6
60.0E-3,16.223621E-6,16.751519E-6,17.296291E-6,17.858457E-6,18.438550E-6,19.037119E-6,19.654728E-6,20.291956E-6,20.949399E-6,21.627668E-6,22.327391E-6,23.049214E-6,23.793799E-6,24.561826E-6,25.353994E-6,26.171019E-6,27.013635E-6,27.882597E-6,28.778677E-6,29.702669E-6,30.655385E-6,31.637656E-6,32.650337E-6,33.694301E-6,34.770442E-6,35.879677E-6,37.022943E-6,38.201199E-6,39.415425E-6,40.666625E-6,41.955824E-6,43.284070E-6,44.652433E-6,46.062006E-6,47.513905E-6,49.009268E-6,50.549258E-6,52.135059E-6,53.767878E-6,55.448946E-6,57.179515E-6,58.960862E-6,60.794285E-6,62.681105E-6,64.622665E-6,66.620329E-6,68.675485E-6,70.789540E-6,72.963922E-6,75.200081E-6,77.499484E-6
62.0E-3,16.434220E-6,16.969057E-6,17.520996E-6,18.090564E-6,18.678301E-6,19.284765E-6,19.910527E-6,20.556176E-6,21.222314E-6,21.909562E-6,22.618559E-6,23.349958E-6,24.104432E-6,24.882671E-6,25.685383E-6,26.513296E-6,27.367155E-6,28.247726E-6,29.155794E-6,30.092162E-6,31.057656E-6,32.053121E-6,33.079423E-6,34.137450E-6,35.228110E-6,36.352334E-6,37.511073E-6,38.705302E-6,39.936018E-6,41.204239E-6,42.511007E-6,43.857388E-6,45.244470E-6,46.673363E-6,48.145202E-6,49.661145E-6,51.222373E-6,52.830091E-6,54.485527E-6,56.189934E-6,57.944586E-6,59.750782E-6,61.609844E-6,63.523116E-6,65.491966E-6,67.517784E-6,69.601983E-6,71.745996E-6,73.951280E-6,76.219311E-6,78.551588E-6
64.0E-3,16.632676E-6,17.174054E-6,17.732749E-6,18.309295E-6,18.904239E-6,19.518146E-6,20.151595E-6,20.805182E-6,21.479519E-6,22.175234E-6,22.892975E-6,23.633404E-6,24.397203E-6,25.185072E-6,25.997728E-6,26.835910E-6,27.700372E-6,28.591892E-6,29.511265E-6,30.459307E-6,31.436855E-6,32.444766E-6,33.483918E-6,34.555212E-6,35.659570E-6,36.797936E-6,37.971275E-6,39.180577E-6,40.426853E-6,41.711137E-6,43.034487E-6,44.397985E-6,45.802735E-6,47.249865E-6,48.740528E-6,50.275900E-6,51.857181E-6,53.485594E-6,55.162389E-6,56.888837E-6,58.666234E-6,60.495902E-6,62.379183E-6,64.317445E-6,66.312080E-6,68.364501E-6,70.476145E-6,72.648473E-6,74.882965E-6,77.181127E-6,79.544483E-6
66.0E-3,16.819647E-6,17.367190E-6,17.932252E-6,18.515374E-6,19.117111E-6,19.738033E-6,20.378727E-6,21.039797E-6,21.721861E-6,22.425558E-6,23.151540E-6,23.900481E-6,24.673071E-6,25.470017E-6,26.292049E-6,27.139911E-6,28.014371E-6,28.916214E-6,29.846247E-6,30.805296E-6,31.794210E-6,32.813857E-6,33.865127E-6,34.948933E-6,36.066210E-6,37.217913E-6,38.405023E-6,39.628542E-6,40.889496E-6,42.188933E-6,43.527927E-6,44.907573E-6,46.328994E-6,47.793332E-6,49.301757E-6,50.855464E-6,52.455668E-6,54.103614E-6,55.800568E-6,57.547822E-6,59.346692E-6,61.198519E-6,63.104667E-6,65.066526E-6,67.085510E-6,69.163055E-6,71.300622E-6,73.499695E-6,75.761781E-6,78.088409E-6,80.481131E-6
68.0E-3,16.995787E-6,17.549139E-6,18.120202E-6,18.709522E-6,19.317659E-6,19.945192E-6,20.592714E-6,21.260835E-6,21.950183E-6,22.661401E-6,23.395152E-6,24.152116E-6,24.932991E-6,25.738494E-6,26.569361E-6,27.426349E-6,28.310232E-6,29.221807E-6,30.161889E-6,31.131316E-6,32.130945E-6,33.161656E-6,34.224352E-6,35.319955E-6,36.449412E-6,37.613693E-6,38.813789E-6,40.050715E-6,41.325511E-6,42.639239E-6,43.992986E-6,45.387864E-6,46.825009E-6,48.305579E-6,49.830761E-6,51.401764E-6,53.019823E-6,54.686198E-6,56.402174E-6,58.169061E-6,59.988194E-6,61.860934E-6,63.788665E-6,65.772798E-6,67.814766E-6,69.916029E-6,72.078071E-6,74.302397E-6,76.590539E-6,78.944050E-6,81.364507E-6
