Vds ,id@Vgs 0.2 ,id@Vgs 0.201 ,id@Vgs 0.202 ,id@Vgs 0.203 ,id@Vgs 0.204 ,id@Vgs 0.205 ,id@Vgs 0.206 ,id@Vgs 0.207 ,id@Vgs 0.208 ,id@Vgs 0.209 ,id@Vgs 0.21 ,id@Vgs 0.211 ,id@Vgs 0.212 ,id@Vgs 0.213 ,id@Vgs 0.214 ,id@Vgs 0.215 ,id@Vgs 0.216 ,id@Vgs 0.217 ,id@Vgs 0.218 ,id@Vgs 0.219 ,id@Vgs 0.22 ,id@Vgs 0.221 ,id@Vgs 0.222 ,id@Vgs 0.223 ,id@Vgs 0.224 ,id@Vgs 0.225 ,id@Vgs 0.226 ,id@Vgs 0.227 ,id@Vgs 0.228 ,id@Vgs 0.229 ,id@Vgs 0.23 ,id@Vgs 0.231 ,id@Vgs 0.232 ,id@Vgs 0.233 ,id@Vgs 0.234 ,id@Vgs 0.235 ,id@Vgs 0.236 ,id@Vgs 0.237 ,id@Vgs 0.238 ,id@Vgs 0.239 ,id@Vgs 0.24 ,id@Vgs 0.241 ,id@Vgs 0.242 ,id@Vgs 0.243 ,id@Vgs 0.244 ,id@Vgs 0.245 ,id@Vgs 0.246 ,id@Vgs 0.247 ,id@Vgs 0.248 ,id@Vgs 0.249 ,id@Vgs 0.25 
50.0E-3,464.01603E-9,479.22350E-9,494.92520E-9,511.13688E-9,527.87479E-9,545.15566E-9,562.99673E-9,581.41578E-9,600.43110E-9,620.06156E-9,640.32658E-9,661.24616E-9,682.84091E-9,705.13205E-9,728.14141E-9,751.89150E-9,776.40545E-9,801.70711E-9,827.82101E-9,854.77238E-9,882.58719E-9,911.29218E-9,940.91481E-9,971.48338E-9,1.0030269E-6,1.0355754E-6,1.0691595E-6,1.1038109E-6,1.1395620E-6,1.1764462E-6,1.2144978E-6,1.2537520E-6,1.2942451E-6,1.3360142E-6,1.3790975E-6,1.4235342E-6,1.4693645E-6,1.5166297E-6,1.5653721E-6,1.6156352E-6,1.6674637E-6,1.7209031E-6,1.7760004E-6,1.8328037E-6,1.8913620E-6,1.9517260E-6,2.0139473E-6,2.0780788E-6,2.1441747E-6,2.2122904E-6,2.2824828E-6
52.0E-3,472.68428E-9,488.17741E-9,504.17416E-9,520.69059E-9,537.74325E-9,555.34921E-9,573.52605E-9,592.29189E-9,611.66538E-9,631.66576E-9,652.31282E-9,673.62698E-9,695.62923E-9,718.34122E-9,741.78522E-9,765.98417E-9,790.96169E-9,816.74207E-9,843.35033E-9,870.81223E-9,899.15425E-9,928.40365E-9,958.58847E-9,989.73756E-9,1.0218806E-6,1.0550480E-6,1.0892713E-6,1.1245826E-6,1.1610151E-6,1.1986029E-6,1.2373809E-6,1.2773852E-6,1.3186526E-6,1.3612212E-6,1.4051298E-6,1.4504185E-6,1.4971284E-6,1.5453017E-6,1.5949815E-6,1.6462122E-6,1.6990395E-6,1.7535099E-6,1.8096714E-6,1.8675730E-6,1.9272650E-6,1.9887990E-6,2.0522278E-6,2.1176055E-6,2.1849873E-6,2.2544302E-6,2.3259920E-6
54.0E-3,480.87640E-9,496.63958E-9,512.91525E-9,529.71977E-9,547.07000E-9,564.98330E-9,583.47758E-9,602.57128E-9,622.28340E-9,642.63353E-9,663.64182E-9,685.32906E-9,707.71663E-9,730.82656E-9,754.68156E-9,779.30496E-9,804.72083E-9,830.95392E-9,858.02972E-9,885.97444E-9,914.81507E-9,944.57938E-9,975.29593E-9,1.0069941E-6,1.0397042E-6,1.0734571E-6,1.1082850E-6,1.1442206E-6,1.1812978E-6,1.2195512E-6,1.2590165E-6,1.2997304E-6,1.3417305E-6,1.3850555E-6,1.4297452E-6,1.4758403E-6,1.5233826E-6,1.5724153E-6,1.6229823E-6,1.6751290E-6,1.7289018E-6,1.7843482E-6,1.8415172E-6,1.9004587E-6,1.9612241E-6,2.0238660E-6,2.0884383E-6,2.1549961E-6,2.2235960E-6,2.2942958E-6,2.3671548E-6
56.0E-3,488.61217E-9,504.63041E-9,521.16953E-9,538.24618E-9,555.87748E-9,574.08110E-9,592.87524E-9,612.27865E-9,632.31066E-9,652.99119E-9,674.34073E-9,696.38042E-9,719.13201E-9,742.61791E-9,766.86120E-9,791.88564E-9,817.71569E-9,844.37653E-9,871.89409E-9,900.29503E-9,929.60682E-9,959.85771E-9,991.07675E-9,1.0232939E-6,1.0565398E-6,1.0908461E-6,1.1262454E-6,1.1627711E-6,1.2004576E-6,1.2393402E-6,1.2794552E-6,1.3208399E-6,1.3635327E-6,1.4075729E-6,1.4530010E-6,1.4998585E-6,1.5481880E-6,1.5980333E-6,1.6494394E-6,1.7024522E-6,1.7571192E-6,1.8134887E-6,1.8716106E-6,1.9315358E-6,1.9933167E-6,2.0570067E-6,2.1226609E-6,2.1903353E-6,2.2600877E-6,2.3319771E-6,2.4060637E-6
58.0E-3,495.91161E-9,512.17058E-9,528.95837E-9,546.29185E-9,564.18845E-9,582.66609E-9,601.74326E-9,621.43902E-9,641.77299E-9,662.76540E-9,684.43707E-9,706.80947E-9,729.90470E-9,753.74553E-9,778.35540E-9,803.75844E-9,829.97952E-9,857.04421E-9,884.97885E-9,913.81055E-9,943.56722E-9,974.27754E-9,1.0059711E-6,1.0386782E-6,1.0724301E-6,1.1072590E-6,1.1431980E-6,1.1802810E-6,1.2185430E-6,1.2580198E-6,1.2987484E-6,1.3407668E-6,1.3841139E-6,1.4288297E-6,1.4749553E-6,1.5225331E-6,1.5716063E-6,1.6222195E-6,1.6744183E-6,1.7282496E-6,1.7837615E-6,1.8410035E-6,1.9000259E-6,1.9608809E-6,2.0236215E-6,2.0883022E-6,2.1549791E-6,2.2237092E-6,2.2945512E-6,2.3675653E-6,2.4428127E-6
60.0E-3,502.79500E-9,519.28103E-9,536.30336E-9,553.87910E-9,572.02594E-9,590.76205E-9,610.10621E-9,630.07773E-9,650.69654E-9,671.98315E-9,693.95870E-9,716.64497E-9,740.06439E-9,764.24005E-9,789.19576E-9,814.95599E-9,841.54599E-9,868.99170E-9,897.31988E-9,926.55802E-9,956.73444E-9,987.87829E-9,1.0200195E-6,1.0531890E-6,1.0874185E-6,1.1227406E-6,1.1591888E-6,1.1967978E-6,1.2356029E-6,1.2756406E-6,1.3169484E-6,1.3595649E-6,1.4035295E-6,1.4488831E-6,1.4956673E-6,1.5439250E-6,1.5937003E-6,1.6450384E-6,1.6979857E-6,1.7525898E-6,1.8088997E-6,1.8669654E-6,1.9268384E-6,1.9885714E-6,2.0522184E-6,2.1178350E-6,2.1854778E-6,2.2552052E-6,2.3270766E-6,2.4011532E-6,2.4774974E-6
62.0E-3,509.28279E-9,525.98287E-9,543.22630E-9,561.03044E-9,579.41318E-9,598.39298E-9,617.98884E-9,638.22035E-9,659.10770E-9,680.67170E-9,702.93376E-9,725.91596E-9,749.64104E-9,774.13242E-9,799.41421E-9,825.51126E-9,852.44912E-9,880.25413E-9,908.95340E-9,938.57481E-9,969.14709E-9,1.0006998E-6,1.0332633E-6,1.0668688E-6,1.1015487E-6,1.1373359E-6,1.1742645E-6,1.2123695E-6,1.2516869E-6,1.2922537E-6,1.3341079E-6,1.3772885E-6,1.4218358E-6,1.4677910E-6,1.5151965E-6,1.5640958E-6,1.6145335E-6,1.6665556E-6,1.7202092E-6,1.7755426E-6,1.8326054E-6,1.8914486E-6,1.9521242E-6,2.0146859E-6,2.0791886E-6,2.1456884E-6,2.2142432E-6,2.2849119E-6,2.3577552E-6,2.4328350E-6,2.5102148E-6
64.0E-3,515.39553E-9,532.29732E-9,549.74911E-9,567.76847E-9,586.37353E-9,605.58297E-9,625.41604E-9,645.89257E-9,667.03301E-9,688.85842E-9,711.39050E-9,734.65162E-9,758.66478E-9,783.45372E-9,809.04287E-9,835.45736E-9,862.72312E-9,890.86679E-9,919.91585E-9,949.89855E-9,980.84396E-9,1.0127820E-6,1.0457436E-6,1.0797602E-6,1.1148647E-6,1.1510904E-6,1.1884718E-6,1.2270445E-6,1.2668450E-6,1.3079106E-6,1.3502799E-6,1.3939926E-6,1.4390892E-6,1.4856118E-6,1.5336031E-6,1.5831074E-6,1.6341698E-6,1.6868371E-6,1.7411568E-6,1.7971780E-6,1.8549510E-6,1.9145275E-6,1.9759603E-6,2.0393038E-6,2.1046136E-6,2.1719468E-6,2.2413619E-6,2.3129189E-6,2.3866792E-6,2.4627057E-6,2.5410628E-6
66.0E-3,521.15374E-9,538.24558E-9,555.89367E-9,574.11581E-9,592.93033E-9,612.35613E-9,632.41269E-9,653.12007E-9,674.49898E-9,696.57070E-9,719.35721E-9,742.88112E-9,767.16574E-9,792.23507E-9,818.11382E-9,844.82745E-9,872.40218E-9,900.86500E-9,930.24368E-9,960.56683E-9,991.86389E-9,1.0241652E-6,1.0575018E-6,1.0919059E-6,1.1274105E-6,1.1640495E-6,1.2018578E-6,1.2408713E-6,1.2811270E-6,1.3226628E-6,1.3655177E-6,1.4097318E-6,1.4553464E-6,1.5024037E-6,1.5509474E-6,1.6010220E-6,1.6526734E-6,1.7059488E-6,1.7608966E-6,1.8175664E-6,1.8760091E-6,1.9362770E-6,1.9984238E-6,2.0625045E-6,2.1285755E-6,2.1966947E-6,2.2669213E-6,2.3393160E-6,2.4139412E-6,2.4908607E-6,2.5701397E-6
68.0E-3,526.57785E-9,543.84871E-9,561.68174E-9,580.09491E-9,599.10677E-9,618.73640E-9,639.00352E-9,659.92840E-9,681.53196E-9,703.83575E-9,726.86197E-9,750.63349E-9,775.17386E-9,800.50737E-9,826.65899E-9,853.65448E-9,881.52034E-9,910.28385E-9,939.97313E-9,970.61709E-9,1.0022455E-6,1.0348890E-6,1.0685791E-6,1.1033483E-6,1.1392300E-6,1.1762584E-6,1.2144690E-6,1.2538979E-6,1.2945827E-6,1.3365616E-6,1.3798741E-6,1.4245609E-6,1.4706636E-6,1.5182251E-6,1.5672893E-6,1.6179015E-6,1.6701081E-6,1.7239569E-6,1.7794967E-6,1.8367778E-6,1.8958518E-6,1.9567717E-6,2.0195916E-6,2.0843674E-6,2.1511561E-6,2.2200163E-6,2.2910081E-6,2.3641928E-6,2.4396337E-6,2.5173953E-6,2.5975437E-6
70.0E-3,531.68798E-9,549.12753E-9,567.13480E-9,585.72797E-9,604.92575E-9,624.74744E-9,645.21295E-9,666.34276E-9,688.15801E-9,710.68046E-9,733.93255E-9,757.93737E-9,782.71874E-9,808.30118E-9,834.70993E-9,861.97101E-9,890.11119E-9,919.15807E-9,949.14003E-9,980.08630E-9,1.0120270E-6,1.0449930E-6,1.0790162E-6,1.1141295E-6,1.1503665E-6,1.1877620E-6,1.2263516E-6,1.2661721E-6,1.3072612E-6,1.3496578E-6,1.3934017E-6,1.4385339E-6,1.4850967E-6,1.5331333E-6,1.5826882E-6,1.6338072E-6,1.6865371E-6,1.7409263E-6,1.7970242E-6,1.8548817E-6,1.9145509E-6,1.9760853E-6,2.0395400E-6,2.1049711E-6,2.1724364E-6,2.2419954E-6,2.3137086E-6,2.3876383E-6,2.4638483E-6,2.5424040E-6,2.6233724E-6
