Vds ,gds@Vgs 0.275 ,gds@Vgs 0.276 ,gds@Vgs 0.277 ,gds@Vgs 0.278 ,gds@Vgs 0.279 ,gds@Vgs 0.28 ,gds@Vgs 0.281 ,gds@Vgs 0.282 ,gds@Vgs 0.283 ,gds@Vgs 0.284 ,gds@Vgs 0.285 ,gds@Vgs 0.286 ,gds@Vgs 0.287 ,gds@Vgs 0.288 ,gds@Vgs 0.289 ,gds@Vgs 0.29 ,gds@Vgs 0.291 ,gds@Vgs 0.292 ,gds@Vgs 0.293 ,gds@Vgs 0.294 ,gds@Vgs 0.295 ,gds@Vgs 0.296 ,gds@Vgs 0.297 ,gds@Vgs 0.298 ,gds@Vgs 0.299 ,gds@Vgs 0.3 ,gds@Vgs 0.301 ,gds@Vgs 0.302 ,gds@Vgs 0.303 ,gds@Vgs 0.304 ,gds@Vgs 0.305 ,gds@Vgs 0.306 ,gds@Vgs 0.307 ,gds@Vgs 0.308 ,gds@Vgs 0.309 ,gds@Vgs 0.31 ,gds@Vgs 0.311 ,gds@Vgs 0.312 ,gds@Vgs 0.313 ,gds@Vgs 0.314 ,gds@Vgs 0.315 ,gds@Vgs 0.316 ,gds@Vgs 0.317 ,gds@Vgs 0.318 ,gds@Vgs 0.319 ,gds@Vgs 0.32 ,gds@Vgs 0.321 ,gds@Vgs 0.322 ,gds@Vgs 0.323 ,gds@Vgs 0.324 ,gds@Vgs 0.325 
50.0E-3,3.4350958E-6,3.5534866E-6,3.6759986E-6,3.8027750E-6,3.9339637E-6,4.0697173E-6,4.2101934E-6,4.3555548E-6,4.5059693E-6,4.6616101E-6,4.8226556E-6,4.9892900E-6,5.1617030E-6,5.3400901E-6,5.5246527E-6,5.7155980E-6,5.9131395E-6,6.1174968E-6,6.3288958E-6,6.5475687E-6,6.7737543E-6,7.0076978E-6,7.2496512E-6,7.4998733E-6,7.7586294E-6,8.0261920E-6,8.3028403E-6,8.5888607E-6,8.8845464E-6,9.1901979E-6,9.5061228E-6,9.8326358E-6,10.170059E-6,10.518721E-6,10.878959E-6,11.251115E-6,11.635542E-6,12.032596E-6,12.442642E-6,12.866054E-6,13.303210E-6,13.754496E-6,14.220306E-6,14.701041E-6,15.197105E-6,15.708915E-6,16.236888E-6,16.781453E-6,17.343042E-6,17.922094E-6,18.519054E-6
52.0E-3,3.1975225E-6,3.3077633E-6,3.4218466E-6,3.5399064E-6,3.6620812E-6,3.7885139E-6,3.9193523E-6,4.0547488E-6,4.1948607E-6,4.3398505E-6,4.4898857E-6,4.6451390E-6,4.8057888E-6,4.9720185E-6,5.1440175E-6,5.3219807E-6,5.5061090E-6,5.6966089E-6,5.8936932E-6,6.0975809E-6,6.3084969E-6,6.5266727E-6,6.7523460E-6,6.9857612E-6,7.2271692E-6,7.4768275E-6,7.7350004E-6,8.0019590E-6,8.2779812E-6,8.5633520E-6,8.8583630E-6,9.1633133E-6,9.4785087E-6,9.8042623E-6,10.140894E-6,10.488731E-6,10.848109E-6,11.219368E-6,11.602857E-6,11.998932E-6,12.407956E-6,12.830299E-6,13.266337E-6,13.716456E-6,14.181045E-6,14.660503E-6,15.155234E-6,15.665649E-6,16.192165E-6,16.735208E-6,17.295206E-6
54.0E-3,2.9765515E-6,3.0792069E-6,3.1854447E-6,3.2953904E-6,3.4091734E-6,3.5269277E-6,3.6487915E-6,3.7749076E-6,3.9054236E-6,4.0404916E-6,4.1802687E-6,4.3249171E-6,4.4746040E-6,4.6295018E-6,4.7897882E-6,4.9556464E-6,5.1272653E-6,5.3048392E-6,5.4885683E-6,5.6786586E-6,5.8753222E-6,6.0787771E-6,6.2892476E-6,6.5069642E-6,6.7321637E-6,6.9650895E-6,7.2059912E-6,7.4551254E-6,7.7127551E-6,7.9791500E-6,8.2545867E-6,8.5393486E-6,8.8337262E-6,9.1380165E-6,9.4525240E-6,9.7775599E-6,10.113443E-6,10.460497E-6,10.819057E-6,11.189460E-6,11.572055E-6,11.967194E-6,12.375239E-6,12.796556E-6,13.231522E-6,13.680517E-6,14.143930E-6,14.622157E-6,15.115599E-6,15.624665E-6,16.149771E-6
56.0E-3,2.7709978E-6,2.8665928E-6,2.9655276E-6,3.0679193E-6,3.1738894E-6,3.2835629E-6,3.3970693E-6,3.5145424E-6,3.6361203E-6,3.7619456E-6,3.8921656E-6,4.0269322E-6,4.1664023E-6,4.3107377E-6,4.4601053E-6,4.6146770E-6,4.7746303E-6,4.9401478E-6,5.1114177E-6,5.2886339E-6,5.4719960E-6,5.6617093E-6,5.8579850E-6,6.0610405E-6,6.2710991E-6,6.4883904E-6,6.7131503E-6,6.9456210E-6,7.1860512E-6,7.4346960E-6,7.6918173E-6,7.9576835E-6,8.2325698E-6,8.5167581E-6,8.8105373E-6,9.1142030E-6,9.4280579E-6,9.7524115E-6,10.087580E-6,10.433888E-6,10.791665E-6,11.161249E-6,11.542985E-6,11.937223E-6,12.344324E-6,12.764652E-6,13.198581E-6,13.646489E-6,14.108762E-6,14.585795E-6,15.077985E-6
58.0E-3,2.5797676E-6,2.6687905E-6,2.7609266E-6,2.8562858E-6,2.9549813E-6,3.0571303E-6,3.1628539E-6,3.2722772E-6,3.3855297E-6,3.5027448E-6,3.6240606E-6,3.7496194E-6,3.8795683E-6,4.0140590E-6,4.1532481E-6,4.2972969E-6,4.4463720E-6,4.6006451E-6,4.7602929E-6,4.9254976E-6,5.0964470E-6,5.2733343E-6,5.4563583E-6,5.6457237E-6,5.8416409E-6,6.0443265E-6,6.2540029E-6,6.4708987E-6,6.6952487E-6,6.9272941E-6,7.1672825E-6,7.4154677E-6,7.6721104E-6,7.9374775E-6,8.2118429E-6,8.4954871E-6,8.7886972E-6,9.0917675E-6,9.4049987E-6,9.7286988E-6,10.063183E-6,10.408772E-6,10.765795E-6,11.134587E-6,11.515492E-6,11.908859E-6,12.315045E-6,12.734412E-6,13.167331E-6,13.614180E-6,14.075343E-6
60.0E-3,2.4018508E-6,2.4847558E-6,2.5705628E-6,2.6593744E-6,2.7512965E-6,2.8464388E-6,2.9449144E-6,3.0468406E-6,3.1523383E-6,3.2615325E-6,3.3745525E-6,3.4915317E-6,3.6126077E-6,3.7379229E-6,3.8676240E-6,4.0018625E-6,4.1407944E-6,4.2845810E-6,4.4333883E-6,4.5873875E-6,4.7467549E-6,4.9116723E-6,5.0823266E-6,5.2589104E-6,5.4416220E-6,5.6306651E-6,5.8262496E-6,6.0285908E-6,6.2379105E-6,6.4544362E-6,6.6784018E-6,6.9100471E-6,7.1496186E-6,7.3973690E-6,7.6535574E-6,7.9184498E-6,8.1923182E-6,8.4754419E-6,8.7681064E-6,9.0706042E-6,9.3832346E-6,9.7063037E-6,10.040125E-6,10.385017E-6,10.741308E-6,11.109331E-6,11.489426E-6,11.881942E-6,12.287233E-6,12.705660E-6,13.137592E-6
62.0E-3,2.2363145E-6,2.3135242E-6,2.3934389E-6,2.4761545E-6,2.5617699E-6,2.6503876E-6,2.7421134E-6,2.8370570E-6,2.9353315E-6,3.0370540E-6,3.1423453E-6,3.2513304E-6,3.3641382E-6,3.4809020E-6,3.6017594E-6,3.7268522E-6,3.8563270E-6,3.9903350E-6,4.1290318E-6,4.2725783E-6,4.4211400E-6,4.5748877E-6,4.7339971E-6,4.8986494E-6,5.0690310E-6,5.2453337E-6,5.4277550E-6,5.6164980E-6,5.8117715E-6,6.0137902E-6,6.2227746E-6,6.4389513E-6,6.6625531E-6,6.8938187E-6,7.1329935E-6,7.3803287E-6,7.6360823E-6,7.9005186E-6,8.1739085E-6,8.4565296E-6,8.7486659E-6,9.0506084E-6,9.3626546E-6,9.6851089E-6,10.018283E-6,10.362494E-6,10.718067E-6,11.085335E-6,11.464635E-6,11.856315E-6,12.260725E-6
64.0E-3,2.0822965E-6,2.1542045E-6,2.2286338E-6,2.3056738E-6,2.3854171E-6,2.4679593E-6,2.5533994E-6,2.6418400E-6,2.7333867E-6,2.8281492E-6,2.9262404E-6,3.0277774E-6,3.1328808E-6,3.2416755E-6,3.3542901E-6,3.4708579E-6,3.5915159E-6,3.7164060E-6,3.8456743E-6,3.9794715E-6,4.1179530E-6,4.2612792E-6,4.4096152E-6,4.5631311E-6,4.7220021E-6,4.8864088E-6,5.0565369E-6,5.2325774E-6,5.4147272E-6,5.6031884E-6,5.7981690E-6,5.9998827E-6,6.2085490E-6,6.4243936E-6,6.6476479E-6,6.8785496E-6,7.1173428E-6,7.3642775E-6,7.6196103E-6,7.8836041E-6,8.1565285E-6,8.4386593E-6,8.7302792E-6,9.0316775E-6,9.3431500E-6,9.6649995E-6,9.9975355E-6,10.341074E-6,10.695939E-6,11.062460E-6,11.440973E-6
66.0E-3,1.9390004E-6,2.0059733E-6,2.0752960E-6,2.1470522E-6,2.2213282E-6,2.2982134E-6,2.3778003E-6,2.4601848E-6,2.5454657E-6,2.6337453E-6,2.7251295E-6,2.8197276E-6,2.9176526E-6,3.0190213E-6,3.1239543E-6,3.2325761E-6,3.3450153E-6,3.4614047E-6,3.5818814E-6,3.7065865E-6,3.8356660E-6,3.9692702E-6,4.1075541E-6,4.2506775E-6,4.3988049E-6,4.5521061E-6,4.7107555E-6,4.8749330E-6,5.0448236E-6,5.2206178E-6,5.4025112E-6,5.5907054E-6,5.7854073E-6,5.9868296E-6,6.1951909E-6,6.4107157E-6,6.6336343E-6,6.8641833E-6,7.1026053E-6,7.3491493E-6,7.6040703E-6,7.8676300E-6,8.1400964E-6,8.4217438E-6,8.7128535E-6,9.0137130E-6,9.3246166E-6,9.6458655E-6,9.9777673E-6,10.320637E-6,10.674795E-6
68.0E-3,1.8056901E-6,1.8680695E-6,1.9326388E-6,1.9994762E-6,2.0686623E-6,2.1402807E-6,2.2144177E-6,2.2911629E-6,2.3706086E-6,2.4528505E-6,2.5379875E-6,2.6261219E-6,2.7173594E-6,2.8118092E-6,2.9095841E-6,3.0108008E-6,3.1155796E-6,3.2240449E-6,3.3363251E-6,3.4525525E-6,3.5728638E-6,3.6974001E-6,3.8263067E-6,3.9597336E-6,4.0978353E-6,4.2407709E-6,4.3887047E-6,4.5418054E-6,4.7002471E-6,4.8642089E-6,5.0338750E-6,5.2094350E-6,5.3910839E-6,5.5790221E-6,5.7734557E-6,5.9745965E-6,6.1826618E-6,6.3978750E-6,6.6204654E-6,6.8506683E-6,7.0887250E-6,7.3348832E-6,7.5893966E-6,7.8525255E-6,8.1245363E-6,8.4057020E-6,8.6963022E-6,8.9966229E-6,9.3069569E-6,9.6276035E-6,9.9588689E-6
