Vds ,gm@Vgs 0.275 ,gm@Vgs 0.276 ,gm@Vgs 0.277 ,gm@Vgs 0.278 ,gm@Vgs 0.279 ,gm@Vgs 0.28 ,gm@Vgs 0.281 ,gm@Vgs 0.282 ,gm@Vgs 0.283 ,gm@Vgs 0.284 ,gm@Vgs 0.285 ,gm@Vgs 0.286 ,gm@Vgs 0.287 ,gm@Vgs 0.288 ,gm@Vgs 0.289 ,gm@Vgs 0.29 ,gm@Vgs 0.291 ,gm@Vgs 0.292 ,gm@Vgs 0.293 ,gm@Vgs 0.294 ,gm@Vgs 0.295 ,gm@Vgs 0.296 ,gm@Vgs 0.297 ,gm@Vgs 0.298 ,gm@Vgs 0.299 ,gm@Vgs 0.3 ,gm@Vgs 0.301 ,gm@Vgs 0.302 ,gm@Vgs 0.303 ,gm@Vgs 0.304 ,gm@Vgs 0.305 ,gm@Vgs 0.306 ,gm@Vgs 0.307 ,gm@Vgs 0.308 ,gm@Vgs 0.309 ,gm@Vgs 0.31 ,gm@Vgs 0.311 ,gm@Vgs 0.312 ,gm@Vgs 0.313 ,gm@Vgs 0.314 ,gm@Vgs 0.315 ,gm@Vgs 0.316 ,gm@Vgs 0.317 ,gm@Vgs 0.318 ,gm@Vgs 0.319 ,gm@Vgs 0.32 ,gm@Vgs 0.321 ,gm@Vgs 0.322 ,gm@Vgs 0.323 ,gm@Vgs 0.324 ,gm@Vgs 0.325 
50.0E-3,16.207855E-6,16.739271E-6,17.286487E-6,17.849848E-6,18.429698E-6,19.026383E-6,19.640243E-6,20.271620E-6,20.920851E-6,21.588273E-6,22.274215E-6,22.979006E-6,23.702969E-6,24.446421E-6,25.209673E-6,25.993032E-6,26.796796E-6,27.621257E-6,28.466697E-6,29.333392E-6,30.221607E-6,31.131600E-6,32.063616E-6,33.017892E-6,33.994654E-6,34.994113E-6,36.016474E-6,37.061926E-6,38.130646E-6,39.222799E-6,40.338537E-6,41.477998E-6,42.641306E-6,43.828571E-6,45.039889E-6,46.275343E-6,47.534999E-6,48.818910E-6,50.127113E-6,51.459632E-6,52.816474E-6,54.197633E-6,55.603085E-6,57.032794E-6,58.486709E-6,59.964761E-6,61.466870E-6,62.992939E-6,64.542857E-6,66.116499E-6,67.713725E-6
52.0E-3,16.432499E-6,16.971740E-6,17.527053E-6,18.098793E-6,18.687314E-6,19.292969E-6,19.916109E-6,20.557087E-6,21.216249E-6,21.893942E-6,22.590507E-6,23.306283E-6,24.041604E-6,24.796799E-6,25.572191E-6,26.368098E-6,27.184829E-6,28.022690E-6,28.881975E-6,29.762972E-6,30.665959E-6,31.591207E-6,32.538975E-6,33.509513E-6,34.503058E-6,35.519838E-6,36.560070E-6,37.623957E-6,38.711691E-6,39.823450E-6,40.959400E-6,42.119694E-6,43.304470E-6,44.513852E-6,45.747951E-6,47.006863E-6,48.290670E-6,49.599438E-6,50.933220E-6,52.292052E-6,53.675957E-6,55.084942E-6,56.518997E-6,57.978101E-6,59.462214E-6,60.971283E-6,62.505240E-6,64.064001E-6,65.647468E-6,67.255529E-6,68.888056E-6
54.0E-3,16.641678E-6,17.188214E-6,17.751077E-6,18.330631E-6,18.927238E-6,19.541260E-6,20.173058E-6,20.822994E-6,21.491423E-6,22.178703E-6,22.885185E-6,23.611217E-6,24.357146E-6,25.123309E-6,25.910042E-6,26.717673E-6,27.546524E-6,28.396911E-6,29.269142E-6,30.163515E-6,31.080322E-6,32.019845E-6,32.982357E-6,33.968119E-6,34.977383E-6,36.010389E-6,37.067368E-6,38.148536E-6,39.254098E-6,40.384247E-6,41.539163E-6,42.719011E-6,43.923944E-6,45.154101E-6,46.409607E-6,47.690571E-6,48.997090E-6,50.329244E-6,51.687100E-6,53.070709E-6,54.480106E-6,55.915315E-6,57.376339E-6,58.863170E-6,60.375783E-6,61.914138E-6,63.478181E-6,65.067841E-6,66.683034E-6,68.323659E-6,69.989603E-6
56.0E-3,16.836463E-6,17.389800E-6,17.959703E-6,18.546542E-6,19.150690E-6,19.772516E-6,20.412391E-6,21.070683E-6,21.747760E-6,22.443986E-6,23.159723E-6,23.895330E-6,24.651162E-6,25.427568E-6,26.224894E-6,27.043478E-6,27.883654E-6,28.745749E-6,29.630080E-6,30.536961E-6,31.466692E-6,32.419569E-6,33.395875E-6,34.395886E-6,35.419866E-6,36.468067E-6,37.540732E-6,38.638092E-6,39.760364E-6,40.907755E-6,42.080457E-6,43.278650E-6,44.502501E-6,45.752161E-6,47.027770E-6,48.329451E-6,49.657315E-6,51.011456E-6,52.391956E-6,53.798878E-6,55.232273E-6,56.692177E-6,58.178610E-6,59.691575E-6,61.231063E-6,62.797048E-6,64.389488E-6,66.008327E-6,67.653494E-6,69.324901E-6,71.022449E-6
58.0E-3,17.017851E-6,17.577527E-6,18.153993E-6,18.747626E-6,19.358805E-6,19.987909E-6,20.635316E-6,21.301404E-6,21.986548E-6,22.691122E-6,23.415497E-6,24.160041E-6,24.925118E-6,25.711088E-6,26.518305E-6,27.347120E-6,28.197875E-6,29.070908E-6,29.966549E-6,30.885120E-6,31.826935E-6,32.792300E-6,33.781510E-6,34.794853E-6,35.832603E-6,36.895028E-6,37.982381E-6,39.094905E-6,40.232832E-6,41.396381E-6,42.585756E-6,43.801151E-6,45.042746E-6,46.310706E-6,47.605185E-6,48.926318E-6,50.274231E-6,51.649032E-6,53.050815E-6,54.479659E-6,55.935629E-6,57.418774E-6,58.929127E-6,60.466708E-6,62.031519E-6,63.623550E-6,65.242771E-6,66.889142E-6,68.562603E-6,70.263083E-6,71.990493E-6
60.0E-3,17.186768E-6,17.752354E-6,18.334937E-6,18.934904E-6,19.552639E-6,20.188530E-6,20.842962E-6,21.516321E-6,22.208991E-6,22.921353E-6,23.653788E-6,24.406672E-6,25.180378E-6,25.975275E-6,26.791728E-6,27.630096E-6,28.490732E-6,29.373984E-6,30.280191E-6,31.209687E-6,32.162797E-6,33.139836E-6,34.141113E-6,35.166924E-6,36.217558E-6,37.293292E-6,38.394393E-6,39.521115E-6,40.673702E-6,41.852385E-6,43.057383E-6,44.288901E-6,45.547132E-6,46.832255E-6,48.144435E-6,49.483824E-6,50.850557E-6,52.244759E-6,53.666536E-6,55.115981E-6,56.593173E-6,58.098175E-6,59.631034E-6,61.191782E-6,62.780438E-6,64.397002E-6,66.041462E-6,67.713789E-6,69.413939E-6,71.141853E-6,72.897455E-6
62.0E-3,17.344077E-6,17.915171E-6,18.503457E-6,19.109327E-6,19.733175E-6,20.375395E-6,21.036378E-6,21.716518E-6,22.416207E-6,23.135835E-6,23.875789E-6,24.636455E-6,25.418214E-6,26.221443E-6,27.046518E-6,27.893805E-6,28.763668E-6,29.656463E-6,30.572541E-6,31.512244E-6,32.475907E-6,33.463858E-6,34.476414E-6,35.513884E-6,36.576567E-6,37.664751E-6,38.778715E-6,39.918724E-6,41.085035E-6,42.277890E-6,43.497519E-6,44.744142E-6,46.017963E-6,47.319174E-6,48.647953E-6,50.004463E-6,51.388856E-6,52.801266E-6,54.241815E-6,55.710609E-6,57.207739E-6,58.733283E-6,60.287301E-6,61.869840E-6,63.480932E-6,65.120590E-6,66.788817E-6,68.485597E-6,70.210900E-6,71.964680E-6,73.746878E-6
64.0E-3,17.490579E-6,18.066807E-6,18.660409E-6,19.271783E-6,19.901330E-6,20.549449E-6,21.216541E-6,21.903005E-6,22.609241E-6,23.335645E-6,24.082614E-6,24.850540E-6,25.639813E-6,26.450818E-6,27.283939E-6,28.139552E-6,29.018029E-6,29.919735E-6,30.845031E-6,31.794268E-6,32.767791E-6,33.765938E-6,34.789036E-6,35.837403E-6,36.911351E-6,38.011178E-6,39.137172E-6,40.289613E-6,41.468765E-6,42.674884E-6,43.908213E-6,45.168981E-6,46.457405E-6,47.773689E-6,49.118024E-6,50.490586E-6,51.891539E-6,53.321030E-6,54.779193E-6,56.266148E-6,57.782000E-6,59.326839E-6,60.900739E-6,62.503761E-6,64.135948E-6,65.797331E-6,67.487922E-6,69.207722E-6,70.956714E-6,72.734865E-6,74.542129E-6
66.0E-3,17.627023E-6,18.208035E-6,18.806591E-6,19.423097E-6,20.057956E-6,20.711576E-6,21.384363E-6,22.076724E-6,22.789064E-6,23.521789E-6,24.275300E-6,25.049999E-6,25.846282E-6,26.664543E-6,27.505172E-6,28.368556E-6,29.255073E-6,30.165099E-6,31.099001E-6,32.057141E-6,33.039874E-6,34.047544E-6,35.080491E-6,36.139043E-6,37.223520E-6,38.334230E-6,39.471474E-6,40.635540E-6,41.826705E-6,43.045235E-6,44.291384E-6,45.565392E-6,46.867489E-6,48.197891E-6,49.556799E-6,50.944402E-6,52.360876E-6,53.806382E-6,55.281065E-6,56.785058E-6,58.318480E-6,59.881431E-6,61.474002E-6,63.096264E-6,64.748275E-6,66.430078E-6,68.141701E-6,69.883157E-6,71.654442E-6,73.455538E-6,75.286411E-6
68.0E-3,17.754103E-6,18.339575E-6,18.942749E-6,19.564036E-6,20.203848E-6,20.862595E-6,21.540692E-6,22.238551E-6,22.956584E-6,23.695203E-6,24.454816E-6,25.235831E-6,26.038653E-6,26.863683E-6,27.711319E-6,28.581953E-6,29.475974E-6,30.393765E-6,31.335702E-6,32.302154E-6,33.293486E-6,34.310052E-6,35.352199E-6,36.420265E-6,37.514579E-6,38.635462E-6,39.783221E-6,40.958156E-6,42.160554E-6,43.390692E-6,44.648834E-6,45.935232E-6,47.250126E-6,48.593743E-6,49.966297E-6,51.367989E-6,52.799005E-6,54.259517E-6,55.749686E-6,57.269655E-6,58.819555E-6,60.399500E-6,62.009593E-6,63.649918E-6,65.320546E-6,67.021533E-6,68.752921E-6,70.514735E-6,72.306985E-6,74.129667E-6,75.982761E-6
