Vds ,id@Vgs 0.275  (A),id@Vgs 0.276  (A),id@Vgs 0.277  (A),id@Vgs 0.278  (A),id@Vgs 0.279  (A),id@Vgs 0.28  (A),id@Vgs 0.281  (A),id@Vgs 0.282  (A),id@Vgs 0.283  (A),id@Vgs 0.284  (A),id@Vgs 0.285  (A),id@Vgs 0.286  (A),id@Vgs 0.287  (A),id@Vgs 0.288  (A),id@Vgs 0.289  (A),id@Vgs 0.29  (A),id@Vgs 0.291  (A),id@Vgs 0.292  (A),id@Vgs 0.293  (A),id@Vgs 0.294  (A),id@Vgs 0.295  (A),id@Vgs 0.296  (A),id@Vgs 0.297  (A),id@Vgs 0.298  (A),id@Vgs 0.299  (A),id@Vgs 0.3  (A),id@Vgs 0.301  (A),id@Vgs 0.302  (A),id@Vgs 0.303  (A),id@Vgs 0.304  (A),id@Vgs 0.305  (A),id@Vgs 0.306  (A),id@Vgs 0.307  (A),id@Vgs 0.308  (A),id@Vgs 0.309  (A),id@Vgs 0.31  (A),id@Vgs 0.311  (A),id@Vgs 0.312  (A),id@Vgs 0.313  (A),id@Vgs 0.314  (A),id@Vgs 0.315  (A),id@Vgs 0.316  (A),id@Vgs 0.317  (A),id@Vgs 0.318  (A),id@Vgs 0.319  (A),id@Vgs 0.32  (A),id@Vgs 0.321  (A),id@Vgs 0.322  (A),id@Vgs 0.323  (A),id@Vgs 0.324  (A),id@Vgs 0.325  (A)
50.0E-3,487.43476E-9,503.90729E-9,520.91911E-9,538.48619E-9,556.62485E-9,575.35175E-9,594.68389E-9,614.63863E-9,635.23364E-9,656.48696E-9,678.41693E-9,701.04224E-9,724.38190E-9,748.45524E-9,773.28192E-9,798.88187E-9,825.27537E-9,852.48295E-9,880.52546E-9,909.42402E-9,939.20001E-9,969.87509E-9,1.0014712E-6,1.0340103E-6,1.0675150E-6,1.1020078E-6,1.1375115E-6,1.1740491E-6,1.2116437E-6,1.2503188E-6,1.2900978E-6,1.3310044E-6,1.3730624E-6,1.4162957E-6,1.4607282E-6,1.5063841E-6,1.5532876E-6,1.6014628E-6,1.6509342E-6,1.7017258E-6,1.7538622E-6,1.8073675E-6,1.8622662E-6,1.9185825E-6,1.9763405E-6,2.0355646E-6,2.0962787E-6,2.1585070E-6,2.2222733E-6,2.2876013E-6,2.3545148E-6
52.0E-3,494.06451E-9,510.76557E-9,528.01389E-9,545.82570E-9,564.21761E-9,583.20659E-9,602.80993E-9,623.04531E-9,643.93073E-9,665.48455E-9,687.72547E-9,710.67253E-9,734.34512E-9,758.76294E-9,783.94603E-9,809.91474E-9,836.68974E-9,864.29202E-9,892.74285E-9,922.06380E-9,952.27672E-9,983.40374E-9,1.0154672E-6,1.0484899E-6,1.0824945E-6,1.1175044E-6,1.1535426E-6,1.1906330E-6,1.2287991E-6,1.2680650E-6,1.3084547E-6,1.3499925E-6,1.3927029E-6,1.4366103E-6,1.4817395E-6,1.5281151E-6,1.5757621E-6,1.6247054E-6,1.6749700E-6,1.7265809E-6,1.7795631E-6,1.8339418E-6,1.8897420E-6,1.9469888E-6,2.0057072E-6,2.0659222E-6,2.1276588E-6,2.1909417E-6,2.2557957E-6,2.3222455E-6,2.3903156E-6
54.0E-3,500.23592E-9,517.14979E-9,534.61833E-9,552.65805E-9,571.28582E-9,590.51888E-9,610.37482E-9,630.87160E-9,652.02753E-9,673.86129E-9,696.39190E-9,719.63875E-9,743.62154E-9,768.36036E-9,793.87559E-9,820.18798E-9,847.31859E-9,875.28880E-9,904.12028E-9,933.83505E-9,964.45539E-9,996.00386E-9,1.0285033E-6,1.0619769E-6,1.0964480E-6,1.1319402E-6,1.1684774E-6,1.2060836E-6,1.2447832E-6,1.2846006E-6,1.3255606E-6,1.3676879E-6,1.4110076E-6,1.4555448E-6,1.5013249E-6,1.5483732E-6,1.5967152E-6,1.6463766E-6,1.6973829E-6,1.7497600E-6,1.8035336E-6,1.8587295E-6,1.9153735E-6,1.9734914E-6,2.0331091E-6,2.0942522E-6,2.1569466E-6,2.2212178E-6,2.2870915E-6,2.3545930E-6,2.4237479E-6
56.0E-3,505.98099E-9,523.09303E-9,540.76666E-9,559.01863E-9,577.86606E-9,597.32645E-9,617.41766E-9,638.15792E-9,659.56585E-9,681.66039E-9,704.46088E-9,727.98703E-9,752.25886E-9,777.29678E-9,803.12154E-9,829.75423E-9,857.21628E-9,885.52943E-9,914.71578E-9,944.79770E-9,975.79791E-9,1.0077394E-6,1.0406455E-6,1.0745397E-6,1.1094458E-6,1.1453881E-6,1.1823907E-6,1.2204784E-6,1.2596758E-6,1.3000081E-6,1.3415004E-6,1.3841781E-6,1.4280669E-6,1.4731924E-6,1.5195805E-6,1.5672572E-6,1.6162488E-6,1.6665813E-6,1.7182811E-6,1.7713747E-6,1.8258883E-6,1.8818487E-6,1.9392822E-6,1.9982154E-6,2.0586749E-6,2.1206871E-6,2.1842785E-6,2.2494755E-6,2.3163046E-6,2.3847919E-6,2.4549638E-6
58.0E-3,511.32946E-9,528.62604E-9,546.49065E-9,564.94029E-9,583.99230E-9,603.66442E-9,623.97477E-9,644.94184E-9,666.58449E-9,688.92197E-9,711.97390E-9,735.76026E-9,760.30140E-9,785.61803E-9,811.73123E-9,838.66242E-9,866.43337E-9,895.06618E-9,924.58331E-9,955.00751E-9,986.36189E-9,1.0186698E-6,1.0519550E-6,1.0862415E-6,1.1215535E-6,1.1579155E-6,1.1953525E-6,1.2338893E-6,1.2735514E-6,1.3143641E-6,1.3563534E-6,1.3995449E-6,1.4439650E-6,1.4896399E-6,1.5365959E-6,1.5848598E-6,1.6344581E-6,1.6854178E-6,1.7377658E-6,1.7915291E-6,1.8467348E-6,1.9034101E-6,1.9615821E-6,2.0212781E-6,2.0825253E-6,2.1453509E-6,2.2097821E-6,2.2758461E-6,2.3435701E-6,2.4129810E-6,2.4841059E-6
60.0E-3,516.30894E-9,533.77737E-9,551.81986E-9,570.45359E-9,589.69613E-9,609.56547E-9,630.07993E-9,651.25825E-9,673.11956E-9,695.68336E-9,718.96953E-9,742.99832E-9,767.79038E-9,793.36671E-9,819.74869E-9,846.95805E-9,875.01689E-9,903.94764E-9,933.77310E-9,964.51638E-9,996.20094E-9,1.0288505E-6,1.0624893E-6,1.0971416E-6,1.1328320E-6,1.1695856E-6,1.2074277E-6,1.2463836E-6,1.2864791E-6,1.3277403E-6,1.3701933E-6,1.4138645E-6,1.4587806E-6,1.5049684E-6,1.5524548E-6,1.6012670E-6,1.6514322E-6,1.7029779E-6,1.7559316E-6,1.8103208E-6,1.8661734E-6,1.9235171E-6,1.9823797E-6,2.0427891E-6,2.1047733E-6,2.1683600E-6,2.2335772E-6,2.3004529E-6,2.3690148E-6,2.4392907E-6,2.5113084E-6
62.0E-3,520.94512E-9,538.57360E-9,556.78173E-9,575.58692E-9,595.00693E-9,615.05994E-9,635.76452E-9,657.13964E-9,679.20464E-9,701.97926E-9,725.48365E-9,749.73831E-9,774.76416E-9,800.58247E-9,827.21490E-9,854.68349E-9,883.01062E-9,912.21905E-9,942.33189E-9,973.37260E-9,1.0053650E-6,1.0383331E-6,1.0723015E-6,1.1072948E-6,1.1433383E-6,1.1804571E-6,1.2186770E-6,1.2580238E-6,1.2985238E-6,1.3402034E-6,1.3830891E-6,1.4272080E-6,1.4725871E-6,1.5192537E-6,1.5672353E-6,1.6165595E-6,1.6672541E-6,1.7193472E-6,1.7728667E-6,1.8278409E-6,1.8842980E-6,1.9422665E-6,2.0017747E-6,2.0628513E-6,2.1255246E-6,2.1898233E-6,2.2557760E-6,2.3234112E-6,2.3927574E-6,2.4638431E-6,2.5366969E-6
64.0E-3,525.26188E-9,543.03941E-9,561.40183E-9,580.36670E-9,599.95200E-9,620.17610E-9,641.05777E-9,662.61620E-9,684.87093E-9,707.84196E-9,731.54964E-9,756.01474E-9,781.25841E-9,807.30219E-9,834.16799E-9,861.87814E-9,890.45530E-9,919.92253E-9,950.30322E-9,981.62116E-9,1.0139004E-6,1.0471655E-6,1.0814412E-6,1.1167526E-6,1.1531252E-6,1.1905846E-6,1.2291569E-6,1.2688684E-6,1.3097456E-6,1.3518155E-6,1.3951051E-6,1.4396417E-6,1.4854529E-6,1.5325664E-6,1.5810103E-6,1.6308125E-6,1.6820015E-6,1.7346058E-6,1.7886538E-6,1.8441744E-6,1.9011964E-6,1.9597487E-6,2.0198604E-6,2.0815606E-6,2.1448783E-6,2.2098429E-6,2.2764834E-6,2.3448291E-6,2.4149092E-6,2.4867530E-6,2.5603894E-6
66.0E-3,529.28146E-9,547.19781E-9,565.70392E-9,584.81752E-9,604.55677E-9,624.94024E-9,645.98687E-9,667.71604E-9,690.14753E-9,713.30153E-9,737.19860E-9,761.85976E-9,787.30637E-9,813.56022E-9,840.64348E-9,868.57873E-9,897.38889E-9,927.09729E-9,957.72763E-9,989.30397E-9,1.0218507E-6,1.0553926E-6,1.0899548E-6,1.1255627E-6,1.1622422E-6,1.2000191E-6,1.2389201E-6,1.2789716E-6,1.3202008E-6,1.3626348E-6,1.4063011E-6,1.4512275E-6,1.4974419E-6,1.5449725E-6,1.5938478E-6,1.6440963E-6,1.6957469E-6,1.7488284E-6,1.8033700E-6,1.8594009E-6,1.9169506E-6,1.9760484E-6,2.0367240E-6,2.0990070E-6,2.1629271E-6,2.2285141E-6,2.2957979E-6,2.3648082E-6,2.4355748E-6,2.5081277E-6,2.5824965E-6
68.0E-3,533.02454E-9,551.07019E-9,569.71014E-9,588.96227E-9,608.84493E-9,629.37683E-9,650.57712E-9,672.46536E-9,695.06151E-9,718.38595E-9,742.45948E-9,767.30328E-9,792.93898E-9,819.38857E-9,846.67446E-9,874.81945E-9,903.84674E-9,933.77991E-9,964.64291E-9,996.46007E-9,1.0292561E-6,1.0630561E-6,1.0978853E-6,1.1337697E-6,1.1707352E-6,1.2088083E-6,1.2480157E-6,1.2883844E-6,1.3299418E-6,1.3727154E-6,1.4167331E-6,1.4620231E-6,1.5086137E-6,1.5565336E-6,1.6058115E-6,1.6564765E-6,1.7085579E-6,1.7620850E-6,1.8170875E-6,1.8735950E-6,1.9316374E-6,1.9912448E-6,2.0524471E-6,2.1152747E-6,2.1797577E-6,2.2459266E-6,2.3138116E-6,2.3834432E-6,2.4548519E-6,2.5280680E-6,2.6031220E-6
70.0E-3,536.51042E-9,554.67651E-9,573.44111E-9,592.82229E-9,612.83852E-9,633.50870E-9,654.85213E-9,676.88854E-9,699.63809E-9,723.12132E-9,747.35924E-9,772.37322E-9,798.18509E-9,824.81706E-9,852.29175E-9,880.63219E-9,909.86182E-9,940.00444E-9,971.08427E-9,1.0031259E-6,1.0361543E-6,1.0701947E-6,1.1052730E-6,1.1414151E-6,1.1786473E-6,1.2169965E-6,1.2564897E-6,1.2971541E-6,1.3390176E-6,1.3821079E-6,1.4264534E-6,1.4720826E-6,1.5190242E-6,1.5673071E-6,1.6169608E-6,1.6680145E-6,1.7204979E-6,1.7744410E-6,1.8298736E-6,1.8868261E-6,1.9453286E-6,2.0054118E-6,2.0671062E-6,2.1304425E-6,2.1954515E-6,2.2621640E-6,2.3306109E-6,2.4008234E-6,2.4728322E-6,2.5466686E-6,2.6223634E-6
72.0E-3,539.75708E-9,558.03534E-9,576.91607E-9,596.41745E-9,616.55812E-9,637.35711E-9,658.83389E-9,681.00835E-9,703.90080E-9,727.53197E-9,751.92304E-9,777.09558E-9,803.07160E-9,829.87350E-9,857.52412E-9,886.04669E-9,915.46487E-9,945.80269E-9,977.08460E-9,1.0093354E-6,1.0425804E-6,1.0768450E-6,1.1121553E-6,1.1485376E-6,1.1860186E-6,1.2246251E-6,1.2643847E-6,1.3053249E-6,1.3474738E-6,1.3908595E-6,1.4355107E-6,1.4814563E-6,1.5287252E-6,1.5773470E-6,1.6273511E-6,1.6787675E-6,1.7316261E-6,1.7859573E-6,1.8417915E-6,1.8991593E-6,1.9580915E-6,2.0186190E-6,2.0807728E-6,2.1445842E-6,2.2100844E-6,2.2773048E-6,2.3462768E-6,2.4170320E-6,2.4896018E-6,2.5640179E-6,2.6403119E-6
