time (s),VT("/out") -  VDC("/out") (V)
0.0000,-36.696720E-9
500.00E-12,-246.55609E-6
1.0000E-9,-534.10637E-6
1.5000E-9,-826.79736E-6
2.0000E-9,-1.1215560E-3
2.5000E-9,-1.4137613E-3
3.0000E-9,-1.7056130E-3
3.5000E-9,-1.9956132E-3
4.0000E-9,-2.2832904E-3
4.5000E-9,-2.5686475E-3
5.0000E-9,-2.8512401E-3
5.5000E-9,-3.1316555E-3
6.0000E-9,-3.4089622E-3
6.5000E-9,-3.6820282E-3
7.0000E-9,-3.9514827E-3
7.5000E-9,-4.2170439E-3
8.0000E-9,-4.4783988E-3
8.5000E-9,-4.7346826E-3
9.0000E-9,-4.9860923E-3
9.5000E-9,-5.2321443E-3
10.000E-9,-5.4726797E-3
10.500E-9,-5.7082856E-3
11.000E-9,-5.9379867E-3
11.500E-9,-6.1606262E-3
12.000E-9,-6.3770734E-3
12.500E-9,-6.5865856E-3
13.000E-9,-6.7895940E-3
13.500E-9,-6.9854873E-3
14.000E-9,-7.1736408E-3
14.500E-9,-7.3543147E-3
15.000E-9,-7.5271044E-3
15.500E-9,-7.6919265E-3
16.000E-9,-7.8485605E-3
16.500E-9,-7.9968622E-3
17.000E-9,-8.1366649E-3
17.500E-9,-8.2678253E-3
18.000E-9,-8.3912104E-3
18.500E-9,-8.5056329E-3
19.000E-9,-8.6099942E-3
19.500E-9,-8.7056605E-3
20.000E-9,-8.7918434E-3
20.500E-9,-8.8687717E-3
21.000E-9,-8.9362152E-3
21.500E-9,-8.9941717E-3
22.000E-9,-9.0425477E-3
22.500E-9,-9.0813072E-3
23.000E-9,-9.1104020E-3
23.500E-9,-9.1298048E-3
24.000E-9,-9.1394935E-3
24.500E-9,-9.1394586E-3
25.000E-9,-9.1296996E-3
25.500E-9,-9.1102272E-3
26.000E-9,-9.0810619E-3
26.500E-9,-9.0422344E-3
27.000E-9,-8.9937860E-3
27.500E-9,-8.9357677E-3
28.000E-9,-8.8682410E-3
28.500E-9,-8.7912772E-3
29.000E-9,-8.7049578E-3
29.500E-9,-8.6093740E-3
30.000E-9,-8.5046270E-3
30.500E-9,-8.3908274E-3
31.000E-9,-8.2680956E-3
31.500E-9,-8.1365615E-3
32.000E-9,-7.9963640E-3
32.500E-9,-7.8476515E-3
33.000E-9,-7.6905813E-3
33.500E-9,-7.5253193E-3
34.000E-9,-7.3520404E-3
34.500E-9,-7.1719933E-3
35.000E-9,-6.9842027E-3
35.500E-9,-6.7881135E-3
36.000E-9,-6.5852084E-3
36.500E-9,-6.3751086E-3
37.000E-9,-6.1590026E-3
37.500E-9,-5.9363103E-3
38.000E-9,-5.7068092E-3
38.500E-9,-5.4714743E-3
39.000E-9,-5.2302137E-3
39.500E-9,-4.9843375E-3
40.000E-9,-4.7331552E-3
40.500E-9,-4.4762802E-3
41.000E-9,-4.2149610E-3
41.500E-9,-3.9497344E-3
42.000E-9,-3.6804353E-3
42.500E-9,-3.4066964E-3
43.000E-9,-3.1295905E-3
43.500E-9,-2.8462764E-3
44.000E-9,-2.5625390E-3
44.500E-9,-2.2788502E-3
45.000E-9,-1.9914715E-3
45.500E-9,-1.7034460E-3
46.000E-9,-1.4125419E-3
46.500E-9,-1.1191191E-3
47.000E-9,-824.98542E-6
47.500E-9,-530.65356E-6
48.000E-9,-235.93445E-6
48.500E-9,59.717842E-6
49.000E-9,354.98974E-6
49.500E-9,650.03394E-6
50.000E-9,942.96531E-6
50.500E-9,1.2349059E-3
51.000E-9,1.5265688E-3
51.500E-9,1.8161409E-3
52.000E-9,2.1031325E-3
52.500E-9,2.3877336E-3
53.000E-9,2.6704898E-3
53.500E-9,2.9501113E-3
54.000E-9,3.2267623E-3
54.500E-9,3.4987043E-3
55.000E-9,3.7669752E-3
55.500E-9,4.0322102E-3
56.000E-9,4.2927556E-3
56.500E-9,4.5482345E-3
57.000E-9,4.7987813E-3
57.500E-9,5.0448449E-3
58.000E-9,5.2853236E-3
58.500E-9,5.5203534E-3
59.000E-9,5.7495047E-3
59.500E-9,5.9713408E-3
60.000E-9,6.1869440E-3
60.500E-9,6.3970867E-3
61.000E-9,6.6000050E-3
61.500E-9,6.7961992E-3
62.000E-9,6.9844378E-3
62.500E-9,7.1653991E-3
63.000E-9,7.3393436E-3
63.500E-9,7.5053249E-3
64.000E-9,7.6635209E-3
64.500E-9,7.8136006E-3
65.000E-9,7.9554812E-3
65.500E-9,8.0889773E-3
66.000E-9,8.2139643E-3
66.500E-9,8.3303022E-3
67.000E-9,8.4378717E-3
67.500E-9,8.5350759E-3
68.000E-9,8.6236101E-3
68.500E-9,8.7044690E-3
69.000E-9,8.7755404E-3
69.500E-9,8.8376885E-3
70.000E-9,8.8904123E-3
70.500E-9,8.9338577E-3
71.000E-9,8.9678853E-3
71.500E-9,8.9925024E-3
72.000E-9,9.0076630E-3
72.500E-9,9.0133602E-3
73.000E-9,9.0095838E-3
73.500E-9,8.9963398E-3
74.000E-9,8.9736412E-3
74.500E-9,8.9415124E-3
75.000E-9,8.8999873E-3
75.500E-9,8.8491098E-3
76.000E-9,8.7889338E-3
76.500E-9,8.7195228E-3
77.000E-9,8.6409502E-3
77.500E-9,8.5532992E-3
78.000E-9,8.4566625E-3
78.500E-9,8.3511421E-3
79.000E-9,8.2368498E-3
79.500E-9,8.1139063E-3
80.000E-9,7.9824417E-3
80.500E-9,7.8425950E-3
81.000E-9,7.6945142E-3
81.500E-9,7.5383556E-3
82.000E-9,7.3736505E-3
82.500E-9,7.2011390E-3
83.000E-9,7.0215855E-3
83.500E-9,6.8344041E-3
